root_id,n_old_exchange_operator,m,current_real_rotation_period,collision,R_derived_from_current_AB,theta_derived_from_current_AB,R_drift_from_initial,theta_drift_from_initial,pair_norm_drift,closure_drift_abs,pair_return_residual,L_A,N_eff_A,L_B,N_eff_B
R124_23,124,23,248,0,0.6971779275566593,0.9880815604032414,0.0,0.0,0.0,0.0,0.0,0.00018310546875000033,1.0,0.00520896911621095,31.999999999999968
R124_23,124,23,248,1,0.6971779275566593,0.9880815604032415,0.0,1.1102230246251565e-16,5.773159728050814e-15,1.0332751635220972e-16,0.9483746989060906,0.003993115721761594,27.736595482564496,0.0018088430800210374,17.800291017585348
R124_23,124,23,248,2,0.6971779275566593,0.9880815604032414,0.0,0.0,5.329070518200751e-15,9.603565713166565e-17,1.669943624864815,0.0046283409817116546,30.036900837672885,0.0008780370147095185,11.35569368740023
R124_23,124,23,248,3,0.6971779275566591,0.9880815604032412,2.220446049250313e-16,1.1102230246251565e-16,5.773159728050814e-15,9.546034333293325e-17,1.9921420751530434,0.0002602373894164433,3.4943144866568794,0.00509943458635164,31.63867108359902
R124_23,124,23,248,4,0.6971779275566593,0.9880815604032414,0.0,0.0,1.3322676295501878e-15,7.588598461735281e-17,1.837915623240462,0.0031297316046626257,24.278114587071254,0.0028482537515270153,23.043797029198917
R124_23,124,23,248,5,0.6971779275566593,0.9880815604032414,0.0,0.0,3.9968028886505635e-15,6.216800236063815e-17,1.2441478444431482,0.00502745439894643,31.39903869262348,0.0003325800772670177,4.965452013484319
R124_23,124,23,248,6,0.6971779275566593,0.9880815604032414,0.0,0.0,1.7763568394002505e-15,1.2480622006008836e-16,0.3528395325156175,0.0006742910564226387,9.432035634677161,0.004766130857046585,30.51379676285594
R124_23,124,23,248,7,0.6971779275566593,0.9880815604032414,0.0,0.0,2.6645352591003757e-15,8.404379310883146e-17,0.6228510842023073,0.0021072827191480764,19.443176243459003,0.0037683469432906254,26.87740801188118
R124_23,124,23,248,8,0.6971779275566593,0.9880815604032415,0.0,1.1102230246251565e-16,2.220446049250313e-15,6.264360193495074e-17,1.4495855744582404,0.005200059661450535,31.97075722714741,0.0001875126831164369,1.215666853656647
R124_23,124,23,248,9,0.6971779275566593,0.9880815604032414,0.0,0.0,3.9968028886505635e-15,8.744259888957324e-17,1.92964867307163,0.0015186656659048297,16.052770929124065,0.004198900623070089,28.50136565452667
R124_23,124,23,248,10,0.6971779275566593,0.9880815604032414,0.0,0.0,3.9968028886505635e-15,9.192974317086417e-17,1.9482322959907756,0.0011150742959985555,13.273519503068394,0.0044711870444922456,29.483912861906823
R124_23,124,23,248,11,0.6971779275566593,0.9880815604032414,0.0,0.0,5.773159728050814e-15,1.1336144829453416e-17,1.5008921313153263,0.005153190332848265,31.8164942248659,0.0002165278921996765,2.311712271735698
R124_23,124,23,248,12,0.6971779275566593,0.9880815604032414,0.0,0.0,4.884981308350689e-15,6.811979804992536e-17,0.6946105056896416,0.002556134124786851,21.692277432151638,0.0033974314609436155,25.398749486698254
R124_23,124,23,248,13,0.6971779275566591,0.9880815604032412,2.220446049250313e-16,1.1102230246251565e-16,5.329070518200751e-15,9.580292302499747e-17,0.2777886606317377,0.00044008857163903574,6.652857374688556,0.004937010019340966,31.095408835130424
R124_23,124,23,248,14,0.6971779275566594,0.9880815604032417,1.1102230246251565e-16,3.3306690738754696e-16,3.1086244689504383e-15,1.5243113484719632e-16,1.1837540935740347,0.0048847800926304285,30.918757366482406,0.0005083032862608242,7.554808151736183
R124_23,124,23,248,15,0.6971779275566593,0.9880815604032414,0.0,0.0,2.220446049250313e-15,1.1058848999077572e-16,1.8066222839577208,0.0035253712417412124,25.91792288921913,0.0024073279295951933,20.972036150695544
R124_23,124,23,248,16,0.6971779275566593,0.9880815604032414,0.0,0.0,7.105427357601002e-15,9.119671929861421e-17,1.9974330143421084,0.00020293736083844236,1.8492748026426769,0.005173296538466567,31.882758965126897
R124_23,124,23,248,17,0.6971779275566593,0.9880815604032414,0.0,0.0,4.884981308350689e-15,6.67654072180388e-17,1.7105535034632051,0.00438530230365229,29.177438551973445,0.0012441131365635441,14.217016721137027
R124_23,124,23,248,18,0.6971779275566593,0.9880815604032414,0.0,0.0,4.884981308350689e-15,1.031275237830459e-16,1.0145915803602161,0.004294537532010126,28.85014327985816,0.001378960265861946,15.14457668725076
R124_23,124,23,248,19,0.6971779275566591,0.9880815604032412,2.220446049250313e-16,1.1102230246251565e-16,7.549516567451064e-15,1.4334396577927452e-16,0.07598798000147917,0.00019354812036251562,1.4820833009168974,0.005188914673088099,31.934140514527286
R124_23,124,23,248,20,0.6971779275566591,0.9880815604032412,2.220446049250313e-16,1.1102230246251565e-16,2.6645352591003757e-15,3.8618586390957014e-17,0.8807883031152687,0.0036490684366000236,26.410569998488594,0.0022574845405493576,20.22221889306581
R124_23,124,23,248,21,0.6971779275566593,0.9880815604032414,0.0,0.0,4.884981308350689e-15,9.496177188967344e-17,1.6269222397823684,0.004827831878171347,30.725030792893083,0.0005864026183540758,8.483921313366515
R124_23,124,23,248,22,0.6971779275566593,0.9880815604032415,0.0,1.1102230246251565e-16,7.549516567451064e-15,7.506616387263529e-17,1.9839743541014856,0.00038163159841420307,5.786730132720708,0.004984556621451364,31.255382117496033
R124_23,124,23,248,23,0.6971779275566593,0.9880815604032414,0.0,0.0,7.549516567451064e-15,2.927333142122094e-17,1.8665548936213554,0.002703291245294394,22.38283356300344,0.0032654648973611503,24.852361480773688
R124_23,124,23,248,24,0.6971779275566591,0.9880815604032412,2.220446049250313e-16,1.1102230246251565e-16,6.661338147750939e-15,1.3772141728178672e-16,1.302744965444446,0.005128577195701587,31.735193844110295,0.00023528871771673582,2.862641290942582
R124_23,124,23,248,25,0.6971779275566593,0.9880815604032414,0.0,0.0,7.549516567451064e-15,1.258984847412437e-16,0.42738088131870333,0.0009927626050987794,12.318159174145652,0.004552195535942764,29.770199395881708
R124_23,124,23,248,26,0.6971779275566594,0.9880815604032416,1.1102230246251565e-16,2.220446049250313e-16,5.773159728050814e-15,1.9060464274572726e-17,0.5501922255089554,0.0016622734301921865,16.93876990947457,0.00409841366205784,28.130419064264014
R124_23,124,23,248,27,0.6971779275566591,0.9880815604032412,2.220446049250313e-16,1.1102230246251565e-16,3.9968028886505635e-15,1.2951991460899542e-16,1.3961857223785188,0.005206742298950004,31.992693521573283,0.00018417138637832073,1.0541300472304596
R124_23,124,23,248,28,0.6971779275566593,0.9880815604032415,0.0,1.1102230246251565e-16,7.549516567451064e-15,1.197877046181952e-16,1.9082785128000987,0.001957466799984273,18.63554403252095,0.0038830659484548483,27.319170250555892
R124_23,124,23,248,29,0.6971779275566593,0.9880815604032414,0.0,0.0,1.7763568394002505e-15,1.2131625491615365e-16,1.9640025456054102,0.0007716652150672042,10.391590513396933,0.004699644002141768,30.28458763992767
R124_23,124,23,248,30,0.6971779275566593,0.9880815604032414,0.0,0.0,6.217248937900877e-15,1.596530083834178e-16,1.5500313029669195,0.005065736606916895,31.526704695654864,0.00029236712289715684,4.198242871811474
