case_id,initial_deviation_deg,scattering_protocol,scattering_kind,scattering_matrix_used,delta_f,reflection_rate,transmission_rate,q_out_factor,q_out_factor_applied,full_two_channel_scattering_used,display_only_abs_reflection,readout_mode,active_readout,step_count,reflection_event_cell_count,V_AB_min,V_AB_max,envelope_V_AB_initial,envelope_V_AB_final,envelope_ratio_final_over_initial,decay_rate_V_AB,sign_change_count_chi_read,oscillation_detected,max_Q_raw_abs,max_Q_closed_abs,max_scattering_unitarity_error,max_f_AB_projection_consistency_error_all_cells,max_f_AB_projection_consistency_error_regular_cells,regular_cell_harmonic_consistent,absolute_background_axis_used,f_A_or_f_B_used
near_pi_02deg,2.0,pass_through,pass,False,0.0,0.0,1.0,1.0,False,False,False,readout_off,False,720,45,4.568529552943299e-36,0.0012184696791468343,0.0012184696791468343,0.0012184696791468343,1.0,-3.818134371020083e-18,15,True,0.0,0.0,0.0,2.478708250405225e-16,2.4753860257149124e-16,True,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,0.0,1.0,1.0,False,False,False,readout_weak,True,720,45,4.566337174009022e-36,0.0012184696791468343,0.0012184696791468343,0.0012010493560156313,0.9857031131514076,-2.0000100000581632e-05,15,True,1.2184696791468344e-08,0.0,0.0,4.564926896253583e-08,4.555221363921618e-08,True,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,0.0,1.0,1.0,False,False,False,readout_normal,True,720,45,4.5575779553979695e-36,0.0012184696791468343,0.0012184696791468343,0.0011338216411064825,0.9305292208012744,-0.00010000250008333048,15,True,6.092348395734172e-08,0.0,0.0,2.2803188766449534e-07,2.275607206425075e-07,True,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,0.0,1.0,1.0,False,False,False,readout_strong,True,720,45,4.524877170569993e-36,0.0012184696791468343,0.0012184696791468343,0.0009135354530236376,0.7497399965367132,-0.000400040005334092,15,True,2.4369393582936687e-07,0.0,0.0,9.089175649558494e-07,9.072436576161511e-07,True,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,False,False,True,readout_off,False,720,45,4.568529552943299e-36,0.0012184696791468343,0.0012184696791468343,0.0012184696791468343,1.0,-3.818134371020083e-18,0,True,0.0,0.0,0.0,0.00456599978469336,2.4753860257149124e-16,True,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,False,False,True,readout_weak,True,720,45,4.566337174009022e-36,0.0012184696791468343,0.0012184696791468343,0.0012010493560156313,0.9857031131514076,-2.0000100000581632e-05,0,True,1.2184696791468344e-08,0.0,0.0,0.004564904070985639,4.555221363921618e-08,True,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,False,False,True,readout_normal,True,720,45,4.5575779553979695e-36,0.0012184696791468343,0.0012184696791468343,0.0011338216411064825,0.9305292208012744,-0.00010000250008333048,0,True,6.092348395734172e-08,0.0,0.0,0.004560523740037625,2.275607206425075e-07,True,False,False
near_pi_02deg,2.0,display_reflection,display_reflection,False,3.141592653589793,1.0,3.749399456654644e-33,-1.0,False,False,True,readout_strong,True,720,45,4.524877170569993e-36,0.0012184696791468343,0.0012184696791468343,0.0009135354530236376,0.7497399965367132,-0.000400040005334092,0,True,2.4369393582936687e-07,0.0,0.0,0.004544133411410203,9.072436576161511e-07,True,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,False,True,False,readout_off,False,720,45,4.1116765976489695e-35,0.0012184696791468343,0.0012184696791468343,0.0012184696791468343,1.0,-3.818134371020083e-18,15,True,0.0,0.0,5.421010862427522e-19,2.474920605264471e-16,2.4668987555834243e-16,True,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,False,True,False,readout_weak,True,720,45,4.10970345660812e-35,0.0012184696791468343,0.0012184696791468343,0.0012010493560156313,0.9857031131514076,-2.0000100000581632e-05,15,True,1.2184696791468344e-08,0.0,5.421010862427522e-19,4.564926896251753e-08,4.5552213638367454e-08,True,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,False,True,False,readout_normal,True,720,45,4.101820159858173e-35,0.0012184696791468343,0.0012184696791468343,0.0011338216411064825,0.9305292208012744,-0.00010000250008333048,15,True,6.092348395734172e-08,0.0,5.421010862427522e-19,2.2803188766447705e-07,2.2756072064165877e-07,True,False,False
near_pi_02deg,2.0,fermionic_reflection_pi,fermionic_reflection,True,3.141592653589793,1.0,3.749399456654644e-33,-1.0,False,True,False,readout_strong,True,720,45,4.0723894535129933e-35,0.0012184696791468343,0.0012184696791468343,0.0009135354530236376,0.7497399965367132,-0.00040004000533409455,15,True,2.4369393582936687e-07,0.0,5.421010862427522e-19,9.089175649562649e-07,9.072436576153024e-07,True,False,False
near_pi_05deg,5.0,pass_through,pass,False,0.0,0.0,1.0,1.0,False,False,False,readout_off,False,720,45,2.8553309705895616e-35,0.007615435494667714,0.007615435494667714,0.007615435494667714,1.0,-1.2727114570066945e-18,15,True,0.0,0.0,0.0,6.201433138709744e-16,6.201433138709744e-16,True,False,False
