delta_f,reflection_rate,transmission_rate,expected_reflection,expected_transmission,reflection_abs_error,transmission_abs_error,norm_total,norm_abs_error,hit_time,final_time
0.0,1.826169378107119e-19,1.0000000000000002,0.0,1.0,1.826169378107119e-19,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16,8.0,16.0
0.09817477042468103,0.002407636663901558,0.997592363336099,0.002407636663901557,0.9975923633360985,1.3010426069826053e-18,5.551115123125783e-16,1.0000000000000007,6.661338147750939e-16,8.0,16.0
0.19634954084936207,0.009607359798384776,0.9903926402016155,0.009607359798384776,0.9903926402016153,0.0,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16,8.0,16.0
0.2945243112740431,0.02152983213389557,0.9784701678661047,0.021529832133895567,0.9784701678661045,3.469446951953614e-18,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16,8.0,16.0
0.39269908169872414,0.03806023374435664,0.9619397662556437,0.03806023374435662,0.9619397662556434,2.0816681711721685e-17,3.3306690738754696e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
0.4908738521234052,0.0590393678258225,0.940960632174178,0.059039367825822475,0.9409606321741775,2.7755575615628914e-17,5.551115123125783e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
0.5890486225480862,0.08426519384872738,0.9157348061512728,0.08426519384872735,0.9157348061512726,2.7755575615628914e-17,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16,8.0,16.0
0.6872233929727672,0.11349477331863156,0.8865052266813688,0.11349477331863152,0.8865052266813686,4.163336342344337e-17,2.220446049250313e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
0.7853981633974483,0.1464466094067262,0.853553390593274,0.14644660940672624,0.8535533905932737,2.7755575615628914e-17,2.220446049250313e-16,1.0000000000000002,2.220446049250313e-16,8.0,16.0
0.8835729338221293,0.1828033579181773,0.8171966420818229,0.18280335791817726,0.8171966420818227,5.551115123125783e-17,1.1102230246251565e-16,1.0000000000000002,2.220446049250313e-16,8.0,16.0
0.9817477042468103,0.22221488349019888,0.7777851165098015,0.22221488349019888,0.7777851165098012,0.0,3.3306690738754696e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
1.0799224746714913,0.26430163158700115,0.7356983684129992,0.2643016315870011,0.735698368412999,5.551115123125783e-17,2.220446049250313e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
1.1780972450961724,0.3086582838174551,0.691341716182545,0.3086582838174551,0.6913417161825449,0.0,1.1102230246251565e-16,1.0,0.0,8.0,16.0
1.2762720155208536,0.35485766137276886,0.6451423386272314,0.3548576613727688,0.6451423386272312,5.551115123125783e-17,1.1102230246251565e-16,1.0000000000000002,2.220446049250313e-16,8.0,16.0
