delta_f,inverse_relative_error
0.0,7.513191426656782e-17
0.09817477042468103,1.124967776570976e-16
0.19634954084936207,1.033414629487635e-16
0.2945243112740431,1.3396982813661178e-16
0.39269908169872414,9.37752990476653e-17
0.4908738521234052,1.0242602690067054e-16
0.5890486225480862,1.0996780344757005e-16
0.6872233929727672,1.0910818454864263e-16
0.7853981633974483,1.0557908036010412e-16
0.8835729338221293,1.0797438892064452e-16
0.9817477042468103,1.1561142243508795e-16
1.0799224746714913,1.153437594698664e-16
1.1780972450961724,1.122738724125339e-16
1.2762720155208536,1.4220730229451499e-16
1.3744467859455345,1.116830758775129e-16
1.4726215563702154,1.355906680211284e-16
1.5707963267948966,8.842824864064456e-17
1.6689710972195777,1.2546375111153044e-16
1.7671458676442586,1.2261080127931569e-16
1.8653206380689396,1.086919112549398e-16
1.9634954084936207,1.2513981391851443e-16
2.061670178918302,1.1783457660354707e-16
2.1598449493429825,1.4547631339456792e-16
2.2580197197676637,1.134278213320794e-16
2.356194490192345,9.892765933667469e-17
2.454369260617026,1.0188018885006626e-16
2.552544031041707,1.3518783864751916e-16
2.650718801466388,9.970729099544419e-17
2.748893571891069,1.0407828519033444e-16
2.84706834231575,1.1319871503914346e-16
2.945243112740431,1.2608356196151055e-16
3.043417883165112,1.241851785790979e-16
3.141592653589793,8.290318173245203e-17
