step,H_parallel,H_perp,H_total,PR,PR_over_M,abs_ZT_Z,sigma1_phase_reader,amp_min,amp_max,amp_std,K_spectral_norm,K_antisym_error
0.0,0.859649122807018,0.0,0.859649122807018,8.711111111111121,0.8711111111111121,2.667864133288178e-16,3.7416573867739413,0.26765168951565527,0.42919753763947577,0.04734269360113356,nan,nan
1.0,0.8596491228070192,1.1102230246251565e-16,0.8596491228070193,8.711111111111116,0.8711111111111116,3.735718549854935e-16,3.741657386773943,0.2676516895156555,0.4291975376394761,0.04734269360113359,3.7416573867739418,0.0
2.0,0.8596491228070222,-2.220446049250313e-16,0.859649122807022,8.711111111111121,0.8711111111111121,5.912115301622114e-16,3.7416573867739453,0.2676516895156558,0.42919753763947666,0.04734269360113361,3.7416573867739413,0.0
3.0,0.859649122807022,0.0,0.859649122807022,8.71111111111112,0.871111111111112,7.862341979914761e-16,3.7416573867739413,0.2676516895156558,0.42919753763947666,0.047342693601133606,3.741657386773942,0.0
4.0,0.8596491228070231,0.0,0.8596491228070231,8.711111111111121,0.8711111111111121,3.6170683213202276e-16,3.74165738677394,0.2676516895156557,0.4291975376394771,0.047342693601133704,3.741657386773942,0.0
5.0,0.8596491228070243,1.1102230246251565e-16,0.8596491228070244,8.711111111111117,0.8711111111111117,8.246630520878057e-16,3.7416573867739427,0.26765168951565593,0.42919753763947743,0.047342693601133724,3.7416573867739418,0.0
6.0,0.8596491228070233,-2.220446049250313e-16,0.8596491228070231,8.711111111111114,0.8711111111111114,4.984680892496827e-16,3.7416573867739413,0.26765168951565566,0.42919753763947727,0.04734269360113375,3.7416573867739418,0.0
7.0,0.8596491228070239,2.220446049250313e-16,0.8596491228070241,8.711111111111112,0.8711111111111112,5.301566141762356e-16,3.7416573867739435,0.2676516895156559,0.42919753763947766,0.04734269360113383,3.7416573867739413,0.0
8.0,0.8596491228070258,0.0,0.8596491228070258,8.71111111111111,0.8711111111111111,4.919750306764042e-16,3.7416573867739418,0.2676516895156559,0.42919753763947815,0.047342693601133926,3.741657386773941,0.0
9.0,0.8596491228070269,0.0,0.8596491228070269,8.711111111111109,0.8711111111111108,3.436646865438764e-16,3.74165738677394,0.26765168951565627,0.4291975376394785,0.047342693601133974,3.7416573867739413,0.0
10.0,0.8596491228070278,-2.220446049250313e-16,0.8596491228070275,8.711111111111101,0.8711111111111102,1.4755953346257772e-15,3.7416573867739413,0.26765168951565627,0.42919753763947904,0.04734269360113414,3.7416573867739427,0.0
11.0,0.8596491228070284,0.0,0.8596491228070284,8.711111111111101,0.8711111111111102,1.6427315820410473e-15,3.7416573867739404,0.26765168951565643,0.42919753763947927,0.047342693601134175,3.741657386773942,0.0
12.0,0.8596491228070281,1.1102230246251565e-16,0.8596491228070282,8.711111111111105,0.8711111111111105,1.4137547021999523e-15,3.741657386773941,0.26765168951565643,0.4291975376394791,0.047342693601134106,3.7416573867739413,0.0
13.0,0.8596491228070272,1.1102230246251565e-16,0.8596491228070273,8.711111111111114,0.8711111111111114,1.2484635076687278e-15,3.741657386773942,0.2676516895156565,0.4291975376394784,0.047342693601133884,3.7416573867739418,0.0
14.0,0.859649122807029,-1.1102230246251565e-16,0.8596491228070289,8.71111111111112,0.871111111111112,1.5454694271874996e-15,3.7416573867739427,0.26765168951565677,0.4291975376394785,0.0473426936011338,3.7416573867739413,0.0
15.0,0.8596491228070281,1.1102230246251565e-16,0.8596491228070282,8.711111111111126,0.8711111111111126,2.6846513007316225e-15,3.7416573867739413,0.2676516895156566,0.4291975376394781,0.04734269360113367,3.741657386773942,0.0
16.0,0.8596491228070293,0.0,0.8596491228070293,8.71111111111113,0.871111111111113,3.0538880273927145e-15,3.741657386773941,0.26765168951565704,0.4291975376394784,0.047342693601133704,3.741657386773941,0.0
17.0,0.8596491228070285,1.1102230246251565e-16,0.8596491228070287,8.711111111111128,0.8711111111111128,3.698316523774175e-15,3.741657386773941,0.2676516895156569,0.42919753763947815,0.047342693601133655,3.7416573867739427,0.0
18.0,0.85964912280703,0.0,0.85964912280703,8.711111111111126,0.8711111111111126,3.757604010162235e-15,3.7416573867739418,0.2676516895156569,0.4291975376394785,0.04734269360113373,3.7416573867739418,0.0
19.0,0.859649122807029,1.1102230246251565e-16,0.8596491228070291,8.711111111111121,0.8711111111111121,3.5038543066627905e-15,3.741657386773939,0.26765168951565665,0.42919753763947843,0.047342693601133794,3.7416573867739413,0.0
20.0,0.8596491228070307,0.0,0.8596491228070307,8.711111111111117,0.8711111111111117,3.4770874639334683e-15,3.7416573867739387,0.2676516895156567,0.42919753763947904,0.04734269360113394,3.7416573867739418,0.0
21.0,0.8596491228070323,3.3306690738754696e-16,0.8596491228070327,8.711111111111109,0.8711111111111108,3.3577967626199755e-15,3.741657386773941,0.2676516895156568,0.42919753763947993,0.047342693601134175,3.741657386773942,0.0
22.0,0.8596491228070328,1.1102230246251565e-16,0.8596491228070329,8.711111111111101,0.8711111111111102,3.7252298495502475e-15,3.741657386773943,0.26765168951565677,0.4291975376394804,0.04734269360113434,3.7416573867739418,0.0
23.0,0.8596491228070313,1.1102230246251565e-16,0.8596491228070314,8.711111111111096,0.8711111111111096,3.696985878630035e-15,3.741657386773944,0.2676516895156563,0.4291975376394802,0.047342693601134384,3.7416573867739418,0.0
24.0,0.8596491228070313,0.0,0.8596491228070313,8.711111111111096,0.8711111111111096,2.8838630877755595e-15,3.7416573867739435,0.2676516895156562,0.4291975376394801,0.04734269360113433,3.741657386773942,0.0
25.0,0.8596491228070304,0.0,0.8596491228070304,8.711111111111094,0.8711111111111094,2.9726902386247273e-15,3.741657386773941,0.26765168951565604,0.4291975376394798,0.047342693601134286,3.7416573867739418,0.0
26.0,0.8596491228070311,0.0,0.8596491228070311,8.711111111111101,0.8711111111111102,2.539975027349093e-15,3.7416573867739418,0.26765168951565604,0.42919753763947976,0.04734269360113421,3.7416573867739427,0.0
