requested_tol,parent_residual,parent_iterations,onset_f_ge_1e-8,log_f_growth_rate,f_step5000
1e-06,3.8728081564656725e-07,80,72,0.17483758250427134,0.6021208454218967
1e-08,1.8154352477665894e-09,110,134,0.17252546182572662,0.6299675636721325
1e-10,5.084965719640235e-11,130,176,0.17251298438322288,0.6117998058045476
1e-12,2.384736896264785e-13,160,238,0.17251297309667718,0.6354524805456665
