step,H_total,H_parallel,H_perp,abs_ztz
0,1.0,1.0,1.0000564705860442e-24,1.0847743413719024e-15
1,1.0000000000000002,1.0000000000000002,9.975519792697455e-25,1.0492828318417692e-15
2,1.0000000000000002,1.0000000000000002,1.0402321908120098e-24,1.0312235561016184e-15
3,1.0000000000000002,1.0000000000000002,1.1270741817045023e-24,1.0278517411798168e-15
4,1.0,1.0,1.2584024929660467e-24,9.318154093553189e-16
5,1.0,1.0,1.436369577317374e-24,9.419135139234162e-16
6,1.0000000000000002,1.0000000000000002,1.6644301665445756e-24,9.87418545027351e-16
7,1.0000000000000002,1.0000000000000002,1.9478810119215683e-24,1.0615250044991562e-15
8,1.0000000000000002,1.0000000000000002,2.2936590846445952e-24,1.038966526598661e-15
9,1.0000000000000002,1.0000000000000002,2.7105621037664323e-24,1.0013229761156157e-15
10,1.0000000000000002,1.0000000000000002,3.209644760761075e-24,1.1097752677589555e-15
11,1.0000000000000002,1.0000000000000002,3.804483066059559e-24,1.1270952650874494e-15
12,1.0000000000000002,1.0000000000000002,4.5111701491986045e-24,1.091848019946608e-15
13,1.0000000000000004,1.0000000000000004,5.3494796610758326e-24,1.142921373626704e-15
14,1.0000000000000002,1.0000000000000002,6.3427079974955755e-24,1.1761594319512732e-15
15,1.0000000000000004,1.0000000000000004,7.519048715180108e-24,1.1979445436743885e-15
16,1.0000000000000004,1.0000000000000004,8.912265114606333e-24,1.0986733793815549e-15
17,1.0000000000000004,1.0000000000000004,1.0561417362117908e-23,1.1125253485944893e-15
18,1.0000000000000004,1.0000000000000004,1.2514707062961768e-23,1.1362956443113392e-15
19,1.0000000000000002,1.0000000000000002,1.4827782824445732e-23,1.240261043504635e-15
20,1.0000000000000002,1.0000000000000002,1.7567930240869365e-23,1.2553078600930894e-15
21,1.0000000000000004,1.0000000000000004,2.081422785830401e-23,1.2090839848799724e-15
22,1.0000000000000002,1.0000000000000002,2.466168209807126e-23,1.2726234356171937e-15
23,1.0000000000000004,1.0000000000000004,2.9221668111213274e-23,1.2040458382325136e-15
24,1.0000000000000002,1.0000000000000002,3.462801310607961e-23,1.1775260698036844e-15
25,1.0000000000000004,1.0000000000000004,4.1038730768973954e-23,1.2884423024467385e-15
26,1.0000000000000002,1.0000000000000002,4.864099199930326e-23,1.2235226939383245e-15
27,1.0000000000000004,1.0000000000000004,5.765909326320385e-23,1.217089614633211e-15
28,1.0000000000000002,1.0000000000000002,6.835768539889123e-23,1.2213905203719957e-15
29,1.0000000000000004,1.0000000000000004,8.105218634752167e-23,1.3080065134289845e-15
30,1.0000000000000002,1.0000000000000002,9.611545788525576e-23,1.221058181512138e-15
31,1.0000000000000004,1.0000000000000004,1.1399323646737137e-22,1.273943835346101e-15
32,1.0000000000000004,1.0000000000000004,1.3521256234916231e-22,1.2435710671998444e-15
33,1.0000000000000002,1.0000000000000002,1.6040156468345994e-22,1.2348351923418391e-15
34,1.0000000000000002,1.0000000000000002,1.903033695455593e-22,1.178951976252452e-15
35,1.0000000000000002,1.0000000000000002,2.2580315235227913e-22,1.1664394264680001e-15
36,1.0000000000000002,1.0000000000000002,2.679554906374519e-22,1.1725992962270269e-15
37,1.0000000000000002,1.0000000000000002,3.1800703130433785e-22,1.1231693974398334e-15
38,1.0000000000000002,1.0000000000000002,3.7744355868763253e-22,1.1248642772486085e-15
39,1.0000000000000002,1.0000000000000002,4.480271703387742e-22,1.1141949316165765e-15
40,1.0000000000000002,1.0000000000000002,5.318524684113027e-22,1.1643100141333172e-15
