step,H_total,abs_ZtZ,phase_pair_max_rat_err_q_le_256,phase_pair_median_rat_err_q_le_256,phase_pair_frac_err_lt_1e10,phase_pair_smallest_global_q_tol_1e10
0,0.8596491228071359,8.49171277148593e-15,8.298551680586963e-07,8.293706236783827e-07,0.2,
1,0.8596491228071372,9.968931537797763e-15,8.298554151527082e-07,8.293705964224074e-07,0.2,
2,0.8596491228071361,9.768118172067418e-15,8.298556599846407e-07,8.29370570942789e-07,0.2,
3,0.8596491228071376,9.318342401990025e-15,8.298559026967411e-07,8.293705473505497e-07,0.2,
4,0.8596491228071377,1.0097934533795747e-14,8.298561428657369e-07,8.293705253126227e-07,0.2,
5,0.8596491228071379,1.0838912125440922e-14,8.29856380630406e-07,8.293705052175859e-07,0.2,
6,0.8596491228071363,9.88361804206337e-15,8.298566165562682e-07,8.293704871209506e-07,0.2,
7,0.8596491228071377,1.1229956912562275e-14,8.298568500778036e-07,8.293704710227168e-07,0.2,
8,0.8596491228071387,1.1939630739156186e-14,8.298570811984818e-07,8.293704563122617e-07,0.2,
9,0.8596491228071406,1.2073363870866155e-14,8.298573099148332e-07,8.293704436002081e-07,0.2,
10,0.8596491228071381,1.1612624339230922e-14,8.2985753608808e-07,8.293704328310447e-07,0.2,
11,0.8596491228071408,1.137324490928586e-14,8.298577605647672e-07,8.293704235051713e-07,0.2,
12,0.8596491228071387,1.2580598615665177e-14,8.298579824983499e-07,8.293704164552551e-07,0.2,
13,0.8596491228071368,1.394722384043627e-14,8.298582018853584e-07,8.293704110706734e-07,0.2,
14,0.8596491228071373,1.4987771731527702e-14,8.298584194335601e-07,8.293704075734709e-07,0.2,
15,0.8596491228071368,1.437547227976212e-14,8.298586345809045e-07,8.293704056860918e-07,0.2,
16,0.859649122807137,1.370445737607815e-14,8.298588471851442e-07,8.293704058526252e-07,0.2,
17,0.8596491228071377,1.373735190408366e-14,8.2985905724281e-07,8.29370407962049e-07,0.2,
18,0.8596491228071381,1.3443417615220048e-14,8.298592653228909e-07,8.293704117923184e-07,0.2,
19,0.8596491228071377,1.2739163905349315e-14,8.298594709986451e-07,8.293704174544558e-07,0.2,
20,0.8596491228071399,1.265157374547554e-14,8.298596745510978e-07,8.293704247819278e-07,0.2,
21,0.859649122807137,1.214952211168193e-14,8.298598758449405e-07,8.293704342743347e-07,0.2,
22,0.8596491228071353,1.3406605911264262e-14,8.298600751611984e-07,8.293704455986095e-07,0.2,
23,0.8596491228071321,1.3636620607621929e-14,8.298602716498571e-07,8.293704584216854e-07,0.2,
24,0.8596491228071318,1.335746098784352e-14,8.298604661574616e-07,8.29370473298674e-07,0.2,
25,0.8596491228071336,1.3581998254871142e-14,8.298606581219614e-07,8.293704901185528e-07,0.2,
26,0.8596491228071299,1.363547437463819e-14,8.298608476821345e-07,8.293705086037662e-07,0.2,
27,0.8596491228071328,1.3908468071485836e-14,8.298610351224756e-07,8.293705291428921e-07,0.2,
