ambient_dimension,case_count,normal_nullity_min,normal_nullity_max,unique_normal_line_all,unique_readout_direction_count_min,unique_readout_direction_count_max,XYZ_rank_min,XYZ_rank_max,max_relation_angle_error_deg,max_relation_dot_normal_abs,max_projector_idempotence_error,max_projector_covariance_error,max_label_swap_projector_error,max_mapped_one_angle_R2_drift,max_candidate_relation_signature_spread,min_candidate_projective_angle_max_deg,min_candidate_linear_probe_range,max_candidate_quadratic_norm_range,dimension_classification_pass
2,256,0,0,False,2,2,2,2,3.730349362740526e-13,0.0,0.0,0.0,0.0,3.139849491518021e-16,0.0,0.0,0.0,0.0,True
3,256,1,1,True,3,3,3,3,5.195843755245733e-13,4.440892098500626e-16,4.053169429671442e-16,1.0224530215383721e-14,8.504446058359151e-15,3.1051550219984847e-16,0.0,0.0,0.0,0.0,True
4,256,2,2,False,2,2,3,3,5.924150059399835e-13,4.475586568020162e-16,8.033624097667971e-16,5.631270452243756e-15,8.425515313895617e-15,3.122502256758253e-16,1.3322676295501878e-15,89.99999999999997,1.9999999999999991,1.3322676295501878e-15,True
5,256,3,3,False,2,2,3,3,4.4586556668946287e-13,4.0245584642661925e-16,6.969055906340022e-16,7.10876409569841e-15,8.882174501207515e-15,3.122502256758253e-16,1.1102230246251565e-15,89.99999999999999,1.9999999999999993,1.1102230246251565e-15,True
6,256,4,4,False,2,2,3,3,3.0020430585864233e-13,3.3306690738754696e-16,7.294940212394041e-16,7.999620271977133e-15,1.2251281692220832e-14,3.0617869350990645e-16,1.1102230246251565e-15,89.99999999999999,1.9999999999999993,1.1102230246251565e-15,True
