ambient_dimension,phase_offset_deg,trial_index,seed_relation_rank,normal_nullity,unique_normal_line,unique_readout_direction_count,XYZ_rank_using_one_normal_candidate,measured_relation_angle_deg,relation_angle_error_deg,relation_1_dot_normal_abs,relation_2_dot_normal_abs,normal_projector_trace,normal_projector_idempotence_error,normal_projector_covariance_error,label_swap_projector_error,mapped_one_angle_R2_max_drift,base_normal_nullity,absolute_background_axis_used_for_selection,external_direction_name_used_for_selection,diagnostic_probe_used_for_selection,candidate_sample_count,candidate_relation_signature_spread,candidate_projective_angle_max_deg,candidate_linear_probe_range,candidate_quadratic_norm_range
2,5.0,0,2,0,False,2,2,5.0000000000002105,2.1049828546892968e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.914335439641036e-16,0,False,False,False,0,0.0,0.0,0.0,0.0
2,5.0,1,2,0,False,2,2,4.999999999999992,7.993605777301127e-15,0.0,0.0,0.0,0.0,0.0,0.0,2.905661822261152e-16,0,False,False,False,0,0.0,0.0,0.0,0.0
2,5.0,2,2,0,False,2,2,4.999999999999919,8.08242361927114e-14,0.0,0.0,0.0,0.0,0.0,0.0,2.896988204881268e-16,0,False,False,False,0,0.0,0.0,0.0,0.0
2,5.0,3,2,0,False,2,2,5.000000000000138,1.376676550535194e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.914335439641036e-16,0,False,False,False,0,0.0,0.0,0.0,0.0
2,5.0,4,2,0,False,2,2,4.9999999999997,3.0020430585864233e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.914335439641036e-16,0,False,False,False,0,0.0,0.0,0.0,0.0
2,5.0,5,2,0,False,2,2,4.999999999999919,8.08242361927114e-14,0.0,0.0,0.0,0.0,0.0,0.0,2.896988204881268e-16,0,False,False,False,0,0.0,0.0,0.0,0.0
2,5.0,6,2,0,False,2,2,5.0000000000002105,2.1049828546892968e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.888314587501384e-16,0,False,False,False,0,0.0,0.0,0.0,0.0
2,5.0,7,2,0,False,2,2,4.999999999999992,7.993605777301127e-15,0.0,0.0,0.0,0.0,0.0,0.0,2.896988204881268e-16,0,False,False,False,0,0.0,0.0,0.0,0.0
2,5.0,8,2,0,False,2,2,4.999999999999919,8.08242361927114e-14,0.0,0.0,0.0,0.0,0.0,0.0,2.914335439641036e-16,0,False,False,False,0,0.0,0.0,0.0,0.0
2,5.0,9,2,0,False,2,2,5.0000000000002105,2.1049828546892968e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.888314587501384e-16,0,False,False,False,0,0.0,0.0,0.0,0.0
2,5.0,10,2,0,False,2,2,5.000000000000064,6.394884621840902e-14,0.0,0.0,0.0,0.0,0.0,0.0,2.905661822261152e-16,0,False,False,False,0,0.0,0.0,0.0,0.0
