t,H,Q2_re,Q2_im,generator_norm
0,np.float64(354.105834697875),np.float64(-38.10891750631549),np.float64(7.134470689075281),np.float64(16.953719923636843)
1,np.float64(354.1058346978755),np.float64(-38.10891750631544),np.float64(7.134470689075272),np.float64(17.466063526831114)
2,np.float64(354.1058346978756),np.float64(-38.108917506315564),np.float64(7.134470689075118),np.float64(17.31817483738041)
3,np.float64(354.10583469787565),np.float64(-38.10891750631553),np.float64(7.134470689075134),np.float64(17.629721460972252)
4,np.float64(354.105834697875),np.float64(-38.10891750631529),np.float64(7.134470689075308),np.float64(18.149003022540054)
5,np.float64(354.1058346978748),np.float64(-38.10891750631527),np.float64(7.134470689075432),np.float64(18.33992424875325)
6,np.float64(354.10583469787525),np.float64(-38.10891750631523),np.float64(7.134470689075448),np.float64(18.33916402187467)
7,np.float64(354.10583469787576),np.float64(-38.10891750631522),np.float64(7.1344706890755045),np.float64(18.293911289476384)
8,np.float64(354.1058346978766),np.float64(-38.10891750631541),np.float64(7.134470689075597),np.float64(18.320217411248596)
9,np.float64(354.10583469787775),np.float64(-38.10891750631553),np.float64(7.1344706890755285),np.float64(18.479686163545633)
10,np.float64(354.105834697877),np.float64(-38.10891750631535),np.float64(7.13447068907558),np.float64(18.639384877572233)
11,np.float64(354.10583469787673),np.float64(-38.1089175063154),np.float64(7.134470689075541),np.float64(18.714836220977027)
12,np.float64(354.1058346978769),np.float64(-38.10891750631542),np.float64(7.134470689075635),np.float64(18.72000843557368)
13,np.float64(354.10583469787724),np.float64(-38.10891750631566),np.float64(7.134470689075561),np.float64(18.711368131032316)
14,np.float64(354.10583469787696),np.float64(-38.10891750631552),np.float64(7.134470689075553),np.float64(18.738446045745697)
15,np.float64(354.1058346978764),np.float64(-38.10891750631552),np.float64(7.134470689075662),np.float64(18.78944467886639)
16,np.float64(354.10583469787593),np.float64(-38.10891750631554),np.float64(7.134470689075954),np.float64(18.82112261861485)
17,np.float64(354.10583469787605),np.float64(-38.10891750631552),np.float64(7.134470689075965),np.float64(18.83230003601939)
18,np.float64(354.1058346978756),np.float64(-38.108917506315706),np.float64(7.134470689076006),np.float64(18.847078897349096)
19,np.float64(354.10583469787565),np.float64(-38.10891750631583),np.float64(7.134470689076059),np.float64(18.862019495865745)
20,np.float64(354.105834697875),np.float64(-38.10891750631568),np.float64(7.134470689076016),np.float64(18.855309978637454)
21,np.float64(354.1058346978749),np.float64(-38.10891750631586),np.float64(7.134470689076146),np.float64(18.84528601284331)
22,np.float64(354.10583469787616),np.float64(-38.108917506315905),np.float64(7.134470689076161),np.float64(18.858169645198757)
23,np.float64(354.1058346978751),np.float64(-38.108917506316075),np.float64(7.134470689076254),np.float64(18.890800203301893)
24,np.float64(354.105834697875),np.float64(-38.10891750631599),np.float64(7.134470689076169),np.float64(18.91197997736871)
25,np.float64(354.1058346978755),np.float64(-38.10891750631617),np.float64(7.134470689076085),np.float64(18.907340007530017)
26,np.float64(354.1058346978749),np.float64(-38.10891750631606),np.float64(7.134470689076101),np.float64(18.895151974047593)
27,np.float64(354.1058346978754),np.float64(-38.108917506316054),np.float64(7.134470689075824),np.float64(18.896863414310705)
28,np.float64(354.10583469787554),np.float64(-38.10891750631602),np.float64(7.134470689075943),np.float64(18.908107284281613)
29,np.float64(354.1058346978763),np.float64(-38.10891750631616),np.float64(7.134470689076075),np.float64(18.91005248063562)
30,np.float64(354.1058346978761),np.float64(-38.10891750631605),np.float64(7.134470689075951),np.float64(18.909111774163136)
31,np.float64(354.10583469787525),np.float64(-38.10891750631599),np.float64(7.134470689075833),np.float64(18.919117002915634)
32,np.float64(354.10583469787537),np.float64(-38.108917506316004),np.float64(7.1344706890758),np.float64(18.933503063802288)
33,np.float64(354.1058346978758),np.float64(-38.108917506316054),np.float64(7.1344706890758305),np.float64(18.934458777113388)
34,np.float64(354.10583469787684),np.float64(-38.10891750631609),np.float64(7.1344706890760365),np.float64(18.92247658373347)
35,np.float64(354.1058346978764),np.float64(-38.108917506316146),np.float64(7.134470689076105),np.float64(18.91487144798369)
36,np.float64(354.10583469787616),np.float64(-38.10891750631601),np.float64(7.1344706890757426),np.float64(18.9216371184231)
37,np.float64(354.10583469787605),np.float64(-38.108917506316075),np.float64(7.134470689075672),np.float64(18.93481816940997)
38,np.float64(354.10583469787645),np.float64(-38.10891750631624),np.float64(7.134470689075748),np.float64(18.94136629684557)
39,np.float64(354.10583469787434),np.float64(-38.10891750631613),np.float64(7.134470689075824),np.float64(18.938903601260876)
40,np.float64(354.1058346978732),np.float64(-38.108917506315976),np.float64(7.134470689075812),np.float64(18.93725643553542)
41,np.float64(354.10583469787287),np.float64(-38.10891750631584),np.float64(7.134470689075768),np.float64(18.94056806953106)
42,np.float64(354.1058346978732),np.float64(-38.108917506316004),np.float64(7.134470689075629),np.float64(18.939594992936843)
43,np.float64(354.1058346978706),np.float64(-38.108917506315606),np.float64(7.134470689075704),np.float64(18.930194623732056)
44,np.float64(354.1058346978708),np.float64(-38.10891750631549),np.float64(7.134470689075743),np.float64(18.924767623486197)
45,np.float64(354.10583469787105),np.float64(-38.10891750631548),np.float64(7.134470689075861),np.float64(18.932545011754634)
46,np.float64(354.10583469787207),np.float64(-38.10891750631576),np.float64(7.134470689076009),np.float64(18.946964560675713)
47,np.float64(354.10583469787156),np.float64(-38.10891750631565),np.float64(7.134470689075999),np.float64(18.95269832235312)
48,np.float64(354.10583469786997),np.float64(-38.10891750631543),np.float64(7.134470689075625),np.float64(18.947236223454983)
49,np.float64(354.10583469786934),np.float64(-38.10891750631562),np.float64(7.134470689075512),np.float64(18.939261407024013)
50,np.float64(354.1058346978697),np.float64(-38.10891750631562),np.float64(7.134470689075339),np.float64(18.937390677818396)
51,np.float64(354.1058346978683),np.float64(-38.10891750631558),np.float64(7.1344706890752745),np.float64(18.941508917234913)
52,np.float64(354.10583469786917),np.float64(-38.10891750631565),np.float64(7.13447068907541),np.float64(18.942168948004912)
53,np.float64(354.1058346978689),np.float64(-38.10891750631561),np.float64(7.134470689075398),np.float64(18.939637343866078)
54,np.float64(354.1058346978687),np.float64(-38.10891750631546),np.float64(7.134470689075208),np.float64(18.942094688361298)
55,np.float64(354.1058346978689),np.float64(-38.10891750631562),np.float64(7.134470689075308),np.float64(18.948558754252012)
56,np.float64(354.10583469786917),np.float64(-38.10891750631581),np.float64(7.13447068907553),np.float64(18.951213824072106)
57,np.float64(354.1058346978699),np.float64(-38.10891750631602),np.float64(7.134470689075485),np.float64(18.945766471030414)
58,np.float64(354.1058346978697),np.float64(-38.10891750631614),np.float64(7.134470689075357),np.float64(18.93837874546641)
59,np.float64(354.1058346978707),np.float64(-38.10891750631623),np.float64(7.134470689075336),np.float64(18.93741577595276)
60,np.float64(354.1058346978705),np.float64(-38.10891750631613),np.float64(7.1344706890752105),np.float64(18.944118214607382)
61,np.float64(354.1058346978706),np.float64(-38.10891750631602),np.float64(7.134470689075293),np.float64(18.950412504174913)
62,np.float64(354.105834697869),np.float64(-38.108917506315805),np.float64(7.134470689075408),np.float64(18.949354697112263)
63,np.float64(354.1058346978683),np.float64(-38.10891750631588),np.float64(7.134470689075318),np.float64(18.946269802415244)
64,np.float64(354.1058346978681),np.float64(-38.10891750631589),np.float64(7.134470689075256),np.float64(18.94712510276897)
65,np.float64(354.10583469786854),np.float64(-38.108917506316004),np.float64(7.134470689075007),np.float64(18.947796647193694)
66,np.float64(354.1058346978683),np.float64(-38.10891750631606),np.float64(7.1344706890752745),np.float64(18.944249024665492)
67,np.float64(354.10583469786684),np.float64(-38.108917506315905),np.float64(7.134470689075284),np.float64(18.939463994329824)
68,np.float64(354.1058346978676),np.float64(-38.10891750631598),np.float64(7.134470689075236),np.float64(18.93990073923972)
69,np.float64(354.1058346978675),np.float64(-38.10891750631602),np.float64(7.134470689074977),np.float64(18.947214231194327)
70,np.float64(354.10583469786786),np.float64(-38.108917506316075),np.float64(7.1344706890750045),np.float64(18.95445046237332)
71,np.float64(354.1058346978675),np.float64(-38.108917506315734),np.float64(7.13447068907472),np.float64(18.953371388358846)
72,np.float64(354.1058346978677),np.float64(-38.10891750631562),np.float64(7.134470689074607),np.float64(18.946181378665266)
73,np.float64(354.10583469786695),np.float64(-38.10891750631552),np.float64(7.1344706890745595),np.float64(18.94304138093457)
74,np.float64(354.10583469786695),np.float64(-38.10891750631582),np.float64(7.134470689074408),np.float64(18.945727295271073)
75,np.float64(354.1058346978667),np.float64(-38.10891750631578),np.float64(7.134470689074517),np.float64(18.94690869604483)
76,np.float64(354.10583469786593),np.float64(-38.10891750631565),np.float64(7.134470689074289),np.float64(18.944537784062387)
77,np.float64(354.10583469786695),np.float64(-38.10891750631562),np.float64(7.13447068907446),np.float64(18.94357926462983)
78,np.float64(354.1058346978669),np.float64(-38.10891750631566),np.float64(7.134470689074321),np.float64(18.94746245108783)
79,np.float64(354.1058346978667),np.float64(-38.108917506315635),np.float64(7.134470689074312),np.float64(18.952855557908034)
80,np.float64(354.1058346978664),np.float64(-38.10891750631576),np.float64(7.134470689074339),np.float64(18.952858199365327)
81,np.float64(354.1058346978653),np.float64(-38.10891750631569),np.float64(7.134470689074699),np.float64(18.945821427287242)
82,np.float64(354.10583469786457),np.float64(-38.10891750631542),np.float64(7.134470689074896),np.float64(18.94009018560755)
83,np.float64(354.1058346978649),np.float64(-38.108917506315635),np.float64(7.134470689074986),np.float64(18.943255018474925)
84,np.float64(354.1058346978666),np.float64(-38.10891750631572),np.float64(7.134470689075176),np.float64(18.949807291351828)
85,np.float64(354.10583469786764),np.float64(-38.10891750631577),np.float64(7.134470689075313),np.float64(18.9511656920879)
86,np.float64(354.1058346978675),np.float64(-38.10891750631602),np.float64(7.134470689075279),np.float64(18.948256289271892)
87,np.float64(354.1058346978662),np.float64(-38.10891750631581),np.float64(7.134470689075294),np.float64(18.946457248452457)
88,np.float64(354.10583469786616),np.float64(-38.108917506316004),np.float64(7.134470689075156),np.float64(18.94791506486976)
89,np.float64(354.10583469786553),np.float64(-38.10891750631583),np.float64(7.134470689075127),np.float64(18.949309708343183)
90,np.float64(354.1058346978656),np.float64(-38.10891750631592),np.float64(7.134470689075407),np.float64(18.946626976560466)
91,np.float64(354.10583469786604),np.float64(-38.10891750631619),np.float64(7.134470689075498),np.float64(18.94215871744491)
92,np.float64(354.1058346978647),np.float64(-38.10891750631613),np.float64(7.134470689075428),np.float64(18.943025650674194)
93,np.float64(354.1058346978649),np.float64(-38.108917506316224),np.float64(7.134470689075304),np.float64(18.94960905701586)
94,np.float64(354.10583469786496),np.float64(-38.10891750631623),np.float64(7.134470689075261),np.float64(18.953404701922942)
95,np.float64(354.10583469786445),np.float64(-38.108917506316345),np.float64(7.134470689075107),np.float64(18.950619111390242)
96,np.float64(354.1058346978643),np.float64(-38.10891750631643),np.float64(7.13447068907516),np.float64(18.945904568767105)
97,np.float64(354.1058346978649),np.float64(-38.1089175063164),np.float64(7.134470689074932),np.float64(18.944184524317684)
98,np.float64(354.1058346978651),np.float64(-38.10891750631631),np.float64(7.134470689074872),np.float64(18.946266040329842)
99,np.float64(354.10583469786536),np.float64(-38.10891750631634),np.float64(7.134470689075142),np.float64(18.947986273299488)
100,np.float64(354.1058346978651),np.float64(-38.10891750631631),np.float64(7.134470689075154),np.float64(18.946472000744407)
101,np.float64(354.1058346978648),np.float64(-38.10891750631619),np.float64(7.1344706890753),np.float64(18.945144582874345)
102,np.float64(354.10583469786525),np.float64(-38.10891750631616),np.float64(7.134470689075203),np.float64(18.94776466213048)
103,np.float64(354.1058346978649),np.float64(-38.108917506316075),np.float64(7.13447068907547),np.float64(18.950911781751252)
