candidate_kind,base_phase,epsilon,phi,phi_over_pi,s0,stability_gain,base_S_mean,base_S_amp,g_C,visibility_C,backaction_scale,c_gain,phase_after_C,S_mean_after_C,S_amp_after_C,S_drift_after_C,S_final_after_C,Q_max_error,C_A_mean_tail,C_B_mean_tail,C_read_abs_error,C_read_rel_error,C_induced_bias_delta,C_readout_ok,C_nonselective_ok,C_window_ok,C_informative_window_ok
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.0,0.0,0.0,0.0,gray_metastable,0.00017331502028017349,0.019999989905038096,0.002057929541669832,0.01943343863954905,6.661338147750939e-16,0.5,0.5,0.012755968228257903,1.0,0.0,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.0,0.0,1e-05,0.0,gray_metastable,0.00017331502028017349,0.019999989905038096,0.002057929541669832,0.01943343863954905,6.661338147750939e-16,0.5,0.5,0.012755968228257903,1.0,0.0,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.0,0.0,5e-05,0.0,gray_metastable,0.00017331502028017349,0.019999989905038096,0.002057929541669832,0.01943343863954905,6.661338147750939e-16,0.5,0.5,0.012755968228257903,1.0,0.0,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.0,0.0,0.0001,0.0,gray_metastable,0.00017331502028017349,0.019999989905038096,0.002057929541669832,0.01943343863954905,6.661338147750939e-16,0.5,0.5,0.012755968228257903,1.0,0.0,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.0,0.0,0.0005,0.0,gray_metastable,0.00017331502028017349,0.019999989905038096,0.002057929541669832,0.01943343863954905,6.661338147750939e-16,0.5,0.5,0.012755968228257903,1.0,0.0,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.0,0.0,0.001,0.0,gray_metastable,0.00017331502028017349,0.019999989905038096,0.002057929541669832,0.01943343863954905,6.661338147750939e-16,0.5,0.5,0.012755968228257903,1.0,0.0,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.0,0.0,0.002,0.0,gray_metastable,0.00017331502028017349,0.019999989905038096,0.002057929541669832,0.01943343863954905,6.661338147750939e-16,0.5,0.5,0.012755968228257903,1.0,0.0,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.0,0.0,0.005,0.0,gray_metastable,0.00017331502028017349,0.019999989905038096,0.002057929541669832,0.01943343863954905,6.661338147750939e-16,0.5,0.5,0.012755968228257903,1.0,0.0,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.0,0.0,0.01,0.0,gray_metastable,0.00017331502028017349,0.019999989905038096,0.002057929541669832,0.01943343863954905,6.661338147750939e-16,0.5,0.5,0.012755968228257903,1.0,0.0,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.002,0.09090909090909091,0.0,0.0,gray_metastable,0.00017331502028017349,0.019999989905038096,0.002057929541669832,0.01943343863954905,6.661338147750939e-16,0.5000078779554672,0.49999212204453275,0.011596334752961731,0.9090909090909092,0.0,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.002,0.09090909090909091,1e-05,2e-08,gray_metastable,0.0001733155130730695,0.020000062687233366,0.002057935593095677,0.01943351152608963,6.661338147750939e-16,0.5000078779778669,0.49999212202213306,0.011596367166803238,0.9090909090909093,7.327498816663437e-08,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.002,0.09090909090909091,5e-05,1.0000000000000001e-07,gray_metastable,0.00017331748425755103,0.020000353818721672,0.002057959798978206,0.019433803075053324,6.661338147750939e-16,0.5000078780674663,0.49999212193253373,0.011596496823135257,0.909090909090909,3.6637766095401264e-07,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.002,0.09090909090909091,0.0001,2.0000000000000002e-07,gray_metastable,0.0001733199482693497,0.020000717739000834,0.0020579900567261533,0.019434167517380585,6.661338147750939e-16,0.5000078781794668,0.49999212182053315,0.011596658895647812,0.909090909090909,7.327619519143294e-07,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.002,0.09090909090909091,0.0005,1e-06,gray_metastable,0.00017333966162253337,0.020003629339193696,0.0020582321345458867,0.0194370833022256,6.661338147750939e-16,0.5000078790755282,0.4999921209244717,0.011597955560036413,0.9090909090909092,3.6640754979599727e-06,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.002,0.09090909090909091,0.001,2e-06,gray_metastable,0.00017336430645312534,0.020007269434427488,0.0020585347714341283,0.019440728648944472,6.661338147750939e-16,0.500007880195748,0.4999921198042521,0.01159957660134283,0.9090909090909092,7.328815562344216e-06,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.002,0.09090909090909091,0.002,4e-06,gray_metastable,0.0001734136065781104,0.02001455160855564,0.0020591401772620337,0.01944802139498042,6.661338147750939e-16,0.5000078824366626,0.4999921175633374,0.011602819386741944,0.9090909090909091,1.4660289815479475e-05,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.002,0.09090909090909091,0.005,1e-05,gray_metastable,0.00017356159070911793,0.020036414008951786,0.0020609574516488424,0.019469916063140302,6.661338147750939e-16,0.500007889163214,0.4999921108367859,0.011612553367905436,0.9090909090909091,3.667067434263478e-05,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.002,0.09090909090909091,0.01,2e-05,gray_metastable,0.0001738085103311496,0.020072904327056662,0.002063989768290697,0.019506462005173197,6.661338147750939e-16,0.5000079003868332,0.49999209961316665,0.011628795436351745,0.9090909090909091,7.340791206954237e-05,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.005,0.19999999999999998,0.0,0.0,gray_metastable,0.00017331502028017349,0.019999989905038096,0.002057929541669832,0.01943343863954905,6.661338147750939e-16,0.500017331502028,0.499982668497972,0.010204774582606322,0.7999999999999999,0.0,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.005,0.19999999999999998,1e-05,5.0000000000000004e-08,gray_metastable,0.0001733177306567112,0.020000390210432258,0.0020579628247313847,0.01943383951896016,8.881784197001252e-16,0.5000173317730657,0.49998266822693427,0.010204931466638627,0.7999999999999998,4.030157707001511e-07,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.005,0.19999999999999998,5e-05,2.5000000000000004e-07,gray_metastable,0.0001733285725869656,0.020001991512022865,0.002058095962305345,0.01943544311937789,8.881784197001252e-16,0.5000173328572587,0.49998266714274125,0.010205559027722558,0.7999999999999999,2.01515929156159e-06,False,True,False,False
gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0.00017331502028017349,0.019999989905038096,0.005,0.19999999999999998,0.0001,5.000000000000001e-07,gray_metastable,0.0001733421259483684,0.020003993318987216,0.002058262396256319,0.019437447806137875,6.661338147750939e-16,0.5000173342125948,0.49998266578740524,0.01020634353520224,0.8,4.030519617315376e-06,False,True,False,False
