step,takagi_r1,takagi_r2,takagi_r3
0,0.2581988897471364,6.059204979032304e-06,2.071110081405516e-09
1,0.2581988897471363,6.05920358954547e-06,1.0648420421436109e-09
2,0.2581988897471363,6.05920400314736e-06,2.064543179839773e-09
3,0.2581988897471364,6.0592039114899466e-06,2.014160811427279e-09
4,0.2581988897471363,6.059202783137211e-06,2.1558913957262743e-09
5,0.2581988897471363,6.059202030645643e-06,4.703897066366845e-10
6,0.2581988897471361,6.059198737786652e-06,1.6836806302542096e-09
7,0.25819888974713606,6.059201623393381e-06,1.8625806268769357e-09
8,0.25819888974713606,6.059202004816621e-06,1.8292158915470626e-09
9,0.2581988897471361,6.05920342333996e-06,2.3875378367164752e-09
10,0.258198889747136,6.059200222229444e-06,1.0348859451259934e-09
11,0.2581988897471359,6.059202944136574e-06,1.8994578804142786e-09
12,0.2581988897471359,6.05920331140133e-06,1.8335818077885895e-10
13,0.2581988897471359,6.059204170865621e-06,1.7579138557848018e-09
14,0.2581988897471359,6.059204459680617e-06,1.1773639678834726e-09
15,0.2581988897471359,6.059205404483334e-06,8.631225910340252e-10
16,0.2581988897471358,6.059209439795956e-06,1.7064031446846552e-09
17,0.2581988897471358,6.059214322966811e-06,1.4935612803631746e-09
18,0.25819888974713584,6.05921666004679e-06,1.7757913605307474e-09
19,0.2581988897471358,6.0592170593257906e-06,1.4338055590272289e-09
20,0.25819888974713584,6.059216635578462e-06,1.0333659897117328e-09
21,0.25819888974713584,6.0592171873945074e-06,9.83919953568961e-10
22,0.2581988897471358,6.059214451169814e-06,1.721663204753391e-09
23,0.25819888974713573,6.059213429543357e-06,2.1475630031523594e-09
24,0.2581988897471357,6.059215934884445e-06,1.5943007602167638e-09
25,0.25819888974713556,6.059215818178963e-06,2.3512558982409416e-09
26,0.25819888974713545,6.0592150090350105e-06,1.2530168698386047e-09
27,0.2581988897471354,6.0592155380188784e-06,2.39022601742346e-09
28,0.25819888974713545,6.059219553055229e-06,1.586485885651211e-09
29,0.25819888974713545,6.059219022578261e-06,1.5275798161233803e-09
30,0.2581988897471355,6.059219437778333e-06,1.9946789138500053e-09
31,0.25819888974713556,6.059220742546887e-06,1.4273201140332967e-09
32,0.25819888974713573,6.059224903469167e-06,1.8542529388146894e-09
33,0.25819888974713556,6.059223142308101e-06,1.6444640056000582e-09
34,0.25819888974713556,6.059220750889874e-06,1.7260054072274667e-09
35,0.2581988897471357,6.059222007287479e-06,1.7293992693702762e-09
36,0.2581988897471355,6.0592182002645024e-06,1.2942007897750573e-09
37,0.2581988897471356,6.059217137605915e-06,1.8027927554473032e-09
38,0.2581988897471358,6.059218501432113e-06,2.1733817289081136e-09
39,0.25819888974713584,6.059218988050362e-06,1.539859738050875e-09
40,0.2581988897471356,6.059218703099191e-06,1.6383455610791257e-09
41,0.2581988897471356,6.059221314794927e-06,1.973655625067004e-09
42,0.25819888974713556,6.059222183035105e-06,1.9814992180865373e-09
43,0.2581988897471355,6.0592223645798506e-06,1.7786524776196488e-09
44,0.2581988897471356,6.05921796596824e-06,1.6094215940140288e-09
45,0.25819888974713556,6.059217035735097e-06,2.012477172099916e-09
46,0.2581988897471356,6.059220551968137e-06,1.333476645993731e-09
47,0.25819888974713573,6.0592218640690654e-06,1.850991717330273e-09
48,0.2581988897471357,6.059222378777789e-06,1.821533843693852e-09
49,0.2581988897471357,6.05922280904822e-06,1.3944821846504356e-09
50,0.2581988897471358,6.059224451281837e-06,2.037029854363348e-09
51,0.25819888974713606,6.059223282605039e-06,1.0854241709546687e-09
52,0.25819888974713606,6.059224855756701e-06,2.4740168404804874e-09
53,0.2581988897471363,6.05922615535145e-06,8.152630380294962e-10
54,0.25819888974713634,6.0592279961045635e-06,1.6820300108612626e-09
55,0.2581988897471364,6.059230019904341e-06,1.5665139678299228e-09
56,0.25819888974713634,6.05923298384532e-06,1.187109034496283e-09
57,0.2581988897471364,6.059234062820729e-06,1.320013075567955e-09
58,0.25819888974713645,6.059234158402318e-06,1.672892939361107e-09
59,0.25819888974713645,6.059234320380016e-06,1.6723101241308344e-09
60,0.25819888974713645,6.0592338732333685e-06,2.3113732226851374e-09
61,0.25819888974713656,6.059233505449052e-06,1.8499903460435052e-09
62,0.2581988897471366,6.059234793135703e-06,2.7055312156382492e-09
63,0.2581988897471368,6.0592337841478175e-06,1.4645905515576592e-09
64,0.2581988897471367,6.059236534979726e-06,1.32894478293972e-09
65,0.25819888974713684,6.05923706185306e-06,1.9448637539918113e-09
66,0.2581988897471369,6.059236387878944e-06,1.7489015839838675e-09
67,0.2581988897471369,6.0592378514267984e-06,9.987288751770338e-10
68,0.258198889747137,6.059236332190702e-06,1.8372188258027534e-09
69,0.2581988897471371,6.059234111433479e-06,1.4710887537421016e-09
70,0.25819888974713723,6.059236879022794e-06,9.105587121811062e-10
71,0.2581988897471373,6.059236650242714e-06,1.3497360887870005e-09
72,0.25819888974713723,6.0592367976558414e-06,1.444186760601601e-09
73,0.25819888974713734,6.059237344301591e-06,1.6056246648866743e-09
74,0.2581988897471375,6.059238150401753e-06,1.6715654753233125e-09
75,0.2581988897471375,6.059239795005721e-06,1.451414903354531e-09
76,0.2581988897471378,6.0592373504795415e-06,2.0070569973293727e-09
77,0.2581988897471378,6.059234893162132e-06,1.5672365999233582e-09
78,0.2581988897471379,6.059238190738121e-06,1.5493173395804957e-09
79,0.2581988897471377,6.059236754291194e-06,2.0729160739897696e-09
80,0.2581988897471377,6.059236660200513e-06,1.32416140566321e-09
81,0.2581988897471377,6.059237359905702e-06,2.0669452981675215e-09
82,0.25819888974713784,6.0592381187293775e-06,1.3309772953046464e-09
83,0.2581988897471378,6.059240855419934e-06,1.667298767557157e-09
84,0.2581988897471378,6.059239464839753e-06,1.6339703116706958e-09
85,0.2581988897471379,6.0592420368693836e-06,1.74054115925106e-09
86,0.2581988897471379,6.059241873033712e-06,1.3214884618940417e-09
87,0.25819888974713795,6.059240997022488e-06,1.5083845698786057e-09
88,0.258198889747138,6.059240556512948e-06,2.4899122256047377e-09
89,0.25819888974713806,6.059239731869594e-06,9.39421262140915e-10
90,0.25819888974713806,6.059237432148555e-06,1.7638717359803987e-09
91,0.258198889747138,6.059232786881864e-06,1.7409582384528356e-09
92,0.258198889747138,6.059233716903235e-06,1.620009083993937e-09
93,0.2581988897471379,6.059230273109133e-06,1.5874366934253338e-09
94,0.25819888974713795,6.0592347236901855e-06,2.0216474721764305e-09
95,0.25819888974713795,6.059234086853671e-06,2.455639452926356e-09
96,0.25819888974713806,6.059236896591565e-06,1.7461870031923539e-09
97,0.258198889747138,6.05923602785294e-06,1.5277626287339422e-09
98,0.2581988897471381,6.059238387009359e-06,1.134049735609471e-09
99,0.2581988897471381,6.059237463328167e-06,1.8767929358561473e-09
100,0.258198889747138,6.059237743883554e-06,2.444096976718967e-09
101,0.258198889747138,6.059235419334532e-06,2.0125656370857234e-09
102,0.25819888974713806,6.059238305344407e-06,1.625910273382672e-09
103,0.2581988897471381,6.0592362807066955e-06,2.2253272854360003e-09
104,0.25819888974713806,6.059234016089408e-06,2.2473641197560654e-09
105,0.25819888974713817,6.059237286141125e-06,1.4508829171534472e-09
106,0.2581988897471381,6.059233095433473e-06,1.4300660549836112e-09
107,0.25819888974713806,6.0592305101801735e-06,1.7087979332274323e-09
108,0.2581988897471381,6.059230567362207e-06,8.334022272429784e-10
109,0.25819888974713817,6.059233211460202e-06,1.663876347817047e-09
110,0.2581988897471382,6.059235146416485e-06,1.872055630511341e-09
111,0.2581988897471382,6.059239114229001e-06,2.051654315819732e-09
112,0.25819888974713834,6.059240558748681e-06,1.7730532293631862e-09
113,0.2581988897471384,6.059238074564407e-06,2.208405413929827e-09
114,0.25819888974713834,6.059241642366588e-06,1.405739273903451e-09
115,0.2581988897471383,6.059239364931432e-06,1.8775598809598266e-09
116,0.2581988897471382,6.059236896592678e-06,1.0478978949506549e-09
117,0.25819888974713834,6.059237378782974e-06,1.6810800048582809e-09
118,0.2581988897471385,6.059236381830496e-06,1.479356014104057e-09
119,0.2581988897471385,6.059237713638048e-06,2.007161285231503e-09
120,0.25819888974713856,6.059237078659437e-06,1.796060223336472e-09
121,0.25819888974713856,6.0592394199299e-06,1.0263512139235595e-09
122,0.25819888974713867,6.059241523903194e-06,1.7030307888291381e-09
123,0.2581988897471388,6.0592451716830135e-06,1.964827555082455e-09
124,0.2581988897471389,6.0592449682472676e-06,1.0559450101027807e-09
125,0.2581988897471389,6.059246699543178e-06,1.8422809741228127e-09
126,0.25819888974713895,6.059245585255554e-06,7.49674864253095e-10
127,0.2581988897471389,6.059248301724953e-06,1.710334272401778e-09
128,0.2581988897471388,6.05924475893914e-06,1.5627233013980188e-09
129,0.25819888974713884,6.059243966694615e-06,1.7398168345880756e-09
130,0.25819888974713867,6.059244254721141e-06,1.885106543245274e-09
131,0.2581988897471387,6.059245193708734e-06,1.8796776011109167e-09
132,0.2581988897471389,6.05924392366727e-06,2.0116611614445413e-09
133,0.2581988897471389,6.059242136292185e-06,2.0934015319333504e-09
134,0.25819888974713867,6.059241664640895e-06,1.4038476246104192e-09
135,0.2581988897471389,6.0592407200022885e-06,1.3022587417421166e-09
136,0.2581988897471389,6.059240761640412e-06,2.3541127989894147e-09
137,0.25819888974713906,6.0592423533758905e-06,8.634637318979849e-10
138,0.25819888974713906,6.059244958904745e-06,2.2329253355833225e-09
139,0.25819888974713906,6.059244610206063e-06,1.915698591192866e-09
140,0.25819888974713906,6.059248133481042e-06,1.2044913271655901e-09
141,0.25819888974713895,6.0592448264771744e-06,1.591408334630393e-09
142,0.25819888974713895,6.059245786581059e-06,2.0438801518058947e-09
143,0.2581988897471392,6.059245241485025e-06,9.968087376768343e-10
144,0.2581988897471391,6.059242210706659e-06,1.1568879864860758e-09
145,0.25819888974713917,6.059237659866209e-06,1.889932085452208e-09
146,0.25819888974713917,6.059237022017965e-06,8.988038807813676e-10
147,0.2581988897471392,6.059238503112906e-06,2.59230451405796e-09
148,0.25819888974713917,6.059236008272612e-06,9.309643430869544e-10
149,0.2581988897471392,6.059234625931893e-06,2.244090360100438e-09
150,0.2581988897471393,6.0592320800423905e-06,1.2646702958256833e-09
151,0.25819888974713934,6.059232903260829e-06,1.4899629711598107e-09
152,0.2581988897471394,6.059235868761153e-06,1.4284815731130818e-09
153,0.25819888974713934,6.059238668767815e-06,1.9726720362865736e-09
154,0.25819888974713934,6.05924142225553e-06,1.2711808415744357e-09
155,0.25819888974713945,6.0592400396861835e-06,2.1635479052689955e-09
156,0.25819888974713956,6.059240647064569e-06,1.8171548016288855e-09
157,0.25819888974713967,6.059239031690097e-06,1.555358038046364e-09
158,0.25819888974713984,6.059239850733424e-06,1.6190324558697655e-09
159,0.2581988897471399,6.05924219328928e-06,1.402983437858117e-09
160,0.25819888974713995,6.059240153492351e-06,2.077554970738071e-09
161,0.25819888974713995,6.059243551878629e-06,1.3578283620965242e-09
162,0.25819888974713995,6.059243587360063e-06,1.5773347709817e-09
163,0.2581988897471399,6.059244930434392e-06,1.0683981203854817e-09
164,0.25819888974713984,6.059241802994958e-06,2.252181292266009e-09
165,0.25819888974713967,6.059244518764598e-06,1.8120838673510632e-09
166,0.25819888974713984,6.05924074252813e-06,1.2434473670192151e-09
