step,max_abs_error_from_one_third,mean_abs_error_from_one_third
0,1.5029688604784042e-10,1.0019792403189361e-10
1,1.502970525812941e-10,1.0019803505419607e-10
2,1.502970525812941e-10,1.0019803505419607e-10
3,1.502970525812941e-10,1.0019799804676192e-10
4,1.502970525812941e-10,1.0019803505419607e-10
5,1.5029710809244534e-10,1.0019805355791316e-10
6,1.5029727462589904e-10,1.0019816458021562e-10
7,1.5029760769280642e-10,1.0019834961738638e-10
8,1.5029782973741135e-10,1.0019851615084008e-10
9,1.502981072931675e-10,1.0019871969172793e-10
10,1.5029816280431874e-10,1.00198738195445e-10
11,1.5029866240467982e-10,1.0019908976606946e-10
12,1.5029866240467982e-10,1.0019908976606946e-10
13,1.502989954715872e-10,1.0019933031439147e-10
14,1.5029921751619213e-10,1.0019945984041101e-10
15,1.5029977262770444e-10,1.0019988542590379e-10
16,1.503000501834606e-10,1.002000334556404e-10
17,1.5030066080612414e-10,1.0020042203369901e-10
18,1.503009383618803e-10,1.0020066258202102e-10
19,1.5030132693993892e-10,1.0020088462662595e-10
20,1.503014934733926e-10,1.0020097714521133e-10
21,1.503018265403e-10,1.0020123619725041e-10
22,1.503019930737537e-10,1.0020127320468457e-10
23,1.5030221511835862e-10,1.0020145824185533e-10
24,1.5030249267411477e-10,1.002016432790261e-10
25,1.5030277022987093e-10,1.0020182831619688e-10
26,1.5030282574102216e-10,1.0020190233106518e-10
27,1.5030315880792955e-10,1.0020210587195304e-10
28,1.503036028971394e-10,1.0020238342770919e-10
29,1.5030388045289556e-10,1.0020258696859703e-10
30,1.5030404698634925e-10,1.0020267948718242e-10
31,1.5030438005325664e-10,1.0020288302807027e-10
32,1.5030471312016402e-10,1.0020314208010935e-10
33,1.5030471312016402e-10,1.0020314208010935e-10
34,1.5030471312016402e-10,1.0020312357639227e-10
35,1.503050461870714e-10,1.0020329010984597e-10
36,1.5030510169822264e-10,1.0020336412471427e-10
37,1.5030532374282757e-10,1.0020353065816796e-10
38,1.503053792539788e-10,1.002035861693192e-10
39,1.5030560129858372e-10,1.0020371569533874e-10
40,1.5030587885433988e-10,1.0020390073250951e-10
41,1.5030621192124727e-10,1.0020410427339736e-10
42,1.503064339658522e-10,1.0020427080685106e-10
43,1.5030687805506204e-10,1.0020462237747552e-10
44,1.503069890773645e-10,1.0020465938490967e-10
45,1.503071556108182e-10,1.0020480741464628e-10
46,1.5030754418887682e-10,1.0020502945925121e-10
47,1.503078772557842e-10,1.0020523300013906e-10
48,1.5030798827808667e-10,1.0020530701500736e-10
49,1.5030826583384282e-10,1.0020549205217814e-10
50,1.5030848787844775e-10,1.0020565858563184e-10
51,1.5030865441190144e-10,1.0020571409678307e-10
52,1.5030898747880883e-10,1.0020597314882214e-10
53,1.50309265034565e-10,1.0020615818599292e-10
54,1.503094870791699e-10,1.0020632471944661e-10
55,1.5030987565722853e-10,1.0020654676405154e-10
56,1.5031026423528715e-10,1.0020686132724184e-10
57,1.5031059730219454e-10,1.0020702786069553e-10
58,1.5031065281334577e-10,1.0020710187556385e-10
59,1.5031098588025316e-10,1.0020728691273462e-10
60,1.503108748579507e-10,1.0020726840901754e-10
61,1.5031137445831178e-10,1.0020752746105661e-10
62,1.5031154099176547e-10,1.0020765698707616e-10
63,1.5031165201406793e-10,1.0020774950566154e-10
64,1.5031181854752163e-10,1.0020784202424693e-10
65,1.50312151614429e-10,1.0020806406885185e-10
66,1.5031237365903394e-10,1.0020817509115432e-10
67,1.503126512147901e-10,1.0020841563947631e-10
68,1.5031292877054625e-10,1.002086006766471e-10
69,1.5031292877054625e-10,1.002086006766471e-10
70,1.503132063263024e-10,1.002087487063837e-10
71,1.503133728597561e-10,1.0020889673612032e-10
72,1.503137059266635e-10,1.0020913728444232e-10
73,1.5031398348241964e-10,1.002093223216131e-10
74,1.5031420552702457e-10,1.002093963364814e-10
75,1.5031448308278073e-10,1.0020967389223756e-10
76,1.5031470512738565e-10,1.002098034182571e-10
77,1.5031487166083934e-10,1.0020985892940833e-10
78,1.503153157500492e-10,1.002102105000328e-10
79,1.503154822835029e-10,1.0021030301861818e-10
80,1.5031581535041028e-10,1.0021056207065726e-10
81,1.5031631495077136e-10,1.0021087663384758e-10
82,1.5031659250652751e-10,1.0021104316730127e-10
83,1.5031681455113244e-10,1.002111726933208e-10
84,1.503167590399812e-10,1.0021115418960373e-10
85,1.5031720312919106e-10,1.0021145024907696e-10
86,1.5031731415149352e-10,1.0021148725651112e-10
87,1.5031748068494721e-10,1.0021163528624773e-10
88,1.5031786926300583e-10,1.0021191284200388e-10
89,1.5031809130761076e-10,1.002120608717405e-10
90,1.50318146818762e-10,1.0021207937545758e-10
91,1.5031809130761076e-10,1.0021202386430635e-10
92,1.5031831335221568e-10,1.0021219039776004e-10
93,1.5031831335221568e-10,1.0021219039776004e-10
94,1.5031875744142553e-10,1.002124679535162e-10
95,1.503190349971817e-10,1.0021267149440405e-10
96,1.5031936806408908e-10,1.0021285653157482e-10
97,1.503194235752403e-10,1.0021293054644313e-10
98,1.5031970113099646e-10,1.002131155836139e-10
99,1.5031970113099646e-10,1.002131155836139e-10
100,1.5031997868675262e-10,1.0021330062078467e-10
101,1.5032014522020631e-10,1.0021341164308713e-10
102,1.5032036726481124e-10,1.0021352266538959e-10
103,1.503206448205674e-10,1.0021372620627744e-10
104,1.5032086686517232e-10,1.002139297471653e-10
105,1.5032114442092848e-10,1.002140777769019e-10
106,1.5032125544323094e-10,1.0021417029548729e-10
107,1.5032158851013833e-10,1.0021435533265806e-10
108,1.5032175504359202e-10,1.0021452186611175e-10
109,1.5032214362165064e-10,1.002147254069996e-10
110,1.503224211774068e-10,1.0021492894788746e-10
111,1.5032280975546541e-10,1.0021518799992653e-10
112,1.5032319833352403e-10,1.0021542854824854e-10
113,1.5032325384467526e-10,1.0021548405939977e-10
114,1.5032353140043142e-10,1.0021566909657054e-10
115,1.5032375344503635e-10,1.0021579862259007e-10
116,1.5032380895618758e-10,1.002158541337413e-10
117,1.5032408651194373e-10,1.0021603917091208e-10
118,1.5032408651194373e-10,1.0021603917091208e-10
119,1.5032430855654866e-10,1.0021620570436578e-10
120,1.5032458611230481e-10,1.0021635373410238e-10
121,1.5032480815690974e-10,1.0021652026755608e-10
122,1.503252522461196e-10,1.0021676081587809e-10
123,1.503256408241782e-10,1.0021709388278548e-10
124,1.503258073576319e-10,1.0021722340880501e-10
125,1.5032608491338806e-10,1.002173159273904e-10
126,1.5032625144684175e-10,1.002174824608441e-10
127,1.5032641798029545e-10,1.0021757497942947e-10
128,1.5032664002490037e-10,1.0021774151288317e-10
129,1.5032680655835406e-10,1.0021785253518563e-10
130,1.5032680655835406e-10,1.0021785253518563e-10
131,1.5032719513641268e-10,1.0021807457979055e-10
132,1.5032736166986638e-10,1.002182781206784e-10
133,1.5032736166986638e-10,1.0021822260952717e-10
134,1.5032769473677376e-10,1.0021846315784917e-10
135,1.503279167813787e-10,1.0021859268386872e-10
136,1.503279167813787e-10,1.0021859268386872e-10
137,1.5032824984828608e-10,1.0021879622475656e-10
138,1.50328471892891e-10,1.0021896275821025e-10
139,1.5032858291519346e-10,1.0021903677307857e-10
140,1.5032902700440332e-10,1.002193328325518e-10
141,1.5032902700440332e-10,1.002193328325518e-10
142,1.503293600713107e-10,1.0021955487715672e-10
143,1.5032947109361317e-10,1.0021962889202503e-10
144,1.503295266047644e-10,1.0021964739574211e-10
145,1.503295266047644e-10,1.0021964739574211e-10
146,1.503295266047644e-10,1.0021968440317626e-10
147,1.5032997069397425e-10,1.0021992495149827e-10
148,1.5033002620512548e-10,1.0021999896636657e-10
149,1.5033019273857917e-10,1.0022009148495196e-10
150,1.5033019273857917e-10,1.0022009148495196e-10
151,1.503304147831841e-10,1.0022025801840566e-10
152,1.5033080336124272e-10,1.0022049856672766e-10
153,1.503309698946964e-10,1.0022066510018135e-10
154,1.5033135847275503e-10,1.0022092415222043e-10
155,1.503314694950575e-10,1.0022101667080581e-10
156,1.5033180256196488e-10,1.0022122021169366e-10
157,1.503318580731161e-10,1.0022133123399612e-10
158,1.503320246065698e-10,1.0022138674514736e-10
159,1.5033208011772103e-10,1.0022140524886443e-10
160,1.5033246869577965e-10,1.0022171981205474e-10
161,1.5033280176268704e-10,1.002218308343572e-10
162,1.5033296829614073e-10,1.0022197886409383e-10
163,1.5033313482959443e-10,1.0022212689383044e-10
164,1.5033330136304812e-10,1.0022218240498167e-10
165,1.503338009634092e-10,1.0022255247932321e-10
166,1.5033352340765305e-10,1.0022225641984998e-10
167,1.5033407851916536e-10,1.002226449979086e-10
168,1.5033435607492152e-10,1.0022292255366476e-10
169,1.5033496669758506e-10,1.0022331113172338e-10
170,1.5033529976449245e-10,1.002236071911966e-10
171,1.5033535527564368e-10,1.002235331763283e-10
172,1.50335910387156e-10,1.0022399576925523e-10
173,1.5033613243176092e-10,1.0022406978412353e-10
174,1.5033635447636584e-10,1.0022423631757722e-10
175,1.503364654986683e-10,1.0022427332501138e-10
176,1.5033668754327323e-10,1.0022443985846508e-10
177,1.5033690958787815e-10,1.0022460639191877e-10
178,1.5033702061018062e-10,1.0022466190307e-10
179,1.5033729816593677e-10,1.0022484694024077e-10
180,1.5033746469939047e-10,1.0022499496997739e-10
181,1.503375202105417e-10,1.0022492095510908e-10
182,1.5033796429975155e-10,1.0022534654060185e-10
183,1.5033801981090278e-10,1.0022536504431893e-10
184,1.50338075322054e-10,1.0022538354803601e-10
185,1.503382418555077e-10,1.0022553157777263e-10
186,1.5033846390011263e-10,1.0022560559264093e-10
187,1.5033879696702002e-10,1.0022590165211416e-10
188,1.5033885247817125e-10,1.0022580913352878e-10
