case,N,M,simplex_rank,final_r2_min,final_r2_max,final_phase_distance_classes_tol1e-8,class_sizes,phase_thirds_error
N=3,3,3,2,0.0666666666302252,0.0666666666892183,3,1+1+1,1.5032042277596247e-10
N=4,4,6,3,0.111111111076987,0.1111111111727946,3,2+2+2,1.5248746709772831e-10
