step,takagi_r1,takagi_r2,takagi_r3,takagi_r4
0,0.33333333342550464,0.33333333329229653,0.33333333328213866,3.1138374477835684e-09
1,0.3333333334255045,0.33333333329229653,0.3333333332821387,2.0237260323389573e-09
2,0.33333333342550453,0.33333333329229675,0.3333333332821389,3.0264695067967516e-09
3,0.3333333334255045,0.33333333329229664,0.3333333332821387,2.434874010158024e-09
4,0.3333333334255046,0.333333333292297,0.33333333328213893,1.4411721488185151e-09
5,0.3333333334255046,0.3333333332922971,0.333333333282139,3.0164500733618063e-09
6,0.3333333334255044,0.3333333332922971,0.333333333282139,2.3798709369126596e-09
7,0.3333333334255045,0.3333333332922972,0.33333333328213904,2.744403873736631e-09
8,0.3333333334255045,0.3333333332922973,0.3333333332821392,2.1170615789390173e-09
9,0.33333333342550414,0.3333333332922971,0.33333333328213893,2.129453211554276e-09
10,0.33333333342550403,0.3333333332922972,0.33333333328213877,2.4509935638009104e-09
11,0.33333333342550403,0.33333333329229736,0.33333333328213904,2.1979235639378846e-09
12,0.333333333425504,0.3333333332922973,0.33333333328213904,2.5498144462142153e-09
13,0.333333333425504,0.3333333332922973,0.33333333328213893,3.474745275104635e-09
14,0.3333333334255042,0.3333333332922977,0.3333333332821393,2.189102640902134e-09
15,0.3333333334255043,0.3333333332922978,0.3333333332821395,3.7714789348295414e-09
16,0.33333333342550414,0.33333333329229775,0.3333333332821394,3.191134654704515e-09
17,0.33333333342550425,0.3333333332922978,0.33333333328213965,3.0256404826510075e-09
18,0.333333333425504,0.33333333329229764,0.33333333328213943,2.3729651308869373e-09
19,0.3333333334255041,0.333333333292298,0.33333333328213965,1.7506021175977846e-09
20,0.33333333342550364,0.3333333332922976,0.3333333332821393,1.934223994762172e-09
21,0.3333333334255033,0.33333333329229725,0.3333333332821392,2.2728361909641567e-09
22,0.33333333342550303,0.333333333292297,0.33333333328213904,2.9989700134405733e-09
23,0.3333333334255029,0.3333333332922971,0.33333333328213915,1.154482848127179e-09
24,0.33333333342550264,0.33333333329229686,0.3333333332821391,3.0529918716202695e-09
25,0.33333333342550214,0.33333333329229636,0.333333333282139,2.1044114788871982e-09
26,0.33333333342550214,0.33333333329229636,0.3333333332821392,2.3304940900374147e-09
27,0.33333333342550187,0.3333333332922962,0.33333333328213893,1.7150204854547673e-09
28,0.3333333334255018,0.3333333332922962,0.3333333332821389,3.0798688238100433e-09
29,0.3333333334255015,0.333333333292296,0.33333333328213866,2.555066092740038e-09
30,0.33333333342550175,0.3333333332922962,0.3333333332821388,2.2752158827912207e-09
31,0.3333333334255015,0.3333333332922959,0.33333333328213866,2.5314923881033754e-09
32,0.3333333334255013,0.3333333332922959,0.3333333332821387,1.5826210463194048e-09
33,0.3333333334255013,0.3333333332922959,0.3333333332821388,1.2878434358817459e-09
34,0.3333333334255014,0.3333333332922961,0.333333333282139,3.2235342981629374e-09
35,0.33333333342550137,0.33333333329229614,0.3333333332821392,2.5281678017677603e-09
36,0.3333333334255014,0.3333333332922962,0.33333333328213927,2.5950175802860696e-09
37,0.3333333334255015,0.33333333329229614,0.3333333332821395,2.9225580916794077e-09
38,0.3333333334255013,0.333333333292296,0.3333333332821394,3.1290293504417836e-09
39,0.33333333342550137,0.33333333329229603,0.33333333328213954,2.9749500054621767e-09
40,0.33333333342550137,0.3333333332922961,0.3333333332821396,2.3425024225541577e-09
41,0.33333333342550103,0.33333333329229575,0.3333333332821395,2.093396542886747e-09
42,0.3333333334255009,0.33333333329229553,0.33333333328213965,2.523475728413784e-09
43,0.3333333334255008,0.3333333332922955,0.33333333328213965,2.8413068577015005e-09
44,0.3333333334255008,0.3333333332922954,0.33333333328213965,3.199749224873111e-09
45,0.3333333334255011,0.3333333332922957,0.33333333328214004,2.062831525862595e-09
46,0.33333333342550076,0.33333333329229536,0.3333333332821399,3.13614538896977e-09
47,0.3333333334255006,0.33333333329229525,0.3333333332821398,3.28802276391971e-09
48,0.33333333342550087,0.3333333332922954,0.33333333328214027,3.2010423254799135e-09
49,0.33333333342550064,0.3333333332922952,0.3333333332821401,2.3485818290407727e-09
50,0.33333333342550076,0.33333333329229525,0.33333333328214004,2.2354677716617117e-09
51,0.333333333425501,0.3333333332922954,0.3333333332821404,2.6304075243114187e-09
52,0.3333333334255014,0.33333333329229586,0.3333333332821408,2.421148073607332e-09
53,0.3333333334255013,0.33333333329229575,0.3333333332821409,2.5938296121384373e-09
54,0.3333333334255011,0.3333333332922954,0.33333333328214065,1.3949455923677431e-09
55,0.33333333342550087,0.3333333332922952,0.3333333332821407,3.866450785827101e-09
56,0.33333333342550114,0.3333333332922954,0.33333333328214104,2.304437099457783e-09
57,0.3333333334255015,0.3333333332922957,0.3333333332821414,1.871940604106395e-09
58,0.3333333334255011,0.3333333332922952,0.33333333328214115,2.458722264759882e-09
59,0.3333333334255012,0.3333333332922952,0.3333333332821415,2.87845358169015e-09
60,0.3333333334255013,0.33333333329229536,0.33333333328214165,3.1341900146864444e-09
61,0.33333333342550153,0.3333333332922955,0.3333333332821418,3.0010083798108312e-09
62,0.33333333342550175,0.33333333329229553,0.33333333328214193,3.4111888431071074e-09
63,0.3333333334255013,0.3333333332922951,0.33333333328214165,3.594993611192124e-09
64,0.33333333342550103,0.33333333329229464,0.3333333332821414,2.8869688199871408e-09
65,0.33333333342550103,0.33333333329229453,0.33333333328214143,2.3685426267288726e-09
66,0.3333333334255009,0.33333333329229436,0.33333333328214115,2.3473296538037994e-09
67,0.33333333342550076,0.3333333332922941,0.33333333328214104,4.047162327693588e-09
68,0.3333333334255008,0.3333333332922941,0.3333333332821411,2.029327527328523e-09
69,0.3333333334255007,0.3333333332922938,0.33333333328214093,2.7431784508791254e-09
70,0.3333333334255008,0.33333333329229387,0.33333333328214104,2.41631870026966e-09
71,0.3333333334255011,0.33333333329229403,0.33333333328214126,1.4655133449670314e-09
72,0.33333333342550103,0.3333333332922939,0.33333333328214143,1.8134641094493057e-09
73,0.333333333425501,0.3333333332922937,0.33333333328214154,3.358571621147979e-09
74,0.3333333334255012,0.33333333329229375,0.33333333328214154,3.5105589944981484e-09
75,0.3333333334255013,0.3333333332922937,0.33333333328214154,3.0582757389848616e-09
76,0.33333333342550103,0.3333333332922933,0.3333333332821414,3.067769287111545e-09
77,0.33333333342550087,0.3333333332922931,0.3333333332821412,1.7102776402567414e-09
78,0.333333333425501,0.33333333329229303,0.33333333328214115,2.6846437635489966e-09
79,0.33333333342550103,0.333333333292293,0.3333333332821414,3.166311663926421e-09
80,0.3333333334255011,0.333333333292293,0.3333333332821417,3.3899324155263245e-09
81,0.33333333342550103,0.33333333329229275,0.3333333332821416,2.1721484756153634e-09
82,0.3333333334255011,0.3333333332922927,0.33333333328214165,8.312714849583373e-10
83,0.3333333334255011,0.3333333332922926,0.3333333332821416,2.662103673316827e-09
84,0.3333333334255009,0.3333333332922923,0.3333333332821415,8.776056893601548e-10
85,0.33333333342550125,0.33333333329229253,0.33333333328214154,3.3860737725725082e-09
86,0.3333333334255012,0.3333333332922924,0.3333333332821415,2.258968362045898e-09
87,0.33333333342550103,0.3333333332922921,0.3333333332821413,2.065335165504966e-09
88,0.333333333425501,0.3333333332922919,0.33333333328214143,2.1581059683870203e-09
89,0.33333333342550114,0.333333333292292,0.33333333328214143,3.60662457477789e-09
90,0.3333333334255011,0.3333333332922918,0.3333333332821413,2.3239441601607308e-09
