t,H,Q2_re,Q2_im,generator_norm
0,np.float64(1510.4644159601569),np.float64(-78.22675784321083),np.float64(62.982842552224184),np.float64(34.909521029185)
1,np.float64(1510.4644159601607),np.float64(-78.22675784321042),np.float64(62.982842552224994),np.float64(35.31782052088953)
2,np.float64(1510.4644159601614),np.float64(-78.22675784321108),np.float64(62.9828425522242),np.float64(35.53459745741777)
3,np.float64(1510.4644159601644),np.float64(-78.22675784321174),np.float64(62.98284255222392),np.float64(35.52719595963547)
4,np.float64(1510.4644159601667),np.float64(-78.22675784321108),np.float64(62.98284255222412),np.float64(35.83377882448532)
5,np.float64(1510.4644159601678),np.float64(-78.2267578432099),np.float64(62.982842552223815),np.float64(36.53040858337552)
6,np.float64(1510.4644159601671),np.float64(-78.22675784321034),np.float64(62.98284255222569),np.float64(37.018384483898146)
7,np.float64(1510.4644159601662),np.float64(-78.22675784321089),np.float64(62.98284255222531),np.float64(37.21758907348975)
8,np.float64(1510.4644159601628),np.float64(-78.22675784321086),np.float64(62.98284255222485),np.float64(37.34396220496278)
9,np.float64(1510.464415960165),np.float64(-78.22675784321116),np.float64(62.98284255222518),np.float64(37.42816117836738)
10,np.float64(1510.464415960169),np.float64(-78.22675784321116),np.float64(62.98284255222526),np.float64(37.50275399038022)
11,np.float64(1510.4644159601742),np.float64(-78.22675784321193),np.float64(62.98284255222554),np.float64(37.586954014469725)
12,np.float64(1510.4644159601803),np.float64(-78.22675784321211),np.float64(62.9828425522252),np.float64(37.6718727918593)
13,np.float64(1510.464415960188),np.float64(-78.2267578432117),np.float64(62.98284255222539),np.float64(37.74710197519304)
14,np.float64(1510.4644159601876),np.float64(-78.22675784321214),np.float64(62.98284255222596),np.float64(37.79277044561803)
15,np.float64(1510.464415960188),np.float64(-78.22675784321238),np.float64(62.982842552226494),np.float64(37.807006318000276)
16,np.float64(1510.4644159601894),np.float64(-78.22675784321217),np.float64(62.982842552227126),np.float64(37.78616220697636)
17,np.float64(1510.4644159601864),np.float64(-78.22675784321224),np.float64(62.98284255222726),np.float64(37.75093326150734)
18,np.float64(1510.4644159601855),np.float64(-78.22675784321237),np.float64(62.98284255222768),np.float64(37.73122180608196)
19,np.float64(1510.4644159601853),np.float64(-78.22675784321203),np.float64(62.98284255222829),np.float64(37.76788117560353)
20,np.float64(1510.4644159601867),np.float64(-78.22675784321228),np.float64(62.9828425522293),np.float64(37.86730985152934)
21,np.float64(1510.4644159601874),np.float64(-78.22675784321277),np.float64(62.98284255223025),np.float64(37.99626552780171)
22,np.float64(1510.4644159601867),np.float64(-78.2267578432124),np.float64(62.98284255222954),np.float64(38.112626463318264)
23,np.float64(1510.4644159601846),np.float64(-78.22675784321251),np.float64(62.98284255223062),np.float64(38.20026731284148)
24,np.float64(1510.464415960185),np.float64(-78.2267578432122),np.float64(62.982842552230544),np.float64(38.258554444576134)
25,np.float64(1510.464415960184),np.float64(-78.22675784321243),np.float64(62.98284255223057),np.float64(38.29598356434456)
