t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(516.5141941810191),np.float64(-46.64805501988853),np.float64(28.94162699637796),np.float64(42.737778863022484),np.float64(4.440892098500626e-16)
1,np.float64(516.51419418102),np.float64(-46.64805501988821),np.float64(28.941626996378293),np.float64(44.49209744460766),np.float64(8.881784197001252e-16)
2,np.float64(516.5141941810198),np.float64(-46.64805501988791),np.float64(28.941626996378425),np.float64(63.823327719118765),np.float64(1.7763568394002505e-15)
3,np.float64(516.5141941810198),np.float64(-46.64805501988791),np.float64(28.941626996378496),np.float64(92.51784524808703),np.float64(3.552713678800501e-15)
4,np.float64(516.514194181019),np.float64(-46.64805501988678),np.float64(28.941626996379267),np.float64(136.47354213363818),np.float64(7.105427357601002e-15)
5,np.float64(516.5141941810191),np.float64(-46.64805501988681),np.float64(28.94162699637885),np.float64(183.35043445610725),np.float64(7.105427357601002e-15)
6,np.float64(516.514194181019),np.float64(-46.64805501988651),np.float64(28.941626996378886),np.float64(207.79989537395292),np.float64(1.4210854715202004e-14)
7,np.float64(516.5141941810203),np.float64(-46.648055019887295),np.float64(28.941626996378837),np.float64(219.5667760233805),np.float64(1.4210854715202004e-14)
8,np.float64(516.5141941810202),np.float64(-46.6480550198877),np.float64(28.94162699637731),np.float64(237.30224604541942),np.float64(1.4210854715202004e-14)
9,np.float64(516.5141941810205),np.float64(-46.648055019888034),np.float64(28.941626996376755),np.float64(239.9817531311879),np.float64(7.105427357601002e-15)
10,np.float64(516.51419418102),np.float64(-46.64805501988812),np.float64(28.941626996376243),np.float64(241.7574851896017),np.float64(1.4210854715202004e-14)
11,np.float64(516.5141941810201),np.float64(-46.64805501988843),np.float64(28.941626996375504),np.float64(243.4635761857523),np.float64(1.4210854715202004e-14)
12,np.float64(516.5141941810198),np.float64(-46.64805501988889),np.float64(28.941626996374126),np.float64(246.63162815294427),np.float64(7.105427357601002e-15)
13,np.float64(516.51419418102),np.float64(-46.64805501988887),np.float64(28.941626996374595),np.float64(249.141710309412),np.float64(1.4210854715202004e-14)
14,np.float64(516.5141941810216),np.float64(-46.648055019888076),np.float64(28.941626996374602),np.float64(250.48612396817555),np.float64(1.4210854715202004e-14)
15,np.float64(516.5141941810211),np.float64(-46.648055019888744),np.float64(28.94162699637469),np.float64(251.19838637263666),np.float64(7.105427357601002e-15)
16,np.float64(516.5141941810216),np.float64(-46.64805501988937),np.float64(28.941626996374676),np.float64(251.57498625717224),np.float64(1.4210854715202004e-14)
17,np.float64(516.5141941810225),np.float64(-46.64805501988978),np.float64(28.94162699637451),np.float64(251.84932352469983),np.float64(1.4210854715202004e-14)
18,np.float64(516.5141941810223),np.float64(-46.6480550198901),np.float64(28.941626996374794),np.float64(252.19069406077432),np.float64(1.4210854715202004e-14)
19,np.float64(516.5141941810205),np.float64(-46.64805501988964),np.float64(28.941626996374055),np.float64(252.6579883774345),np.float64(1.4210854715202004e-14)
20,np.float64(516.5141941810209),np.float64(-46.64805501988988),np.float64(28.941626996374154),np.float64(253.1753526820649),np.float64(1.4210854715202004e-14)
21,np.float64(516.5141941810216),np.float64(-46.64805501989092),np.float64(28.94162699637299),np.float64(253.60733822283174),np.float64(7.105427357601002e-15)
22,np.float64(516.514194181022),np.float64(-46.64805501989092),np.float64(28.94162699637316),np.float64(253.83794019665925),np.float64(1.4210854715202004e-14)
23,np.float64(516.514194181023),np.float64(-46.64805501989021),np.float64(28.941626996373486),np.float64(253.91106550813825),np.float64(1.4210854715202004e-14)
24,np.float64(516.5141941810232),np.float64(-46.64805501989049),np.float64(28.94162699637392),np.float64(254.01534024018446),np.float64(1.4210854715202004e-14)
25,np.float64(516.514194181022),np.float64(-46.64805501989044),np.float64(28.94162699637313),np.float64(254.1728535534529),np.float64(1.4210854715202004e-14)
26,np.float64(516.5141941810225),np.float64(-46.648055019890066),np.float64(28.94162699637325),np.float64(254.2883061499295),np.float64(1.4210854715202004e-14)
27,np.float64(516.5141941810219),np.float64(-46.64805501989059),np.float64(28.941626996373273),np.float64(254.33551953403915),np.float64(1.4210854715202004e-14)
28,np.float64(516.5141941810217),np.float64(-46.64805501989052),np.float64(28.941626996373092),np.float64(254.38722267196556),np.float64(1.4210854715202004e-14)
29,np.float64(516.5141941810211),np.float64(-46.64805501989017),np.float64(28.94162699637387),np.float64(254.4647026052539),np.float64(1.4210854715202004e-14)
30,np.float64(516.5141941810205),np.float64(-46.64805501989011),np.float64(28.941626996373092),np.float64(254.52219448325198),np.float64(7.105427357601002e-15)
31,np.float64(516.5141941810205),np.float64(-46.648055019889824),np.float64(28.94162699637282),np.float64(254.5524915534359),np.float64(1.4210854715202004e-14)
32,np.float64(516.5141941810202),np.float64(-46.64805501988971),np.float64(28.941626996372143),np.float64(254.58710734745782),np.float64(1.4210854715202004e-14)
33,np.float64(516.5141941810214),np.float64(-46.648055019890315),np.float64(28.941626996371625),np.float64(254.62905546085048),np.float64(1.4210854715202004e-14)
34,np.float64(516.5141941810222),np.float64(-46.64805501989079),np.float64(28.941626996371788),np.float64(254.6596040970048),np.float64(1.4210854715202004e-14)
35,np.float64(516.5141941810211),np.float64(-46.64805501989099),np.float64(28.941626996371177),np.float64(254.68195005864413),np.float64(1.4210854715202004e-14)
36,np.float64(516.5141941810207),np.float64(-46.648055019890606),np.float64(28.941626996371212),np.float64(254.70547554956542),np.float64(1.4210854715202004e-14)
37,np.float64(516.5141941810202),np.float64(-46.64805501989079),np.float64(28.941626996371433),np.float64(254.7285250950193),np.float64(7.105427357601002e-15)
38,np.float64(516.5141941810195),np.float64(-46.64805501989069),np.float64(28.941626996371255),np.float64(254.74734380158145),np.float64(1.4210854715202004e-14)
39,np.float64(516.5141941810206),np.float64(-46.64805501989123),np.float64(28.941626996371376),np.float64(254.76432231538314),np.float64(7.105427357601002e-15)
40,np.float64(516.514194181022),np.float64(-46.648055019891515),np.float64(28.941626996371582),np.float64(254.77935838564562),np.float64(1.4210854715202004e-14)
41,np.float64(516.5141941810224),np.float64(-46.64805501989149),np.float64(28.9416269963708),np.float64(254.7928158843739),np.float64(1.4210854715202004e-14)
42,np.float64(516.514194181023),np.float64(-46.64805501989144),np.float64(28.94162699637036),np.float64(254.80629557678324),np.float64(7.105427357601002e-15)
43,np.float64(516.5141941810247),np.float64(-46.648055019891544),np.float64(28.941626996370616),np.float64(254.8183250275039),np.float64(1.4210854715202004e-14)
44,np.float64(516.5141941810255),np.float64(-46.64805501989139),np.float64(28.94162699637075),np.float64(254.82786477959183),np.float64(1.4210854715202004e-14)
45,np.float64(516.5141941810274),np.float64(-46.648055019891316),np.float64(28.941626996370815),np.float64(254.83701405429275),np.float64(1.4210854715202004e-14)
46,np.float64(516.5141941810268),np.float64(-46.64805501989068),np.float64(28.941626996370182),np.float64(254.84683817962846),np.float64(1.4210854715202004e-14)
47,np.float64(516.5141941810272),np.float64(-46.6480550198905),np.float64(28.94162699637016),np.float64(254.8550039865395),np.float64(1.4210854715202004e-14)
48,np.float64(516.5141941810273),np.float64(-46.64805501989008),np.float64(28.941626996370054),np.float64(254.8616309644398),np.float64(1.4210854715202004e-14)
49,np.float64(516.5141941810273),np.float64(-46.64805501989052),np.float64(28.94162699636925),np.float64(254.86846756629487),np.float64(1.4210854715202004e-14)
50,np.float64(516.5141941810268),np.float64(-46.648055019890485),np.float64(28.941626996369095),np.float64(254.87534680055535),np.float64(1.4210854715202004e-14)
51,np.float64(516.5141941810265),np.float64(-46.648055019891004),np.float64(28.941626996369102),np.float64(254.88111850517836),np.float64(1.4210854715202004e-14)
52,np.float64(516.5141941810259),np.float64(-46.64805501989082),np.float64(28.941626996369152),np.float64(254.88610967566498),np.float64(1.4210854715202004e-14)
53,np.float64(516.5141941810255),np.float64(-46.64805501988988),np.float64(28.941626996369862),np.float64(254.89113745401278),np.float64(7.105427357601002e-15)
54,np.float64(516.5141941810256),np.float64(-46.64805501989001),np.float64(28.94162699636992),np.float64(254.89595676747174),np.float64(7.105427357601002e-15)
55,np.float64(516.5141941810261),np.float64(-46.64805501989058),np.float64(28.941626996369877),np.float64(254.9002453134983),np.float64(7.105427357601002e-15)
56,np.float64(516.5141941810283),np.float64(-46.64805501989028),np.float64(28.941626996370847),np.float64(254.90402986622402),np.float64(1.4210854715202004e-14)
57,np.float64(516.5141941810293),np.float64(-46.64805501989103),np.float64(28.941626996369806),np.float64(254.9076219732725),np.float64(1.4210854715202004e-14)
58,np.float64(516.5141941810277),np.float64(-46.648055019890464),np.float64(28.94162699636929),np.float64(254.91107565544868),np.float64(1.4210854715202004e-14)
59,np.float64(516.5141941810286),np.float64(-46.64805501989055),np.float64(28.94162699636958),np.float64(254.91435863818472),np.float64(7.105427357601002e-15)
60,np.float64(516.5141941810283),np.float64(-46.64805501989068),np.float64(28.94162699636874),np.float64(254.91719897927442),np.float64(1.4210854715202004e-14)
61,np.float64(516.514194181027),np.float64(-46.64805501989052),np.float64(28.941626996368505),np.float64(254.91975861614296),np.float64(1.4210854715202004e-14)
62,np.float64(516.5141941810274),np.float64(-46.648055019890016),np.float64(28.94162699636867),np.float64(254.92237561083144),np.float64(1.4210854715202004e-14)
63,np.float64(516.5141941810261),np.float64(-46.64805501989004),np.float64(28.941626996368885),np.float64(254.9250213584338),np.float64(7.105427357601002e-15)
64,np.float64(516.5141941810273),np.float64(-46.648055019890045),np.float64(28.941626996369294),np.float64(254.92714119068444),np.float64(7.105427357601002e-15)
65,np.float64(516.5141941810286),np.float64(-46.64805501989018),np.float64(28.941626996369138),np.float64(254.9290223126853),np.float64(1.4210854715202004e-14)
66,np.float64(516.5141941810286),np.float64(-46.64805501988951),np.float64(28.941626996369408),np.float64(254.93127115414538),np.float64(1.4210854715202004e-14)
67,np.float64(516.5141941810296),np.float64(-46.648055019889426),np.float64(28.941626996371014),np.float64(254.93343691662204),np.float64(7.105427357601002e-15)
68,np.float64(516.5141941810301),np.float64(-46.64805501988977),np.float64(28.94162699637067),np.float64(254.93497516528777),np.float64(1.4210854715202004e-14)
69,np.float64(516.5141941810305),np.float64(-46.64805501988968),np.float64(28.94162699637066),np.float64(254.93649652623435),np.float64(7.105427357601002e-15)
70,np.float64(516.5141941810302),np.float64(-46.648055019889455),np.float64(28.94162699637061),np.float64(254.93852544980203),np.float64(7.105427357601002e-15)
71,np.float64(516.51419418103),np.float64(-46.64805501988924),np.float64(28.9416269963709),np.float64(254.9402300503447),np.float64(7.105427357601002e-15)
72,np.float64(516.51419418103),np.float64(-46.648055019889426),np.float64(28.941626996370516),np.float64(254.94133542339074),np.float64(7.105427357601002e-15)
73,np.float64(516.5141941810307),np.float64(-46.64805501988913),np.float64(28.9416269963714),np.float64(254.94272005350132),np.float64(7.105427357601002e-15)
74,np.float64(516.5141941810309),np.float64(-46.648055019889),np.float64(28.941626996371127),np.float64(254.9444879116672),np.float64(1.4210854715202004e-14)
75,np.float64(516.5141941810309),np.float64(-46.64805501988869),np.float64(28.941626996371305),np.float64(254.94576174610322),np.float64(1.4210854715202004e-14)
76,np.float64(516.5141941810318),np.float64(-46.64805501988846),np.float64(28.94162699637124),np.float64(254.9466539945225),np.float64(7.105427357601002e-15)
77,np.float64(516.514194181032),np.float64(-46.64805501988873),np.float64(28.941626996371212),np.float64(254.94798337195024),np.float64(1.4210854715202004e-14)
