強度順位,DFTビン,波数k,状態内の役割,全強度比,直流を除く強度比,数値誤差床より上
1,1,1,基底波,0.9485609352631594,0.9723048269894746,はい
2,0,0,直流成分,0.024420213771676056,,はい
3,2,2,同方向・第2高調波,0.012416317869750384,0.012727116782270512,はい
4,143,-1,逆回転基底枝,0.003529666822644278,0.0036180196355751434,はい
5,3,3,同方向・第3高調波,0.002572057540016488,0.0026364399676220077,はい
6,142,-2,逆回転・第2枝,0.001361295379794144,0.001395370628841163,はい
7,4,4,同方向・第4高調波,0.001106487426577786,0.001134184453385983,はい
8,141,-3,逆回転・第3枝,0.0007309790713758492,0.0007492765652739459,はい
9,5,5,同方向・第5高調波,0.0006249584783217845,0.0006406021190106121,はい
10,140,-4,逆回転・第4枝,0.0004568541765457108,0.0004682899164116023,はい
11,6,6,同方向・第6高調波,0.00040316350263663755,0.00041325528503957887,はい
12,139,-5,逆回転・第5枝,0.0003130219605055076,0.0003208573659727797,はい
13,7,7,同方向・第7高調波,0.0002821284172733513,0.00028919051138204103,はい
14,138,-6,逆回転・第6枝,0.00022809243758924045,0.00023380193071759463,はい
15,8,8,同方向・第8高調波,0.00020868596325177116,0.00021390968344943794,はい
16,137,-7,逆回転・第7枝,0.00017374834222186528,0.0001780975217758369,はい
17,9,9,同方向・第9高調波,0.0001607678676968419,0.0001647921266577123,はい
18,136,-8,逆回転・第8枝,0.00013688600468488623,0.00014031246507689477,はい
19,10,10,同方向・第10高調波,0.00012776739618321526,0.00013096560423537991,はい
20,135,-9,逆回転・第9枝,0.00011072741097445547,0.00011349908284030485,はい
21,11,11,同方向・第11高調波,0.00010408385684198135,0.00010668923066188008,はい
22,134,-10,逆回転・第10枝,9.148994121092233e-05,9.378007058205905e-05,はい
23,12,12,同方向・第12高調波,8.650247774775205e-05,8.8667763486755e-05,はい
24,133,-11,逆回転・第11枝,7.693691107966855e-05,7.886275645082119e-05,はい
25,13,13,同方向・第13高調波,7.309244627352424e-05,7.492205896978036e-05,はい
26,132,-12,逆回転・第12枝,6.565851592353421e-05,6.730204628098713e-05,はい
27,14,14,同方向・第14高調波,6.263490208627953e-05,6.420274689006368e-05,はい
28,131,-13,逆回転・第13枝,5.673965597564552e-05,5.8159933996793775e-05,はい
29,15,15,同方向・第15高調波,5.4320695387849694e-05,5.5680423225924144e-05,はい
30,130,-14,逆回転・第14枝,4.956736802717571e-05,5.08081130081707e-05,はい
31,16,16,同方向・第16高調波,4.7601238236985986e-05,4.879276806361116e-05,はい
32,129,-15,逆回転・第15枝,4.3713708008935916e-05,4.480792716907029e-05,はい
33,17,17,同方向・第17高調波,4.209397688550134e-05,4.314765176535719e-05,はい
34,128,-16,逆回転・第16枝,3.887435251505674e-05,3.98474354059224e-05,はい
35,18,18,同方向・第18高調波,3.752415482178381e-05,3.8463440255210124e-05,はい
36,127,-17,逆回転・第17枝,3.482767550881433e-05,3.56994640525109e-05,はい
37,19,19,同方向・第19高調波,3.369057244262157e-05,3.453389760449243e-05,はい
38,126,-18,逆回転・第18枝,3.1410064704211985e-05,3.219630536385549e-05,はい
39,20,20,同方向・第20高調波,3.0443548642262016e-05,3.1205595966639906e-05,はい
40,125,-19,逆回転・第19枝,2.8497811835911263e-05,2.9211154472650836e-05,はい
41,21,21,同方向・第21高調波,2.7669686944440498e-05,2.836230038284608e-05,はい
42,124,-20,逆回転・第20枝,2.599624223627921e-05,2.6646966863451456e-05,はい
43,22,22,同方向・第22高調波,2.5281474314493515e-05,2.5914307236965086e-05,はい
44,123,-21,逆回転・第21枝,2.3832002197964922e-05,2.4428552676456633e-05,はい
45,23,23,同方向・第23高調波,2.3210848505176128e-05,2.3791850582422655e-05,はい
46,122,-22,逆回転・第22枝,2.1947338071719818e-05,2.2496712602636146e-05,はい
47,24,24,同方向・第24高調波,2.1404210410398086e-05,2.1939989647744357e-05,はい
48,121,-23,逆回転・第23枝,2.0296321946954485e-05,2.0804369087454978e-05,はい
49,25,25,同方向・第25高調波,1.981873613296562e-05,2.0314828589865078e-05,はい
50,120,-24,逆回転・第24枝,1.8842140390216003e-05,1.931378720244025e-05,はい
51,26,26,同方向・第26高調波,1.842002261687667e-05,1.8881103193097175e-05,はい
52,119,-25,逆回転・第25枝,1.7554972798997594e-05,1.7994399891029555e-05,はい
53,27,27,同方向・第27高調波,1.7180146090732137e-05,1.7610190712491148e-05,はい
54,118,-26,逆回転・第26枝,1.6410458052864922e-05,1.682123623769325e-05,はい
55,28,28,同方向・第28高調波,1.607619258341653e-05,1.6478603606137102e-05,はい
56,117,-27,逆回転・第27枝,1.5388534131044874e-05,1.5773732039424758e-05,はい
57,29,29,同方向・第29高調波,1.5089253232457507e-05,1.546695969459747e-05,はい
58,116,-28,逆回転・第28枝,1.4472549937895272e-05,1.4834819398880128e-05,はい
59,30,30,同方向・第30高調波,1.420361790200195e-05,1.4559155593941081e-05,はい
60,115,-29,逆回転・第29枝,1.3648601836374682e-05,1.3990246650293316e-05,はい
61,31,31,同方向・第31高調波,1.3406131669831934e-05,1.3741707094671566e-05,はい
62,114,-30,逆回転・第30枝,1.290500958435492e-05,1.3228041177694756e-05,はい
63,32,32,同方向・第32高調波,1.2685728293306221e-05,1.3003270949627136e-05,はい
64,113,-31,逆回転・第31枝,1.2231904565843526e-05,1.2538087338948593e-05,はい
65,33,33,同方向・第33高調波,1.2033038099147114e-05,1.2334242948665305e-05,はい
66,112,-32,逆回転・第32枝,1.162090271769942e-05,1.1911791205337324e-05,はい
67,34,34,同方向・第34高調波,1.144007897464293e-05,1.1726441174915343e-05,はい
68,111,-33,逆回転・第33枝,1.1064842392453215e-05,1.134181186269844e-05,はい
69,35,35,同方向・第35高調波,1.0900022003374577e-05,1.1172865774018345e-05,はい
70,110,-34,逆回転・第34枝,1.0557577061018133e-05,1.0821848925175702e-05,はい
71,36,36,同方向・第36高調波,1.0407001216644345e-05,1.0667503943351175e-05,はい
72,109,-35,逆回転・第35枝,1.0093808438645788e-05,1.0346471484069308e-05,はい
73,37,37,同方向・第37高調波,9.95595494820376e-06,1.0205167315627092e-05,はい
74,108,-36,逆回転・第36枝,9.668949076191524e-06,9.9109772595561e-06,はい
75,38,38,同方向・第38高調波,9.542499410462789e-06,9.781362370529342e-06,はい
76,107,-37,逆回転・第37枝,9.279011878600443e-06,9.51127935365892e-06,はい
77,39,39,同方向・第39高調波,9.162819977531375e-06,9.392178996405438e-06,はい
78,106,-38,逆回転・第38枝,8.920520615738614e-06,9.143814521030737e-06,はい
79,40,40,同方向・第40高調波,8.813584695268666e-06,9.034201835344237e-06,はい
80,105,-39,逆回転・第39枝,8.590432799785113e-06,8.805464115853064e-06,はい
81,41,41,同方向・第41高調波,8.491874281927588e-06,8.704438531632464e-06,はい
82,104,-40,逆回転・第40枝,8.28607746517869e-06,8.493490314322092e-06,はい
83,42,42,同方向・第42高調波,8.195123471186285e-06,8.400259606514953e-06,はい
84,103,-41,逆回転・第41枝,8.005102434713285e-06,8.205482060736112e-06,はい
85,43,43,同方向・第43高調波,7.921071284734205e-06,8.119347486029564e-06,はい
86,102,-42,逆回転・第42枝,7.7454300827691e-06,7.939309723414423e-06,はい
