case,R_input_text,R,center_R,baseline_R,delta_R,abs_delta_R,log10_abs_delta_R,fixed_step,baseline_condition,center_condition_at_baseline_step,fixed_step_condition,fixed_step_error,fixed_step_depth_log10,baseline_fixed_step_error,center_fixed_step_error,normalized_inverse_depth,center_global_min_prefix_error,center_global_best_step,center_global_best_condition,global_min_prefix_error,global_best_step,global_best_condition,tail_best_gray_error,tail_best_condition
delta_m1em06,0.69717687923100302,0.697176879231003,0.697177879231003,0.697177879231003,-9.999999999999997e-07,9.999999999999997e-07,-6.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.4731386451944804e-08,7.459277879620116,1.5960828965752349e-09,1.5960828965752349e-09,0.04595505851122915,1.5960828965752349e-09,247,phi0_s0.01_g0,3.4731386451944804e-08,247,phi0_s0.01_g0,3.3256367222394045e-06,phi0_s0.01_g0
delta_m1em07,0.6971777792310031,0.6971777792310031,0.697177879231003,0.697177879231003,-1e-07,1e-07,-7.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,4.900371433708721e-09,8.309771000482412,1.5960828965752349e-09,1.5960828965752349e-09,0.32570651391771754,1.5960828965752349e-09,247,phi0_s0.01_g0,4.900371433708721e-09,247,phi0_s0.01_g0,2.9291596384698248e-06,phi1_s0.01_g0
delta_m1em08,0.697177869231003,0.697177869231003,0.697177879231003,0.697177879231003,-1e-08,1e-08,-8.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,1.9264195766981947e-09,8.71524911700408,1.5960828965752349e-09,1.5960828965752349e-09,0.8285229842352705,1.5960828965752349e-09,247,phi0_s0.01_g0,1.9264195766981947e-09,247,phi1_s0.01_g0,2.9088451391728823e-06,phi0_s0.01_g0
delta_m1em09,0.69717787823100308,0.6971778782310031,0.697177879231003,0.697177879231003,-1e-09,1e-09,-9.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,1.6291160458478538e-09,8.788047978750827,1.5960828965752349e-09,1.5960828965752349e-09,0.9797232681141341,1.5960828965752349e-09,247,phi0_s0.01_g0,1.6291160458478538e-09,247,phi1_s0.01_g0,2.907007022930436e-06,phi1_s0.01_g0
delta_m1em10,0.69717787913100304,0.697177879131003,0.697177879231003,0.697177879231003,-9.999999999999998e-11,9.999999999999998e-11,-10.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,1.5993861792478318e-09,8.796046661165033,1.5960828965752349e-09,1.5960828965752349e-09,0.9979346559852416,1.5960828965752349e-09,247,phi0_s0.01_g0,1.5993861792478318e-09,247,phi1_s0.01_g0,2.906825144641161e-06,phi1_s0.01_g0
center,0.69717787923100305,0.697177879231003,0.697177879231003,0.697177879231003,0.0,0.0,,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.5960828965752349e-09,8.796944556224474,1.5960828965752349e-09,1.5960828965752349e-09,1.0,1.5960828965752349e-09,247,phi0_s0.01_g0,1.5960828965752349e-09,247,phi0_s0.01_g0,2.9068049583210503e-06,phi1_s0.01_g0
delta_p1em10,0.69717787933100306,0.6971778793310031,0.697177879231003,0.697177879231003,9.999999999999998e-11,9.999999999999998e-11,-10.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,1.592780040448757e-09,8.797844195206462,1.5960828965752349e-09,1.5960828965752349e-09,1.0020736423376748,1.5960828965752349e-09,247,phi0_s0.01_g0,1.592780040448757e-09,247,phi1_s0.01_g0,2.9067847761171384e-06,phi1_s0.01_g0
delta_p1em09,0.69717788023100302,0.697177880231003,0.697177879231003,0.697177879231003,1e-09,1e-09,-9.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.5630503429562945e-09,8.806027033934733,1.5960828965752349e-09,1.5960828965752349e-09,1.0211333907239761,1.5960828965752349e-09,247,phi0_s0.01_g0,1.5630503429562945e-09,247,phi0_s0.01_g0,2.906603325281571e-06,phi1_s0.01_g0
delta_p1em08,0.6971778892310031,0.6971778892310031,0.697177879231003,0.697177879231003,1e-08,1e-08,-8.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.2657668501906086e-09,8.897646282470776,1.5960828965752349e-09,1.5960828965752349e-09,1.2609612080889028,1.5960828965752349e-09,247,phi0_s0.01_g0,1.2657668501906086e-09,247,phi0_s0.01_g0,2.9048081716974882e-06,phi1_s0.01_g0
delta_p1em07,0.697177979231003,0.697177979231003,0.697177879231003,0.697177879231003,1e-07,1e-07,-7.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.706669359948917e-09,8.767850608386393,1.5960828965752349e-09,1.5960828965752349e-09,0.9352033463722628,1.5960828965752349e-09,247,phi0_s0.01_g0,1.7066693584502698e-09,1983,phi1_s0.01_g0,2.8887899920893775e-06,phi1_s0.01_g0
delta_p1em06,0.69717887923100308,0.6971788792310031,0.697177879231003,0.697177879231003,9.999999999999997e-07,9.999999999999997e-07,-6.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,3.150938586093965e-08,7.501560061434197,1.5960828965752349e-09,1.5960828965752349e-09,0.050654205182520104,1.5960828965752349e-09,247,phi0_s0.01_g0,3.150938586093965e-08,247,phi1_s0.01_g0,2.921944696536744e-06,phi1_s0.01_g0
