class_id,count,a2n,b2n,abn,theta_over_pi_mod1,edges
0,1,0.20275487586135144,0.7972451241386486,0.4020514098666978,0.3513230599482698,1-2
1,1,0.26802208220126417,0.7319779177987358,0.44292916550365363,0.3267851845378614,1-3
2,1,0.9568123274842572,0.04318767251574288,0.20327935817100523,0.06663567018866404,1-4
3,1,0.6808296224456121,0.319170377554388,-0.46615517550079544,0.8088948081918973,1-5
4,1,0.7656661176810067,0.23433388231899333,-0.42358176768636,0.8391542024147471,1-6
5,1,0.24018960512847395,0.7598103948715261,0.42719850036803936,0.3369633840580437,1-7
6,1,0.6080781524425323,0.3919218475574677,-0.48817938605046474,0.7846760389066898,1-8
7,1,0.8042869532142503,0.19571304678574966,0.3967485981116866,0.1458709489055094,1-9
8,1,0.0035524996731433364,0.9964475003268567,0.05949688579426367,0.4810165726431652,1-10
9,1,0.6682827533202161,0.33171724667978375,-0.47083002764794774,0.8046326770652463,1-11
10,1,0.5890701274747139,0.4109298725252862,-0.4920025532369098,0.7785040378285693,1-12
11,1,0.2124548830731808,0.7875451169268192,0.40904499230713226,0.3475165321439917,1-13
12,1,0.6035293430074644,0.3964706569925356,-0.4891642619166314,0.7831945532883894,2-3
13,1,0.38647074069276977,0.6135292593072302,0.48694055826266075,0.28645543347410807,2-4
14,1,0.5412851753571943,0.4587148246428057,-0.49829261914634626,0.7631564582709295,2-5
15,1,0.8403801186315762,0.1596198813684238,-0.36625315676503617,0.8691752201816829,2-6
16,1,0.31730617615305357,0.6826938238469464,0.46542772449455666,0.30953178096567396,2-7
17,1,0.5339069633457835,0.4660930366542166,0.4988489930195988,0.23919878890432242,2-8
18,1,0.6031243427533237,0.3968756572466764,-0.4892498032004664,0.7830627935539037,2-9
19,1,0.32473309758358093,0.6752669024164192,0.46827503981885843,0.30699991242128927,2-10
20,1,0.4890571592595212,0.5109428407404788,0.49988023989404556,0.25348349251735913,2-11
21,1,0.5128338358996141,0.4871661641003859,-0.4998352655186524,0.7540855855455743,2-12
22,1,0.6446181714547705,0.3553818285452295,-0.4786288588092851,0.7967006736537433,2-13
23,1,0.5915027990738555,0.40849720092614455,-0.4915559355369943,0.7792913238412474,3-4
24,1,0.5125158729885392,0.4874841270114608,0.4998433283773374,0.24601565772925416,3-5
25,1,0.2991202150885397,0.7008797849114604,0.457872593647977,0.3158006218334553,3-6
26,1,0.5950066088630722,0.4049933911369277,-0.49089076613065274,0.7804265432529057,3-7
27,1,0.34749924794945874,0.6525007520505414,-0.47617593452842555,0.7006715155642387,3-8
28,1,0.4283632830104346,0.5716367169895654,0.4948415713932662,0.27288141759186946,3-9
29,1,0.7111941371421016,0.2888058628578985,-0.4532074982133495,0.8194040591845602,3-10
30,1,0.5150159665911613,0.48498403340883867,0.49977446988349966,0.24521955060493936,3-11
31,1,0.541966946854797,0.45803305314520304,0.49823566248481915,0.23662577111688923,3-12
32,1,0.5862634972293158,0.41373650277068424,-0.4925023949644995,0.7775966013190514,3-13
33,1,0.5572357854129883,0.44276421458701165,-0.4967132622229432,0.7682587416980298,4-5
34,1,0.08695237856640858,0.9130476214335913,-0.281765261215879,0.5952786396365087,4-6
35,1,0.6391378847358078,0.3608621152641922,-0.4802506106516108,0.7948814560107037,4-7
36,1,0.48962816550384,0.51037183449616,-0.4998924134743237,0.7466983057267358,4-8
37,1,0.9004808828866127,0.09951911711338732,-0.2993577499286752,0.8978390072638623,4-9
38,1,0.19040053697569428,0.8095994630243057,0.39261708125737677,0.3562712760564511,4-10
39,1,0.44071018022023384,0.5592898197797661,0.49647227240852315,0.2689170462046394,4-11
40,1,0.398380358387047,0.601619641612953,0.48956454981795305,0.28257346596081884,4-12
41,1,0.362287960060487,0.6377120399395129,0.4806614131129084,0.294409133726772,4-13
42,1,0.2946121767934705,0.7053878232065295,0.4558682288540005,0.3173710250363829,5-6
43,1,0.418097767177739,0.5819022328222611,0.49324641332576163,0.2761883069265738,5-7
44,1,0.3484982404667806,0.6515017595332193,-0.47649471860487447,0.701005302562806,5-8
45,1,0.4068531424778984,0.5931468575221017,0.4912470487786744,0.27982380041869914,5-9
46,1,0.6808580506559431,0.3191419493440569,-0.46614414671100646,0.8089045142811077,5-10
47,1,0.4356570302294465,0.5643429697705534,-0.49584269909025147,0.7294620433570415,5-11
48,1,0.687442358980903,0.31255764101909694,0.46353571821346656,0.18884114476632147,5-12
49,1,0.4361147770134894,0.5638852229865107,0.4959018837269766,0.27039103845564777,5-13
50,1,0.6565044171860601,0.3434955828139399,-0.4748751071610846,0.8006684742045163,6-7
51,1,0.32342801207850896,0.6765719879214911,0.46778449427215185,0.307443710421601,6-8
52,1,0.4045157916216228,0.5954842083783772,0.49079809081775644,0.28058140355745936,6-9
53,1,0.9997793007794691,0.0002206992205308605,0.014854309555981307,0.004728969391152262,6-10
54,1,0.3056981867607283,0.6943018132392716,0.4607025128778127,0.3135212245262766,6-11
55,1,0.21296509399105437,0.7870349060089457,-0.40940317870338494,0.6526818984517538,6-12
56,1,0.8103781908215575,0.18962180917844262,-0.3920017584939345,0.8565871959178714,6-13
57,1,0.46460242834643417,0.5353975716535659,0.4987454379952069,0.2612768302380193,7-8
58,1,0.37900851542277986,0.6209914845772201,0.48514024844347875,0.28889890669495594,7-9
59,1,0.7458634688125159,0.2541365311874842,-0.4353747290593209,0.8318170875128573,7-10
60,1,0.41969933431047973,0.5803006656895203,0.4935096788208109,0.2756716704364217,7-11
61,1,0.4914511017846995,0.5085488982153005,-0.49992691099730213,0.7472786685811991,7-12
62,1,0.6331326920788878,0.36686730792111216,-0.481949879447882,0.7928948769217187,7-13
63,1,0.3554987860795578,0.6445012139204422,-0.4786641820478305,0.7033382159418833,8-9
64,1,0.6737055388349942,0.32629446116500577,-0.4688564660725544,0.8064695738285772,8-10
65,1,0.6465888053932836,0.35341119460671644,0.47802899716792285,0.20264363594081375,8-11
66,1,0.727558111206908,0.27244188879309195,0.44521602175117697,0.17479885435561793,8-12
67,1,0.4810075483519228,0.5189924516480773,0.49963915657241625,0.25604693985812005,8-13
68,1,0.20107999578736777,0.7989200042126322,0.40080772333067627,0.35198709936724626,9-10
69,1,0.47183710387209515,0.5281628961279048,-0.4992062211969005,0.7410307248227072,9-11
70,1,0.4683987142296145,0.5316012857703855,-0.4990003594564421,0.7399342893670223,9-12
71,1,0.5765524886444456,0.4234475113555545,-0.49410496504522405,0.7744636323742813,9-13
72,1,0.673721408917323,0.32627859108267704,-0.46885058609729846,0.8064749610164923,10-11
73,1,0.4993538221190616,0.5006461778809383,0.49999958245397186,0.2502056848649913,10-12
74,1,0.2957581427188083,0.7042418572811917,0.45638280394240244,0.3169711657013124,10-13
75,1,0.4214399758219832,0.5785600241780168,-0.49378975546395193,0.7248895198247208,11-12
76,1,0.5122920953035306,0.4877079046964694,-0.4998488815562649,0.7539130896916539,11-13
77,1,0.4491395532496073,0.5508604467503926,0.49740648865525505,0.26621743278861143,12-13
