case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2
N=12,12,66,11,0.12316071395138939,0.01515151515151565,0.015151515151515811,66,48
N=13,13,78,12,0.07049745891766968,0.012820512820513405,0.012820512820513434,78,47
