step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13
0,0.1936591607612738,0.187589417411796,0.18279600937070503,0.18218890786567882,0.1624110469746407,0.14685092338867706,0.1165760704511874,0.11575463713842435,0.08834378838617186,0.05296317855423333,0.044484274339386995,0.016265574123197787,8.728300780262708e-10
1,0.19365916076127387,0.18758941741179583,0.182796009370705,0.18218890786567873,0.1624110469746409,0.14685092338867722,0.1165760704511874,0.11575463713842432,0.08834378838617192,0.052963178554233034,0.04448427433938683,0.01626557412319509,1.3105534841198981e-09
2,0.19365916076127415,0.1875894174117955,0.18279600937070484,0.18218890786567868,0.16241104697464134,0.14685092338867736,0.11657607045118734,0.11575463713842418,0.08834378838617211,0.05296317855423153,0.04448427433938645,0.01626557412319042,5.611121063837388e-10
3,0.19365916076127454,0.18758941741179494,0.18279600937070467,0.1821889078656786,0.16241104697464195,0.14685092338867747,0.11657607045118726,0.11575463713842402,0.08834378838617239,0.052963178554228794,0.044484274339385795,0.016265574123183045,1.1463292204711713e-09
4,0.1936591607612751,0.18758941741179433,0.1827960093707044,0.18218890786567857,0.1624110469746428,0.14685092338867767,0.11657607045118706,0.11575463713842386,0.08834378838617285,0.05296317855422498,0.044484274339384754,0.016265574123172612,1.9501402722798498e-09
5,0.19365916076127565,0.18758941741179352,0.1827960093707041,0.18218890786567848,0.16241104697464367,0.14685092338867775,0.11657607045118684,0.11575463713842371,0.08834378838617328,0.05296317855421997,0.04448427433938315,0.01626557412315861,1.982647025674704e-09
6,0.19365916076127646,0.18758941741179255,0.18279600937070364,0.18218890786567848,0.16241104697464476,0.14685092338867795,0.11657607045118652,0.11575463713842354,0.08834378838617378,0.05296317855421364,0.044484274339381,0.016265574123140263,1.0249684139726356e-09
7,0.19365916076127734,0.18758941741179147,0.18279600937070314,0.18218890786567848,0.16241104697464598,0.1468509233886781,0.11657607045118609,0.11575463713842342,0.08834378838617436,0.05296317855420598,0.044484274339378314,0.01626557412311772,1.2476577325770601e-09
8,0.19365916076127845,0.18758941741178997,0.18279600937070242,0.18218890786567857,0.16241104697464748,0.1468509233886783,0.11657607045118559,0.11575463713842322,0.0883437883861751,0.05296317855419671,0.04448427433937507,0.01626557412309034,1.2726700667524314e-09
9,0.1936591607612798,0.18758941741178833,0.18279600937070165,0.18218890786567857,0.16241104697464928,0.1468509233886785,0.11657607045118507,0.11575463713842304,0.08834378838617603,0.05296317855418557,0.04448427433937123,0.016265574123057916,1.5361786180447252e-09
