step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12
0,0.20993487737302802,0.20061581068151946,0.1833444494696178,0.1784177505165936,0.16079369803703672,0.15848431859103967,0.14103654620038306,0.09985382430102199,0.09353852557253285,0.09091382199348272,0.06756833426089018,1.883861517683089e-09
1,0.20993487737302793,0.20061581068151954,0.1833444494696177,0.1784177505165935,0.16079369803703683,0.15848431859103965,0.14103654620038308,0.09985382430102187,0.09353852557253227,0.09091382199348284,0.06756833426089047,6.917978362344503e-10
2,0.209934877373028,0.20061581068151965,0.18334444946961762,0.1784177505165934,0.16079369803703686,0.15848431859103965,0.14103654620038314,0.09985382430102188,0.0935385255725319,0.09091382199348284,0.06756833426089087,2.5638095999534714e-09
3,0.20993487737302818,0.20061581068151965,0.1833444494696177,0.17841775051659325,0.1607936980370368,0.1584843185910397,0.14103654620038303,0.09985382430102192,0.0935385255725318,0.09091382199348272,0.06756833426089134,8.477707277174401e-10
4,0.20993487737302827,0.2006158106815196,0.18334444946961775,0.17841775051659314,0.16079369803703678,0.15848431859103973,0.1410365462003829,0.09985382430102206,0.09353852557253174,0.09091382199348254,0.06756833426089182,2.5004001357081548e-09
5,0.20993487737302835,0.20061581068151962,0.18334444946961778,0.17841775051659306,0.16079369803703678,0.15848431859103979,0.14103654620038286,0.09985382430102208,0.09353852557253166,0.09091382199348247,0.06756833426089202,1.3577997647231214e-09
6,0.2099348773730283,0.20061581068151962,0.18334444946961773,0.17841775051659312,0.16079369803703683,0.15848431859103976,0.14103654620038292,0.09985382430102202,0.09353852557253141,0.0909138219934826,0.06756833426089198,1.6156845115233073e-09
7,0.2099348773730282,0.2006158106815197,0.18334444946961764,0.17841775051659317,0.16079369803703691,0.1584843185910397,0.141036546200383,0.09985382430102194,0.09353852557253119,0.09091382199348277,0.06756833426089177,1.7803712637632348e-09
8,0.2099348773730281,0.20061581068151974,0.18334444946961753,0.1784177505165932,0.16079369803703691,0.1584843185910396,0.14103654620038303,0.09985382430102184,0.09353852557253106,0.0909138219934829,0.06756833426089165,1.0718357644805357e-09
9,0.20993487737302818,0.20061581068151974,0.1833444494696175,0.17841775051659314,0.16079369803703694,0.15848431859103965,0.14103654620038303,0.09985382430102187,0.09353852557253114,0.09091382199348284,0.06756833426089168,1.173524215473111e-09
10,0.20993487737302827,0.20061581068151968,0.18334444946961764,0.17841775051659306,0.16079369803703683,0.15848431859103976,0.14103654620038295,0.099853824301022,0.09353852557253131,0.09091382199348268,0.06756833426089191,1.5266087456067468e-09
11,0.20993487737302832,0.20061581068151962,0.1833444494696177,0.178417750516593,0.16079369803703678,0.15848431859103979,0.14103654620038286,0.09985382430102212,0.09353852557253146,0.09091382199348251,0.06756833426089205,1.914554751422915e-09
12,0.20993487737302838,0.20061581068151965,0.18334444946961767,0.178417750516593,0.16079369803703675,0.15848431859103979,0.14103654620038283,0.09985382430102213,0.09353852557253144,0.09091382199348252,0.06756833426089208,1.4633148808966592e-09
13,0.20993487737302832,0.2006158106815197,0.18334444946961762,0.17841775051659303,0.16079369803703686,0.15848431859103976,0.14103654620038292,0.09985382430102203,0.09353852557253127,0.09091382199348265,0.06756833426089197,1.3006512893362273e-09
14,0.20993487737302818,0.20061581068151974,0.18334444946961753,0.17841775051659312,0.16079369803703697,0.15848431859103967,0.14103654620038295,0.09985382430102187,0.09353852557253103,0.09091382199348277,0.06756833426089169,1.7331150006289616e-09
15,0.20993487737302818,0.2006158106815198,0.18334444946961748,0.17841775051659312,0.160793698037037,0.15848431859103965,0.14103654620038297,0.09985382430102181,0.09353852557253091,0.09091382199348284,0.0675683342608917,7.795408104890197e-10
16,0.2099348773730283,0.2006158106815198,0.1833444494696175,0.17841775051659306,0.16079369803703697,0.15848431859103967,0.14103654620038292,0.09985382430102185,0.0935385255725309,0.09091382199348276,0.06756833426089193,2.203937647926784e-09
17,0.20993487737302838,0.20061581068151974,0.18334444946961762,0.17841775051659298,0.16079369803703683,0.1584843185910397,0.14103654620038278,0.09985382430102197,0.09353852557253102,0.09091382199348255,0.06756833426089219,2.3600400056069595e-09
18,0.20993487737302846,0.2006158106815198,0.18334444946961762,0.17841775051659287,0.1607936980370368,0.15848431859103976,0.1410365462003827,0.09985382430102206,0.0935385255725311,0.09091382199348244,0.06756833426089243,2.611372334657265e-10
19,0.20993487737302846,0.20061581068151982,0.18334444946961762,0.17841775051659287,0.16079369803703686,0.15848431859103976,0.1410365462003827,0.09985382430102199,0.09353852557253099,0.09091382199348247,0.06756833426089244,1.8212877184705668e-09
20,0.2099348773730284,0.20061581068151987,0.1833444494696175,0.17841775051659292,0.1607936980370369,0.15848431859103965,0.14103654620038278,0.09985382430102187,0.09353852557253073,0.0909138219934826,0.06756833426089232,1.3586608405691867e-09
21,0.20993487737302835,0.20061581068151998,0.1833444494696174,0.17841775051659292,0.160793698037037,0.15848431859103962,0.1410365462003829,0.09985382430102173,0.09353852557253046,0.09091382199348272,0.06756833426089222,1.8611145274790824e-09
22,0.20993487737302835,0.20061581068152007,0.1833444494696174,0.17841775051659287,0.160793698037037,0.15848431859103962,0.1410365462003829,0.0998538243010217,0.09353852557253028,0.09091382199348269,0.0675683342608923,1.3593755230478487e-09
23,0.2099348773730285,0.20061581068152004,0.18334444946961734,0.1784177505165927,0.1607936980370369,0.15848431859103965,0.14103654620038278,0.09985382430102177,0.09353852557253026,0.09091382199348251,0.06756833426089255,1.7166496130605463e-09
24,0.20993487737302863,0.20061581068152007,0.18334444946961742,0.17841775051659262,0.16079369803703678,0.15848431859103973,0.1410365462003827,0.09985382430102188,0.09353852557253024,0.09091382199348225,0.06756833426089295,1.899400208307511e-09
25,0.2099348773730287,0.2006158106815201,0.1833444494696174,0.1784177505165924,0.16079369803703678,0.15848431859103979,0.1410365462003826,0.09985382430102187,0.09353852557252999,0.09091382199348205,0.06756833426089325,1.2371514180846252e-09
26,0.20993487737302874,0.20061581068152023,0.1833444494696173,0.1784177505165923,0.16079369803703683,0.15848431859103973,0.1410365462003826,0.09985382430102174,0.09353852557252955,0.09091382199348205,0.06756833426089343,1.6044248980490224e-09
27,0.20993487737302877,0.20061581068152043,0.18334444946961712,0.17841775051659228,0.1607936980370369,0.15848431859103965,0.1410365462003827,0.09985382430102156,0.09353852557252895,0.09091382199348211,0.06756833426089359,9.650094060794398e-10
28,0.20993487737302882,0.20061581068152062,0.18334444946961695,0.17841775051659214,0.16079369803703697,0.15848431859103962,0.14103654620038272,0.09985382430102135,0.09353852557252833,0.09091382199348214,0.06756833426089377,2.1481784237687258e-09
29,0.20993487737302902,0.20061581068152073,0.18334444946961687,0.17841775051659195,0.160793698037037,0.15848431859103967,0.14103654620038275,0.09985382430102133,0.09353852557252777,0.09091382199348198,0.06756833426089424,2.0778707614865483e-09
30,0.20993487737302924,0.20061581068152082,0.18334444946961678,0.17841775051659156,0.1607936980370369,0.15848431859103973,0.1410365462003826,0.0998538243010213,0.09353852557252719,0.09091382199348166,0.067568334260895,1.5505943834277655e-09
31,0.20993487737302957,0.200615810681521,0.18334444946961673,0.17841775051659117,0.1607936980370368,0.15848431859103984,0.14103654620038253,0.09985382430102131,0.0935385255725265,0.09091382199348139,0.06756833426089583,1.158995581878936e-09
32,0.20993487737302982,0.2006158106815212,0.1833444494696165,0.17841775051659078,0.1607936980370368,0.1584843185910399,0.14103654620038253,0.09985382430102115,0.09353852557252552,0.09091382199348114,0.06756833426089659,2.374385217728379e-09
33,0.20993487737303007,0.20061581068152148,0.1833444494696162,0.1784177505165904,0.16079369803703683,0.1584843185910399,0.14103654620038256,0.09985382430102088,0.09353852557252414,0.09091382199348107,0.06756833426089731,1.181890818159299e-09
34,0.20993487737303035,0.20061581068152182,0.18334444946961578,0.17841775051658998,0.16079369803703697,0.15848431859103992,0.14103654620038258,0.09985382430102054,0.09353852557252246,0.09091382199348101,0.06756833426089805,1.642797983838528e-09
35,0.2099348773730307,0.2006158106815222,0.18334444946961534,0.17841775051658934,0.160793698037037,0.15848431859103995,0.14103654620038267,0.09985382430102024,0.09353852557252063,0.09091382199348086,0.06756833426089924,2.505443603383977e-09
36,0.2099348773730313,0.2006158106815226,0.1833444494696149,0.17841775051658854,0.16079369803703691,0.15848431859104,0.1410365462003826,0.09985382430102004,0.09353852557251856,0.09091382199348048,0.06756833426090081,1.241685334800451e-09
37,0.20993487737303207,0.20061581068152304,0.18334444946961448,0.17841775051658756,0.1607936980370369,0.15848431859104026,0.1410365462003825,0.09985382430101979,0.09353852557251621,0.09091382199348,0.06756833426090286,2.324061756286165e-09
38,0.20993487737303293,0.20061581068152357,0.1833444494696139,0.17841775051658637,0.1607936980370368,0.15848431859104048,0.14103654620038242,0.09985382430101945,0.09353852557251327,0.09091382199347954,0.06756833426090518,1.23995496080696e-09
39,0.2099348773730339,0.2006158106815243,0.18334444946961315,0.1784177505165851,0.16079369803703686,0.1584843185910407,0.1410365462003824,0.09985382430101897,0.0935385255725096,0.09091382199347918,0.06756833426090772,1.3099063366039625e-09
40,0.2099348773730349,0.2006158106815251,0.18334444946961212,0.1784177505165836,0.16079369803703691,0.15848431859104084,0.1410365462003825,0.09985382430101823,0.0935385255725051,0.09091382199347883,0.06756833426091068,2.511463698039805e-09
41,0.20993487737303618,0.2006158106815261,0.18334444946961093,0.17841775051658182,0.16079369803703703,0.1584843185910411,0.14103654620038256,0.09985382430101745,0.09353852557249967,0.09091382199347851,0.0675683342609141,1.4414160911747771e-09
42,0.20993487737303773,0.20061581068152723,0.18334444946960954,0.17841775051657963,0.1607936980370371,0.1584843185910414,0.1410365462003826,0.09985382430101657,0.09353852557249345,0.09091382199347801,0.06756833426091846,1.6539364023308796e-09
43,0.2099348773730397,0.2006158106815285,0.18334444946960804,0.17841775051657696,0.16079369803703708,0.15848431859104187,0.1410365462003825,0.09985382430101565,0.09353852557248611,0.09091382199347726,0.06756833426092386,1.1719688368553633e-09
44,0.20993487737304206,0.20061581068153003,0.1833444494696062,0.17841775051657371,0.160793698037037,0.15848431859104245,0.14103654620038242,0.09985382430101464,0.09353852557247744,0.09091382199347638,0.06756833426093033,1.3110924284997394e-09
45,0.20993487737304486,0.2006158106815318,0.18334444946960396,0.17841775051656997,0.16079369803703697,0.1584843185910431,0.1410365462003824,0.09985382430101332,0.09353852557246699,0.09091382199347547,0.06756833426093799,8.435903125827607e-10
46,0.20993487737304817,0.20061581068153406,0.18334444946960127,0.17841775051656553,0.16079369803703705,0.15848431859104387,0.14103654620038245,0.09985382430101168,0.09353852557245432,0.09091382199347463,0.06756833426094673,2.2614745579862537e-09
47,0.20993487737305197,0.20061581068153667,0.1833444494695979,0.17841775051656025,0.16079369803703722,0.15848431859104473,0.14103654620038258,0.09985382430100968,0.09353852557243911,0.09091382199347375,0.06756833426095711,1.1538943418208445e-09
48,0.20993487737305658,0.20061581068153975,0.18334444946959386,0.17841775051655392,0.16079369803703739,0.15848431859104575,0.14103654620038272,0.09985382430100728,0.09353852557242098,0.09091382199347271,0.06756833426096957,1.526329358606929e-09
49,0.20993487737306216,0.20061581068154338,0.18334444946958922,0.17841775051654638,0.16079369803703747,0.15848431859104709,0.14103654620038283,0.09985382430100455,0.09353852557239954,0.09091382199347142,0.06756833426098469,1.854383933541834e-09
50,0.209934877373069,0.20061581068154766,0.1833444494695837,0.17841775051653727,0.16079369803703755,0.15848431859104872,0.1410365462003829,0.09985382430100148,0.09353852557237415,0.09091382199346981,0.06756833426100296,2.418710066934074e-09
51,0.20993487737307714,0.20061581068155263,0.18334444946957712,0.17841775051652642,0.16079369803703755,0.15848431859105067,0.1410365462003829,0.09985382430099779,0.09353852557234384,0.09091382199346794,0.06756833426102465,2.3893842243450963e-09
52,0.20993487737308678,0.20061581068155868,0.18334444946956918,0.17841775051651357,0.1607936980370377,0.158484318591053,0.141036546200383,0.09985382430099334,0.0935385255723076,0.090913821993466,0.06756833426105044,1.378903210622348e-09
53,0.2099348773730982,0.2006158106815659,0.18334444946955966,0.17841775051649839,0.1607936980370379,0.1584843185910557,0.14103654620038325,0.09985382430098792,0.09353852557226423,0.09091382199346401,0.06756833426108087,1.4144382184352794e-09
54,0.20993487737311173,0.20061581068157447,0.18334444946954817,0.17841775051648018,0.16079369803703822,0.15848431859105888,0.1410365462003836,0.09985382430098147,0.09353852557221241,0.09091382199346178,0.06756833426111711,1.9453679591469827e-09
55,0.20993487737312802,0.20061581068158463,0.1833444494695345,0.17841775051645858,0.1607936980370386,0.15848431859106277,0.14103654620038403,0.09985382430097386,0.09353852557215071,0.09091382199345918,0.06756833426116045,1.6205513792480782e-09
56,0.2099348773731475,0.20061581068159656,0.18334444946951825,0.17841775051643272,0.16079369803703886,0.15848431859106749,0.14103654620038436,0.09985382430096501,0.0935385255720774,0.090913821993456,0.06756833426121234,1.4239200806962567e-09
57,0.2099348773731709,0.20061581068161066,0.18334444946949893,0.1784177505164018,0.16079369803703913,0.15848431859107312,0.1410365462003847,0.09985382430095456,0.09353852557199013,0.09091382199345231,0.06756833426127432,9.240984666133268e-10
58,0.20993487737319877,0.2006158106816275,0.1833444494694758,0.17841775051636508,0.1607936980370395,0.15848431859107995,0.14103654620038525,0.09985382430094217,0.09353852557188609,0.09091382199344811,0.0675683342613482,1.7213287878996787e-09
59,0.20993487737323202,0.20061581068164758,0.18334444946944814,0.17841775051632144,0.16079369803704,0.158484318591088,0.14103654620038586,0.09985382430092737,0.09353852557176195,0.09091382199344356,0.06756833426143606,1.547797550769728e-09
60,0.20993487737327143,0.20061581068167147,0.18334444946941503,0.1784177505162694,0.16079369803704074,0.15848431859109757,0.1410365462003868,0.09985382430090972,0.09353852557161384,0.09091382199343845,0.06756833426154057,1.6586827083198144e-09
61,0.20993487737331862,0.20061581068169979,0.1833444494693754,0.1784177505162075,0.16079369803704158,0.15848431859110898,0.14103654620038786,0.09985382430088874,0.0935385255714373,0.0909138219934327,0.06756833426166509,1.8271606971810007e-09
62,0.20993487737337496,0.20061581068173356,0.1833444494693282,0.17841775051613368,0.16079369803704252,0.15848431859112264,0.14103654620038913,0.0998538243008639,0.09353852557122706,0.09091382199342603,0.06756833426181368,8.857844971269487e-10
63,0.20993487737344219,0.20061581068177356,0.18334444946927192,0.17841775051604566,0.16079369803704358,0.15848431859113907,0.14103654620039052,0.09985382430083461,0.09353852557097682,0.0909138219934182,0.06756833426199096,1.7957801151685302e-09
64,0.20993487737352254,0.20061581068182113,0.18334444946920475,0.1784177505159408,0.16079369803704469,0.1584843185911586,0.1410365462003921,0.09985382430079986,0.09353852557067865,0.09091382199340922,0.06756833426220238,1.238151982376718e-09
65,0.20993487737361835,0.20061581068187764,0.18334444946912454,0.1784177505158159,0.16079369803704607,0.158484318591182,0.14103654620039408,0.09985382430075863,0.0935385255703233,0.09091382199339897,0.06756833426245423,1.2829585894132595e-09
66,0.20993487737373245,0.20061581068194503,0.18334444946902873,0.17841775051566727,0.16079369803704788,0.15848431859120984,0.14103654620039655,0.09985382430070958,0.09353852556989987,0.09091382199338745,0.0675683342627541,1.342975988766041e-09
67,0.2099348773738685,0.20061581068202514,0.18334444946891423,0.17841775051549025,0.16079369803705007,0.158484318591243,0.14103654620039952,0.09985382430065125,0.09353852556939515,0.09091382199337437,0.06756833426311125,1.3292813384086612e-09
68,0.2099348773740308,0.2006158106821204,0.18334444946877762,0.17841775051527944,0.16079369803705262,0.15848431859128262,0.1410365462004031,0.09985382430058203,0.0935385255687939,0.09091382199335933,0.06756833426353676,1.2647670252915585e-09
69,0.20993487737422445,0.2006158106822338,0.1833444494686146,0.17841775051502823,0.16079369803705557,0.15848431859132991,0.1410365462004072,0.09985382430050004,0.09353852556807775,0.09091382199334187,0.06756833426404399,1.5553941970772942e-09
70,0.20993487737445538,0.20061581068236856,0.18334444946842018,0.178417750514729,0.16079369803705898,0.1584843185913864,0.14103654620041212,0.09985382430040277,0.09353852556722474,0.0909138219933216,0.06756833426464862,1.0028094595880265e-09
71,0.2099348773747309,0.20061581068252893,0.18334444946818812,0.17841775051437256,0.16079369803706298,0.15848431859145376,0.1410365462004179,0.09985382430028737,0.09353852556620859,0.09091382199329825,0.06756833426536908,1.6097739319465657e-09
72,0.2099348773750594,0.2006158106827198,0.18334444946791112,0.17841775051394806,0.1607936980370678,0.15848431859153414,0.14103654620042472,0.0998538243001502,0.09353852556499785,0.0909138219932714,0.06756833426622726,1.8322594572427691e-09
73,0.2099348773754509,0.20061581068294695,0.18334444946758047,0.17841775051344255,0.1607936980370736,0.15848431859162987,0.141036546200433,0.09985382429998726,0.09353852556355535,0.09091382199324062,0.06756833426724951,1.4408150002872865e-09
74,0.20993487737591773,0.20061581068321735,0.1833444494671859,0.1784177505128405,0.16079369803708052,0.15848431859174397,0.14103654620044284,0.0998538242997937,0.09353852556183677,0.0909138219932051,0.06756833426846721,1.6052863879425117e-09
75,0.20993487737647445,0.20061581068353912,0.18334444946671513,0.17841775051212344,0.16079369803708873,0.1584843185918801,0.14103654620045455,0.09985382429956385,0.0935385255597896,0.09091382199316406,0.06756833426991803,8.969116285235347e-10
76,0.20993487737713815,0.200615810683922,0.18334444946615344,0.17841775051126924,0.1607936980370983,0.1584843185920425,0.14103654620046827,0.09985382429929103,0.09353852555735095,0.09091382199311622,0.06756833427164673,1.20947519717825e-09
77,0.20993487737792965,0.20061581068437773,0.18334444946548334,0.17841775051025185,0.1607936980371096,0.1584843185922362,0.14103654620048445,0.09985382429896701,0.09353852555444606,0.09091382199306068,0.06756833427370627,1.3417246087559196e-09
78,0.2099348773788733,0.20061581068492013,0.18334444946468384,0.17841775050904007,0.16079369803712304,0.15848431859246714,0.1410365462005036,0.09985382429858214,0.09353852555098552,0.09091382199299622,0.0675683342761598,1.5081231128421024e-09
79,0.20993487737999822,0.20061581068556583,0.18334444946372994,0.17841775050759687,0.160793698037139,0.15848431859274237,0.1410365462005264,0.09985382429812484,0.09353852554686301,0.09091382199292143,0.06756833427908243,1.6535832446879239e-09
80,0.2099348773813392,0.20061581068633455,0.1833444494625918,0.178417750505878,0.16079369803715804,0.15848431859307047,0.1410365462005535,0.09985382429758136,0.09353852554195188,0.09091382199283465,0.06756833428256373,2.5707945891634854e-09
81,0.20993487738293787,0.20061581068724962,0.18334444946123402,0.1784177505038307,0.16079369803718072,0.15848431859346163,0.14103654620058562,0.09985382429693562,0.09353852553610133,0.0909138219927337,0.06756833428671073,1.4080519015457058e-09
82,0.20993487738484362,0.20061581068833903,0.1833444494596143,0.17841775050139225,0.16079369803720753,0.158484318593928,0.14103654620062359,0.09985382429616836,0.09353852552913203,0.0909138219926159,0.06756833429165089,2.0822172873754895e-09
