config_id,R_C_over_R_A,coupling_C,C_position_mode,C_pair_group,C_offset,C_phase_sign,C_cell_count,C_cell_width,resolved_case_count,fit_case_count,resolution_valid,clock_error,clock_valid,max_relative_contamination,common_mode_ratio,disturbance_valid,closure_valid,gauge_valid,fit_valid,power_candidate_alpha_tau_ABC,power_candidate_alpha_tau_AB,power_candidate_alpha_tau_AC,power_candidate_alpha_tau_BC,alpha_classification_tau_ABC,alpha_classification_tau_AB,alpha_classification_tau_AC,alpha_classification_tau_BC,tau_AB_alpha_delta_from_tau_ABC,tau_AC_alpha_delta_from_tau_ABC,tau_BC_alpha_delta_from_tau_ABC,log_rmse_tau_ABC,inverse_term_injected,inverse_square_term_injected
Rc0.5_eps0.02_a_side_large,0.5,0.02,a_side_large,large,0.12,1.0,48,0.1308996938995747,3,3,False,0.1255,True,0.006875493541569882,0.01,True,True,False,True,-0.9961091423334685,-1.8442779035941588,-0.9961091423334683,-0.996109142333468,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606903,2.220446049250313e-16,4.440892098500626e-16,0.00021287234000686285,False,False
Rc0.5_eps0.02_b_side_large,0.5,0.02,b_side_large,large,-0.12,1.0,48,0.1308996938995747,3,3,False,0.1255,True,0.006875493541569882,0.01,True,True,False,True,-1.003923787509265,-1.8520925487699547,-1.0039237875092653,-1.0039237875092646,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606896,-2.220446049250313e-16,4.440892098500626e-16,0.00021625966376041683,False,False
Rc0.5_eps0.02_a_side_large_pi_flip,0.5,0.02,a_side_large_pi_flip,large_pi,0.12,-1.0,48,0.1308996938995747,3,3,False,0.1255,True,0.006875493541569882,0.01,True,True,False,True,-1.003923787509265,-1.8520925487699547,-1.0039237875092646,-1.0039237875092653,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606896,4.440892098500626e-16,-2.220446049250313e-16,0.00021625966376041683,False,False
Rc0.5_eps0.02_b_side_large_pi_flip,0.5,0.02,b_side_large_pi_flip,large_pi,-0.12,-1.0,48,0.1308996938995747,3,3,False,0.1255,True,0.006875493541569882,0.01,True,True,False,True,-0.9961091423334685,-1.8442779035941588,-0.996109142333468,-0.9961091423334683,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606903,4.440892098500626e-16,2.220446049250313e-16,0.00021287234000686285,False,False
Rc0.5_eps0.05_symmetric,0.5,0.05,symmetric,symmetric,0.0,1.0,48,0.1308996938995747,3,3,False,0.12625,True,0.0,0.025,True,True,False,True,-1.0000000000000004,-1.8481687612606905,-1.0000000000000004,-1.0000000000000004,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606901,0.0,0.0,2.1633330221815095e-16,False,False
Rc0.5_eps0.05_symmetric_pi_flip,0.5,0.05,symmetric_pi_flip,symmetric,0.0,-1.0,48,0.1308996938995747,3,3,False,0.12625,True,0.0,0.025,True,True,False,True,-1.0000000000000004,-1.8481687612606905,-1.0000000000000004,-1.0000000000000004,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606901,0.0,0.0,2.1633330221815095e-16,False,False
Rc0.5_eps0.05_a_side_small,0.5,0.05,a_side_small,small,0.03,1.0,48,0.1308996938995747,3,3,False,0.12625,True,0.004297183463481178,0.025,True,True,False,True,-0.997564383135979,-1.8457331443966696,-0.9975643831359787,-0.997564383135979,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606906,2.220446049250313e-16,0.0,0.00013343820884853305,False,False
Rc0.5_eps0.05_b_side_small,0.5,0.05,b_side_small,small,-0.03,1.0,48,0.1308996938995747,3,3,False,0.12625,True,0.004297183463481178,0.025,True,True,False,True,-1.0024484799162032,-1.8506172411768937,-1.002448479916203,-1.0024484799162032,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606905,2.220446049250313e-16,0.0,0.00013476135402693137,False,False
Rc0.5_eps0.05_a_side_large,0.5,0.05,a_side_large,large,0.12,1.0,48,0.1308996938995747,3,3,False,0.12625,True,0.017188733853924703,0.025,True,True,False,True,-0.990333637953228,-1.8385023992139191,-0.9903336379532285,-0.9903336379532285,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606911,-4.440892098500626e-16,-4.440892098500626e-16,0.0005259645049550669,False,False
Rc0.5_eps0.05_b_side_large,0.5,0.05,b_side_large,large,-0.12,1.0,48,0.1308996938995747,3,3,False,0.12625,True,0.017188733853924703,0.025,True,True,False,True,-1.0098721966752446,-1.8580409579359356,-1.009872196675245,-1.0098721966752446,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.848168761260691,-4.440892098500626e-16,0.0,0.0005471391612293261,False,False
Rc0.5_eps0.05_a_side_large_pi_flip,0.5,0.05,a_side_large_pi_flip,large_pi,0.12,-1.0,48,0.1308996938995747,3,3,False,0.12625,True,0.017188733853924703,0.025,True,True,False,True,-1.0098721966752446,-1.8580409579359356,-1.0098721966752446,-1.009872196675245,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.848168761260691,0.0,-4.440892098500626e-16,0.0005471391612293261,False,False
Rc0.5_eps0.05_b_side_large_pi_flip,0.5,0.05,b_side_large_pi_flip,large_pi,-0.12,-1.0,48,0.1308996938995747,3,3,False,0.12625,True,0.017188733853924703,0.025,True,True,False,True,-0.990333637953228,-1.8385023992139191,-0.9903336379532285,-0.9903336379532285,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606911,-4.440892098500626e-16,-4.440892098500626e-16,0.0005259645049550669,False,False
Rc0.5_eps0.1_symmetric,0.5,0.1,symmetric,symmetric,0.0,1.0,48,0.1308996938995747,3,3,False,0.1275,True,0.0,0.05,True,True,False,True,-1.0000000000000007,-1.8481687612606905,-1.0000000000000007,-1.0000000000000007,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606899,0.0,0.0,3.0277758396689874e-16,False,False
Rc0.5_eps0.1_symmetric_pi_flip,0.5,0.1,symmetric_pi_flip,symmetric,0.0,-1.0,48,0.1308996938995747,3,3,False,0.1275,True,0.0,0.05,True,True,False,True,-1.0000000000000007,-1.8481687612606905,-1.0000000000000007,-1.0000000000000007,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606899,0.0,0.0,3.0277758396689874e-16,False,False
Rc0.5_eps0.1_a_side_small,0.5,0.1,a_side_small,small,0.03,1.0,48,0.1308996938995747,3,3,False,0.1275,True,0.008594366926962357,0.05,True,True,False,True,-0.995141521400831,-1.8433102826615217,-0.9951415214008315,-0.9951415214008315,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606907,-4.440892098500626e-16,-4.440892098500626e-16,0.00026556843269548376,False,False
Rc0.5_eps0.1_b_side_small,0.5,0.1,b_side_small,small,-0.03,1.0,48,0.1308996938995747,3,3,False,0.1275,True,0.008594366926962357,0.05,True,True,False,True,-1.0049099320974202,-1.853078693358111,-1.0049099320974202,-1.0049099320974202,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606907,0.0,0.0,0.0002708612300497992,False,False
Rc0.5_eps0.1_a_side_large,0.5,0.1,a_side_large,large,0.12,1.0,48,0.1308996938995747,3,3,False,0.1275,True,0.034377467707849406,0.05,True,True,False,True,-0.9808663225634932,-1.8290350838241836,-0.9808663225634929,-0.9808663225634934,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606904,2.220446049250313e-16,-2.220446049250313e-16,0.001031704678379847,False,False
Rc0.5_eps0.1_b_side_large,0.5,0.1,b_side_large,large,-0.12,1.0,48,0.1308996938995747,3,3,False,0.1275,True,0.034377467707849406,0.05,True,True,False,True,-1.0199573463144451,-1.8681261075751359,-1.0199573463144447,-1.0199573463144451,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606907,4.440892098500626e-16,0.0,0.0011164588122544814,False,False
Rc0.5_eps0.1_a_side_large_pi_flip,0.5,0.1,a_side_large_pi_flip,large_pi,0.12,-1.0,48,0.1308996938995747,3,3,False,0.1275,True,0.034377467707849406,0.05,True,True,False,True,-1.0199573463144451,-1.8681261075751359,-1.0199573463144451,-1.0199573463144447,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606907,0.0,4.440892098500626e-16,0.0011164588122544814,False,False
Rc0.5_eps0.1_b_side_large_pi_flip,0.5,0.1,b_side_large_pi_flip,large_pi,-0.12,-1.0,48,0.1308996938995747,3,3,False,0.1275,True,0.034377467707849406,0.05,True,True,False,True,-0.9808663225634932,-1.8290350838241836,-0.9808663225634934,-0.9808663225634929,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606904,-2.220446049250313e-16,2.220446049250313e-16,0.001031704678379847,False,False
Rc0.5_eps0.2_symmetric,0.5,0.2,symmetric,symmetric,0.0,1.0,48,0.1308996938995747,3,3,False,0.13,True,0.0,0.1,True,True,False,True,-1.0000000000000007,-1.8481687612606905,-1.0000000000000007,-1.0000000000000007,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606899,0.0,0.0,3.3460533085070733e-16,False,False
Rc0.5_eps0.2_symmetric_pi_flip,0.5,0.2,symmetric_pi_flip,symmetric,0.0,-1.0,48,0.1308996938995747,3,3,False,0.13,True,0.0,0.1,True,True,False,True,-1.0000000000000007,-1.8481687612606905,-1.0000000000000007,-1.0000000000000007,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606899,0.0,0.0,3.3460533085070733e-16,False,False
Rc0.5_eps0.2_a_side_small,0.5,0.2,a_side_small,small,0.03,1.0,48,0.1308996938995747,3,3,False,0.13,True,0.017188733853924713,0.1,True,True,False,True,-0.990333637953228,-1.8385023992139191,-0.9903336379532283,-0.9903336379532285,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606911,-2.220446049250313e-16,-4.440892098500626e-16,0.0005259645049551048,False,False
Rc0.5_eps0.2_b_side_small,0.5,0.2,b_side_small,small,-0.03,1.0,48,0.1308996938995747,3,3,False,0.13,True,0.017188733853924713,0.1,True,True,False,True,-1.0098721966752446,-1.8580409579359356,-1.0098721966752449,-1.0098721966752446,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.848168761260691,-2.220446049250313e-16,0.0,0.0005471391612294018,False,False
Rc0.5_eps0.2_a_side_large,0.5,0.2,a_side_large,large,0.12,1.0,48,0.1308996938995747,3,3,False,0.13,True,0.06875493541569881,0.1,True,True,False,True,-0.9625032148510878,-1.8106719761117782,-0.9625032148510875,-0.9625032148510876,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606904,3.3306690738754696e-16,2.220446049250313e-16,0.001986057522658429,False,False
Rc0.5_eps0.2_b_side_large,0.5,0.2,b_side_large,large,-0.12,1.0,48,0.1308996938995747,3,3,False,0.13,True,0.06875493541569881,0.1,True,True,False,True,-1.0407967590987692,-1.8889655203594595,-1.0407967590987692,-1.0407967590987695,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606903,0.0,-2.220446049250313e-16,0.002325964706238554,False,False
Rc0.5_eps0.2_a_side_large_pi_flip,0.5,0.2,a_side_large_pi_flip,large_pi,0.12,-1.0,48,0.1308996938995747,3,3,False,0.13,True,0.06875493541569881,0.1,True,True,False,True,-1.0407967590987692,-1.8889655203594595,-1.0407967590987695,-1.0407967590987692,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606903,-2.220446049250313e-16,0.0,0.002325964706238554,False,False
Rc0.5_eps0.2_b_side_large_pi_flip,0.5,0.2,b_side_large_pi_flip,large_pi,-0.12,-1.0,48,0.1308996938995747,3,3,False,0.13,True,0.06875493541569881,0.1,True,True,False,True,-0.9625032148510878,-1.8106719761117782,-0.9625032148510876,-0.9625032148510875,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606904,2.220446049250313e-16,3.3306690738754696e-16,0.001986057522658429,False,False
