R_C_over_R_A,coupling_C,C_pair_group,C_phase_sign,a_gauge_valid,b_gauge_valid,a_alpha_tau_ABC,b_alpha_tau_ABC,abs_alpha_difference,a_max_relative_contamination,b_max_relative_contamination
0.5,0.01,small,1.0,False,False,-0.99951185105501,-1.0004886634629515,0.000976812407941563,0.0008594366926962347,0.0008594366926962347
0.5,0.01,large,1.0,False,False,-0.9980504826633363,-1.001957749665303,0.003907267001966641,0.003437746770784941,0.003437746770784941
0.5,0.01,large_pi,-1.0,False,False,-1.001957749665303,-0.9980504826633363,0.003907267001966641,0.003437746770784941,0.003437746770784941
0.5,0.02,small,1.0,False,False,-0.9990242157605062,-1.0009778423134015,0.0019536265528953267,0.0017188733853924693,0.0017188733853924693
0.5,0.02,large,1.0,False,False,-0.9961091423334685,-1.003923787509265,0.007814645175796553,0.006875493541569882,0.006875493541569882
0.5,0.02,large_pi,-1.0,False,False,-1.003923787509265,-0.9961091423334685,0.007814645175796553,0.006875493541569882,0.006875493541569882
0.5,0.05,small,1.0,False,False,-0.997564383135979,-1.0024484799162032,0.0048840967802242785,0.004297183463481178,0.004297183463481178
0.5,0.05,large,1.0,False,False,-0.990333637953228,-1.0098721966752446,0.019538558722016597,0.017188733853924703,0.017188733853924703
0.5,0.05,large_pi,-1.0,False,False,-1.0098721966752446,-0.990333637953228,0.019538558722016597,0.017188733853924703,0.017188733853924703
0.5,0.1,small,1.0,False,False,-0.995141521400831,-1.0049099320974202,0.00976841069658918,0.008594366926962357,0.008594366926962357
0.5,0.1,large,1.0,False,False,-0.9808663225634932,-1.0199573463144451,0.03909102375095197,0.034377467707849406,0.034377467707849406
0.5,0.1,large_pi,-1.0,False,False,-1.0199573463144451,-0.9808663225634932,0.03909102375095197,0.034377467707849406,0.034377467707849406
0.5,0.2,small,1.0,False,False,-0.990333637953228,-1.0098721966752446,0.019538558722016597,0.017188733853924713,0.017188733853924713
0.5,0.2,large,1.0,False,False,-0.9625032148510878,-1.0407967590987692,0.07829354424768142,0.06875493541569881,0.06875493541569881
0.5,0.2,large_pi,-1.0,False,False,-1.0407967590987692,-0.9625032148510878,0.07829354424768142,0.06875493541569881,0.06875493541569881
1.0,0.01,small,1.0,True,True,-0.9985389537302183,-1.001466214206225,0.0029272604760066656,0.0034377467707849387,0.0034377467707849387
1.0,0.01,large,1.0,True,True,-0.9941865094079384,-1.0058961832665128,0.011709673858574354,0.013750987083139763,0.013750987083139763
1.0,0.01,large_pi,-1.0,True,True,-1.0058961832665128,-0.9941865094079384,0.011709673858574354,0.013750987083139763,0.013750987083139763
1.0,0.02,small,1.0,True,True,-0.9970830439434827,-1.0029376280868398,0.0058545841433571555,0.006875493541569877,0.006875493541569877
1.0,0.02,large,1.0,True,True,-0.9884537249833734,-1.0118771185914914,0.02342339360811807,0.027501974166279527,0.027501974166279527
1.0,0.02,large_pi,-1.0,True,True,-1.0118771185914914,-0.9884537249833734,0.02342339360811807,0.027501974166279527,0.027501974166279527
1.0,0.05,small,1.0,True,True,-0.9927458231447197,-1.0073833894955224,0.014637566350802711,0.017188733853924713,0.017188733853924713
1.0,0.05,large,1.0,True,True,-0.971720766632927,-1.0303502015314583,0.05862943489853134,0.06875493541569881,0.06875493541569881
1.0,0.05,large_pi,-1.0,True,True,-1.0303502015314583,-0.971720766632927,0.05862943489853134,0.06875493541569881,0.06875493541569881
1.0,0.1,small,1.0,True,True,-0.9856169958853502,-1.0149000326467406,0.029283036761390324,0.03437746770784943,0.03437746770784943
1.0,0.1,large,1.0,True,True,-0.9452800145362158,-1.0630499431706892,0.11776992863447344,0.13750987083139762,0.13750987083139762
1.0,0.1,large_pi,-1.0,True,True,-1.0630499431706892,-0.9452800145362158,0.11776992863447344,0.13750987083139762,0.13750987083139762
1.0,0.2,small,1.0,True,True,-0.9717207666329268,-1.0303502015314585,0.058629434898531674,0.06875493541569885,0.06875493541569885
1.0,0.2,large,1.0,False,False,-0.8971589263666538,-1.1369264104433308,0.23976748407667692,0.27501974166279525,0.27501974166279525
1.0,0.2,large_pi,-1.0,False,False,-1.1369264104433308,-0.8971589263666538,0.23976748407667692,0.27501974166279525,0.27501974166279525
2.0,0.01,small,1.0,True,True,-0.9954585040410163,-1.0045988226850129,0.009140318643996559,0.013750987083139755,0.013750987083139755
2.0,0.01,large,1.0,True,True,-0.9821651233819381,-1.0187530411770505,0.03658791779511239,0.055003948332559054,0.055003948332559054
2.0,0.01,large_pi,-1.0,True,True,-1.0187530411770505,-0.9821651233819381,0.03658791779511239,0.055003948332559054,0.055003948332559054
2.0,0.02,small,1.0,True,True,-0.9909730273815454,-1.0092563263161165,0.018283298934571146,0.02750197416627951,0.02750197416627951
2.0,0.02,large,1.0,True,True,-0.9651687334231144,-1.0385159901699474,0.07334725674683307,0.11000789666511811,0.11000789666511811
2.0,0.02,large_pi,-1.0,True,True,-1.0385159901699474,-0.9651687334231144,0.07334725674683307,0.11000789666511811,0.11000789666511811
2.0,0.05,small,1.0,True,True,-0.9778402963224876,-1.0235952161985018,0.04575491987601421,0.06875493541569885,0.06875493541569885
2.0,0.05,large,1.0,False,False,-0.9185544574026566,-1.1050231488418454,0.18646869143918876,0.27501974166279525,0.27501974166279525
2.0,0.05,large_pi,-1.0,False,False,-1.1050231488418454,-0.9185544574026566,0.18646869143918876,0.27501974166279525,0.27501974166279525
2.0,0.1,small,1.0,True,True,-0.9569628567496083,-1.0488087774762527,0.09184592072664433,0.1375098708313977,0.1375098708313977
2.0,0.1,large,1.0,False,False,-0.8525005166510943,-1.2510461947587483,0.39854567810765407,0.5500394833255905,0.5500394833255905
2.0,0.1,large_pi,-1.0,False,False,-1.2510461947587483,-0.8525005166510943,0.39854567810765407,0.5500394833255905,0.5500394833255905
2.0,0.2,small,1.0,False,False,-0.9185544574026564,-1.1050231488418452,0.18646869143918876,0.2750197416627954,0.2750197416627954
2.0,0.2,large,1.0,False,False,-0.7501498780477727,-2.337402840283674,1.5872529622359015,1.100078966651181,1.100078966651181
2.0,0.2,large_pi,-1.0,False,False,-2.337402840283674,-0.7501498780477727,1.5872529622359015,1.100078966651181,1.100078966651181
4.0,0.01,small,1.0,True,True,-0.9814822361942115,-1.0198461584412628,0.03836392224705132,0.06875493541569877,0.06875493541569877
4.0,0.01,large,1.0,False,False,-0.9323628551808145,-1.0897446117651655,0.15738175658435094,0.27501974166279525,0.27501974166279525
4.0,0.01,large_pi,-1.0,False,False,-1.0897446117651655,-0.9323628551808145,0.15738175658435094,0.27501974166279525,0.27501974166279525
4.0,0.02,small,1.0,True,True,-0.9641245650362948,-1.0412298102604376,0.07710524522414275,0.13750987083139754,0.13750987083139754
4.0,0.02,large,1.0,False,False,-0.8780349851219125,-1.2246610124317212,0.34662602730980874,0.5500394833255905,0.5500394833255905
4.0,0.02,large_pi,-1.0,False,False,-1.2246610124317212,-0.8780349851219125,0.34662602730980874,0.5500394833255905,0.5500394833255905
4.0,0.05,small,1.0,False,False,-0.9177493551528539,-1.1176698345720883,0.1999204794192344,0.34377467707849424,0.34377467707849424
4.0,0.05,large,1.0,False,False,-0.7597853209903802,-1.25708813136305,0.49730281037266977,1.375098708313976,1.375098708313976
4.0,0.05,large_pi,-1.0,False,False,-1.25708813136305,-0.7597853209903802,0.49730281037266977,1.375098708313976,1.375098708313976
4.0,0.1,small,1.0,False,False,-0.8544154127038823,-1.33187523898802,0.47745982628413763,0.6875493541569885,0.6875493541569885
4.0,0.1,large,1.0,False,False,-0.6354155732237525,-1.0153362413911795,0.379920668167427,2.750197416627952,2.750197416627952
4.0,0.1,large_pi,-1.0,False,False,-1.0153362413911795,-0.6354155732237525,0.379920668167427,2.750197416627952,2.750197416627952
4.0,0.2,small,1.0,False,False,-0.7597853209903801,-1.2570881313630498,0.49730281037266966,1.375098708313977,1.375098708313977
4.0,0.2,large,1.0,False,False,-0.49297036139654266,-0.5350479825109831,0.04207762111444041,5.500394833255904,5.500394833255904
4.0,0.2,large_pi,-1.0,False,False,-0.5350479825109831,-0.49297036139654266,0.04207762111444041,5.500394833255904,5.500394833255904
