case_id,initial_deviation_deg,scattering_protocol,scattering_kind,scattering_matrix_used,tau_mode,tau_kind,readout_mode,step_count,max_abs_A_chi_tau,rank_chi_tau,expected_rank,max_epsilon_c_abs,c1_calibrated,area_sweep_detected,area_expected,rank_matches_expectation,decay_rate_V_AB,max_Q_closed_abs,tau_is_step_used,external_c_used,absolute_background_axis_used,f_A_or_f_B_used
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,tau_disabled_control,disabled,readout_weak,720,0.0,1,1,0.0,False,False,False,True,-2.0000100000577814e-05,0.0,False,False,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,tau_disabled_control,disabled,readout_normal,720,0.0,1,1,0.0,False,False,False,True,-0.00010000250008333303,0.0,False,False,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,tau_disabled_control,disabled,readout_strong,720,0.0,1,1,0.0,False,False,False,True,-0.00040004000533409075,0.0,False,False,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_off,720,0.0,1,1,0.0,True,False,False,True,1.2727114570066945e-18,0.0,False,False,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_weak,720,0.0,1,1,0.0,True,False,False,True,-2.0000100000577814e-05,0.0,False,False,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_normal,720,0.0,1,1,0.0,True,False,False,True,-0.00010000250008333303,0.0,False,False,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_strong,720,0.0,1,1,0.0,True,False,False,True,-0.00040004000533409075,0.0,False,False,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_off,720,0.023907518966475413,2,2,2.220446049250313e-15,True,True,True,True,1.2727114570066945e-18,0.0,False,False,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_weak,720,0.023884582314991288,2,2,0.00015291033469400084,False,True,True,True,-2.0000100000577814e-05,0.0,False,False,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_normal,720,0.023793126354673996,2,2,0.0007648005411389214,False,True,True,True,-0.00010000250008333303,0.0,False,False,False,False
near_pi_05deg,5.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_strong,720,0.023454269233312564,2,2,0.003062925647902448,False,True,True,True,-0.00040004000533409075,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_disabled_control,disabled,readout_off,720,0.0,1,1,0.0,False,False,False,True,-4.4544900995234305e-18,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_disabled_control,disabled,readout_weak,720,0.0,1,1,0.0,False,False,False,True,-2.0000100000579084e-05,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_disabled_control,disabled,readout_normal,720,0.0,1,1,0.0,False,False,False,True,-0.00010000250008333112,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_disabled_control,disabled,readout_strong,720,0.0,1,1,0.0,False,False,False,True,-0.0004000400053340933,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_locked_0deg,locked,readout_off,720,0.0,1,1,0.0,True,False,False,True,-4.4544900995234305e-18,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_locked_0deg,locked,readout_weak,720,0.0,1,1,0.0,True,False,False,True,-2.0000100000579084e-05,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_locked_0deg,locked,readout_normal,720,0.0,1,1,0.0,True,False,False,True,-0.00010000250008333112,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_locked_0deg,locked,readout_strong,720,0.0,1,1,0.0,True,False,False,True,-0.0004000400053340933,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_independent_c1,independent,readout_off,720,0.09563007586590165,2,2,2.220446049250313e-15,True,True,True,True,-4.4544900995234305e-18,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_independent_c1,independent,readout_weak,720,0.09553832925996515,2,2,0.00015291033469400084,False,True,True,True,-2.0000100000579084e-05,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_independent_c1,independent,readout_normal,720,0.09517250541869599,2,2,0.0007648005411389214,False,True,True,True,-0.00010000250008333112,0.0,False,False,False,False
near_pi_10deg,10.0,pass_through,pass,False,tau_independent_c1,independent,readout_strong,720,0.09381707693325025,2,2,0.003062925647902448,False,True,True,True,-0.0004000400053340933,0.0,False,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_disabled_control,disabled,readout_off,720,0.0,1,1,0.0,False,False,False,True,-4.4544900995234305e-18,0.0,False,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_disabled_control,disabled,readout_weak,720,0.0,1,1,0.0,False,False,False,True,-2.0000100000579084e-05,0.0,False,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_disabled_control,disabled,readout_normal,720,0.0,1,1,0.0,False,False,False,True,-0.00010000250008333112,0.0,False,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_disabled_control,disabled,readout_strong,720,0.0,1,1,0.0,False,False,False,True,-0.0004000400053340933,0.0,False,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_locked_0deg,locked,readout_off,720,0.0,1,1,0.0,True,False,False,True,-4.4544900995234305e-18,0.0,False,False,False,False
