case_id,readout_mode,left_protocol,right_protocol,max_D_AB_near_diff,max_V_AB_diff,max_abs_chi_read_diff,label_free_match
near_pi_02deg,readout_off,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_02deg,readout_off,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_02deg,readout_weak,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_02deg,readout_weak,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_02deg,readout_normal,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_02deg,readout_normal,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_02deg,readout_strong,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_02deg,readout_strong,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_05deg,readout_off,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_05deg,readout_off,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_05deg,readout_weak,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_05deg,readout_weak,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_05deg,readout_normal,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_05deg,readout_normal,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_05deg,readout_strong,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_05deg,readout_strong,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_10deg,readout_off,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_10deg,readout_off,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_10deg,readout_weak,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_10deg,readout_weak,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_10deg,readout_normal,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_10deg,readout_normal,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_10deg,readout_strong,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_10deg,readout_strong,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_20deg,readout_off,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_20deg,readout_off,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_20deg,readout_weak,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_20deg,readout_weak,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_20deg,readout_normal,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_20deg,readout_normal,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_20deg,readout_strong,pass_through,fermionic_reflection_pi,0.0,0.0,0.0,True
near_pi_20deg,readout_strong,display_reflection,fermionic_reflection_pi,0.0,0.0,0.0,True
