t,H,Q2_re,Q2_im,generator_norm
0,np.float64(1500.3084572710122),np.float64(-77.20704162118685),np.float64(167.31112142639995),np.float64(34.949037692825115)
1,np.float64(1500.3084572710109),np.float64(-77.20704162118632),np.float64(167.3111214264003),np.float64(35.34434782635944)
2,np.float64(1500.3084572710131),np.float64(-77.20704162118594),np.float64(167.31112142640058),np.float64(35.822677458280936)
3,np.float64(1500.3084572710118),np.float64(-77.20704162118628),np.float64(167.31112142639967),np.float64(35.81465806338837)
4,np.float64(1500.3084572710118),np.float64(-77.20704162118601),np.float64(167.31112142640038),np.float64(35.66884590322673)
5,np.float64(1500.308457271013),np.float64(-77.20704162118588),np.float64(167.31112142640097),np.float64(36.01902347731381)
6,np.float64(1500.3084572710127),np.float64(-77.20704162118545),np.float64(167.31112142640137),np.float64(36.6200645151892)
7,np.float64(1500.3084572710084),np.float64(-77.20704162118437),np.float64(167.3111214264015),np.float64(36.94438495053864)
8,np.float64(1500.3084572710059),np.float64(-77.20704162118459),np.float64(167.31112142640058),np.float64(37.133059962519425)
9,np.float64(1500.308457271005),np.float64(-77.20704162118507),np.float64(167.31112142640106),np.float64(37.37983262690978)
10,np.float64(1500.3084572710004),np.float64(-77.20704162118524),np.float64(167.31112142640043),np.float64(37.586792902324234)
11,np.float64(1500.3084572710002),np.float64(-77.20704162118638),np.float64(167.31112142640188),np.float64(37.70151921769423)
12,np.float64(1500.308457271004),np.float64(-77.20704162118723),np.float64(167.31112142640137),np.float64(37.78157438478841)
13,np.float64(1500.3084572710018),np.float64(-77.20704162118805),np.float64(167.31112142640015),np.float64(37.80915134202668)
14,np.float64(1500.3084572710022),np.float64(-77.2070416211875),np.float64(167.31112142640032),np.float64(37.81618075635697)
15,np.float64(1500.3084572710022),np.float64(-77.20704162118845),np.float64(167.3111214263994),np.float64(37.80534163569604)
16,np.float64(1500.308457270998),np.float64(-77.20704162118793),np.float64(167.31112142639898),np.float64(37.77552514654997)
17,np.float64(1500.3084572709972),np.float64(-77.20704162118697),np.float64(167.3111214263992),np.float64(37.76295870933156)
18,np.float64(1500.3084572709995),np.float64(-77.20704162118841),np.float64(167.31112142639859),np.float64(37.79617599383357)
19,np.float64(1500.308457271003),np.float64(-77.20704162118801),np.float64(167.31112142639836),np.float64(37.88108480442375)
20,np.float64(1500.3084572710022),np.float64(-77.20704162118771),np.float64(167.3111214263987),np.float64(37.98692463690805)
21,np.float64(1500.308457270999),np.float64(-77.20704162118652),np.float64(167.31112142639813),np.float64(38.08909839983636)
22,np.float64(1500.308457271002),np.float64(-77.20704162118537),np.float64(167.3111214263988),np.float64(38.192455193499214)
23,np.float64(1500.3084572709977),np.float64(-77.2070416211859),np.float64(167.3111214263991),np.float64(38.27535876493069)
24,np.float64(1500.3084572709963),np.float64(-77.20704162118504),np.float64(167.31112142639907),np.float64(38.338745129310155)
25,np.float64(1500.3084572709968),np.float64(-77.20704162118446),np.float64(167.31112142639887),np.float64(38.38164248699846)
26,np.float64(1500.3084572709945),np.float64(-77.20704162118491),np.float64(167.3111214263981),np.float64(38.41105286377608)
27,np.float64(1500.308457270994),np.float64(-77.20704162118517),np.float64(167.31112142639836),np.float64(38.42965111274437)
28,np.float64(1500.308457270994),np.float64(-77.20704162118457),np.float64(167.31112142639824),np.float64(38.43799852540499)
29,np.float64(1500.3084572709927),np.float64(-77.2070416211849),np.float64(167.3111214263986),np.float64(38.43645569568524)
30,np.float64(1500.3084572709893),np.float64(-77.20704162118537),np.float64(167.31112142639824),np.float64(38.42466359895256)
31,np.float64(1500.308457270995),np.float64(-77.20704162118582),np.float64(167.31112142639824),np.float64(38.40629001619737)
32,np.float64(1500.3084572709936),np.float64(-77.20704162118537),np.float64(167.31112142639728),np.float64(38.39001215012234)
33,np.float64(1500.3084572709931),np.float64(-77.20704162118554),np.float64(167.31112142639645),np.float64(38.38431968571769)
34,np.float64(1500.3084572709909),np.float64(-77.20704162118358),np.float64(167.3111214263957),np.float64(38.401066089329426)
35,np.float64(1500.3084572709893),np.float64(-77.207041621184),np.float64(167.31112142639535),np.float64(38.43359498510135)
36,np.float64(1500.3084572709886),np.float64(-77.20704162118435),np.float64(167.31112142639418),np.float64(38.47160768116395)
37,np.float64(1500.308457270979),np.float64(-77.20704162118298),np.float64(167.31112142639458),np.float64(38.49726659845828)
38,np.float64(1500.308457270979),np.float64(-77.20704162118385),np.float64(167.31112142639415),np.float64(38.508823467322316)
39,np.float64(1500.3084572709781),np.float64(-77.20704162118409),np.float64(167.31112142639398),np.float64(38.50693808507168)
40,np.float64(1500.3084572709815),np.float64(-77.20704162118382),np.float64(167.31112142639478),np.float64(38.50288015639238)
41,np.float64(1500.3084572709831),np.float64(-77.20704162118358),np.float64(167.31112142639512),np.float64(38.5056262576847)
42,np.float64(1500.30845727098),np.float64(-77.20704162118346),np.float64(167.31112142639506),np.float64(38.51809897390611)
43,np.float64(1500.3084572709809),np.float64(-77.20704162118332),np.float64(167.3111214263945),np.float64(38.54430332760549)
44,np.float64(1500.3084572709854),np.float64(-77.20704162118375),np.float64(167.31112142639432),np.float64(38.57120495603161)
45,np.float64(1500.3084572709865),np.float64(-77.20704162118304),np.float64(167.3111214263952),np.float64(38.599700070994444)
46,np.float64(1500.3084572709868),np.float64(-77.20704162118335),np.float64(167.31112142639557),np.float64(38.62007111670059)
47,np.float64(1500.3084572709909),np.float64(-77.20704162118352),np.float64(167.3111214263962),np.float64(38.636467274324346)
48,np.float64(1500.3084572709922),np.float64(-77.20704162118388),np.float64(167.31112142639682),np.float64(38.64891753690135)
49,np.float64(1500.3084572709968),np.float64(-77.20704162118342),np.float64(167.31112142639753),np.float64(38.65720408471151)
50,np.float64(1500.3084572709986),np.float64(-77.20704162118322),np.float64(167.31112142639776),np.float64(38.66298003499005)
51,np.float64(1500.3084572710013),np.float64(-77.20704162118291),np.float64(167.31112142639824),np.float64(38.66145745915854)
52,np.float64(1500.3084572710018),np.float64(-77.20704162118352),np.float64(167.31112142639807),np.float64(38.65632789548919)
53,np.float64(1500.3084572710047),np.float64(-77.2070416211834),np.float64(167.31112142639847),np.float64(38.645669533141245)
54,np.float64(1500.3084572710081),np.float64(-77.20704162118368),np.float64(167.31112142639878),np.float64(38.63499738861424)
