step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13,takagi_r14
0,0.35232363595726657,0.33229142572159653,0.3048637455943862,0.28047861338523083,0.2456775908099225,0.23363140091404186,0.22567559072502297,0.21731624020797222,0.15370480841639966,0.13268506113078776,0.11507259232784756,0.08521360311147318,0.039381778909809234,3.309562115829118e-09
1,0.3523241984643352,0.33229205156378017,0.30486388806579545,0.2804803029839987,0.2456773683425676,0.23363146345752042,0.22567608783469584,0.21731603539036856,0.15370466537223812,0.13268558901694846,0.11507195410893177,0.08521350995676491,0.03938201412723573,2.500094744209781e-09
2,0.3523253650787603,0.3322931508307379,0.3048641728736755,0.2804836609371984,0.2456774061531125,0.23363127190016,0.22567738650285632,0.21731557879928592,0.15370460521880155,0.1326872251216199,0.1150701816010602,0.08521312715867724,0.03938279408253602,2.522279486489539e-09
3,0.3523271361282759,0.33229472366719875,0.3048646006218826,0.2804886872833592,0.24567770436684663,0.23363082761946077,0.22567948584117012,0.21731487128937363,0.15370462753635097,0.1326899707309545,0.11506727363384739,0.08521245595879318,0.03938411907443282,3.9424363219476534e-09
4,0.35232951212446434,0.3322967703073657,0.3048651723690569,0.28049538223058434,0.2456782632489464,0.23363013273584526,0.22568238457034653,0.2173139142084663,0.15370473169800508,0.13269382818999223,0.11506322815315832,0.08521149836494146,0.039385989761051496,2.964850334201708e-09
5,0.3523324937609075,0.3322992910743489,0.3048658896267491,0.2805037461530325,0.24567908320380555,0.23362919010974836,0.22568608102241913,0.2173127093943142,0.1537049168693823,0.1326988008908236,0.11505804223431747,0.0852102571486765,0.039388407162765295,3.190306894272141e-09
6,0.3523360819107373,0.33230228637942705,0.3048667543569645,0.28051377958620394,0.24568016477417332,0.23362800333774367,0.22569057314382676,0.217311259170259,0.15370518200809916,0.13270489325656004,0.11505171209996896,0.08520873584201075,0.03939137266607419,2.3039316016134406e-09
7,0.3523402776235932,0.3323057567211398,0.3048677689691209,0.2805254832210391,0.24568150864010396,0.2336265767477063,0.22569585849928162,0.21730956633987544,0.15370552586312883,0.13271211072117345,0.11504423314252431,0.08520693873340365,0.039394888028467474,3.294887551178916e-09
8,0.35234508212197163,0.33230970268419685,0.3048689363164173,0.2805388578968247,0.24568311561770811,0.23362491539300487,0.22570193427639643,0.217307634180586,0.1537059469740166,0.13272045970527188,0.11503559995110703,0.085204870863003,0.03939895538423723,2.239103431247963e-09
9,0.3523504967970047,0.33231412493823514,0.30487025969163656,0.2805539045929503,0.2456849866577273,0.23362302504574337,0.22570879729106422,0.21730546643629303,0.1537064436699675,0.13272994758791098,0.1150258063429049,0.08520253801715104,0.03940357725117647,2.6566512226908396e-09
