case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2
N=14,14,91,13,3.019925794430399,0.0010182806873142317,0.1646650590980495,91,71
N=15,15,105,14,3.3724203606353123,0.0015580330783093435,0.10061247372778237,105,76
