axis,log_growth_rate_per_step,fit_start,fit_end,fit_count,initial,final,max
1,0.23602840893008248,37,104,68,4.5713640549079705e-17,0.11746724386285973,0.11756484841639071
2,0.23601753253449517,37,105,69,4.3735683784193186e-17,0.11285946247772397,0.11294842915023065
3,0.24083472601894215,47,113,67,4.1196102530065414e-17,0.09127369125842326,0.0967662651105556
4,0.24073399364563094,47,113,67,3.9327216669934903e-17,0.0840992029452879,0.0885565413099072
5,0.23698039887851624,50,117,68,3.698011499494557e-17,0.05695589428575783,0.05870938391589035
6,0.2389632740337007,51,117,67,3.583579943260816e-17,0.05213441425100243,0.05221327818104524
7,0.2377269141003674,51,118,68,3.229199477846959e-17,0.04913895652578407,0.04924482253424694
8,0.23659670186057435,53,121,69,2.674410415883484e-17,0.043898956001098104,0.043922547156136714
9,0.2372882540356997,54,121,68,2.569426041807321e-17,0.03881140682796532,0.03890933683055689
10,0.23758187444379636,54,121,68,2.3573078485756354e-17,0.029883907547909542,0.02996178662712403
11,0.23625998783975363,55,122,68,2.1801854317811254e-17,0.02671773472282098,0.02727852339990843
12,0.2363020480896988,55,123,69,1.9068187225769483e-17,0.021577881506419348,0.022679834829865533
13,0.2373887068517233,57,124,68,1.7018962547876254e-17,0.01330080149816845,0.015145412433054985
14,0.23503320599249095,57,126,70,1.41246184772358e-17,0.011685903952390515,0.012620262025785815
15,0.23457678990719102,61,128,68,9.447289332725666e-18,0.01013419334917304,0.011259510129843603
