step,H_total,H_parallel,H_perp,A_perp,f,abs_ztz,full_simplex_rank,perp_simplex_rank,R_full_takagi,R_parallel_takagi,R_perp_takagi,R_cross_takagi,r1_full,r1_parallel,r1_perp,r1_cross,Bcross_fro
0,1.0,1.0,3.0814879110195774e-33,5.551115123125783e-17,3.0814879110195774e-33,1.0796189313543554e-15,4,0,0.6362090102803516,0.6362090102803517,3.8712437943907423e-17,6.588621767898243e-09,0.4498677054212186,0.4498677054212186,2.621971000426825e-17,4.348855448555469e-09,2.3996409370858087e-17
1,1.0000000000000002,0.9999999999999998,8.636100982225692e-29,9.293062456599381e-15,8.63610098222569e-29,1.0241247841758408e-15,4,0,0.6362090102803517,0.6362090102803516,5.1679519638491114e-15,7.38801161511627e-08,0.4498677054212186,0.44986770542121857,4.6456776324572234e-15,5.199292400093446e-08,3.794151856729164e-15
2,1.0000000000000002,0.9999999999999999,3.3062843800584e-28,1.818319108423601e-14,3.306284380058399e-28,9.910525108980593e-16,4,0,0.6362090102803517,0.6362090102803517,1.0066927509053795e-14,1.0298608045893962e-07,0.4498677054212186,0.44986770542121857,9.091373103647942e-15,7.271017196157044e-08,7.426252150365311e-15
3,1.0000000000000002,1.0,7.208005150645599e-28,2.6847728303611834e-14,7.208005150645597e-28,9.906072393248138e-16,4,0,0.6362090102803518,0.6362090102803517,1.4852592281951432e-14,1.2485817186093483e-07,0.44986770542121873,0.4498677054212186,1.3422796696058781e-14,8.830956269037803e-08,1.0953310024092871e-14
4,1.0,1.0,1.2715351326932833e-27,3.565859128868222e-14,1.2715351326932833e-27,9.42725736113227e-16,4,0,0.6362090102803517,0.6362090102803517,1.9622503444138803e-14,1.4397456405593337e-07,0.4498677054212186,0.4498677054212186,1.7828510200165883e-14,1.0180325732737525e-07,1.455976519128437e-14
5,1.0000000000000002,1.0,1.9998341356256934e-27,4.4719505091466445e-14,1.999834135625693e-27,9.192920085319403e-16,4,0,0.6362090102803518,0.6362090102803518,2.4586526412350466e-14,1.6119412829015423e-07,0.4498677054212186,0.4498677054212186,2.2359895330955377e-14,1.1398845908346047e-07,1.8257573153859728e-14
6,1.0,1.0,2.9614876458236808e-27,5.4419552054603325e-14,2.9614876458236808e-27,9.45653059500457e-16,4,0,0.6362090102803518,0.6362090102803519,2.9920842266752564e-14,1.7779094132118974e-07,0.44986770542121873,0.4498677054212186,2.7210747790428422e-14,1.2574655030819506e-07,2.2214001116019957e-14
7,1.0,1.0000000000000002,4.226234477316107e-27,6.500949528581273e-14,4.226234477316107e-27,9.926354351494972e-16,4,0,0.6362090102803519,0.6362090102803519,3.57235266007586e-14,1.942628329748297e-07,0.44986770542121873,0.4498677054212186,3.2504699610275065e-14,1.3741133807491736e-07,2.6536090350455578e-14
8,1.0000000000000002,1.0000000000000002,5.854276214973102e-27,7.651324208902079e-14,5.854276214973101e-27,1.1269533208477956e-15,4,0,0.636209010280352,0.6362090102803519,4.203235859364404e-14,2.1073939581673344e-07,0.44986770542121873,0.4498677054212186,3.8257000366035155e-14,1.491461644352149e-07,3.1239373267125443e-14
9,1.0000000000000002,1.0,7.970387119136711e-27,8.92770245871619e-14,7.97038711913671e-27,1.074837138093835e-15,4,0,0.636209010280352,0.6362090102803519,4.90467015653488e-14,2.276916810068029e-07,0.4498677054212188,0.4498677054212186,4.4640485692458986e-14,1.6099903688151597e-07,3.645117907959261e-14
10,1.0000000000000002,0.9999999999999999,1.0700858119980182e-26,1.0344495212421041e-13,1.0700858119980179e-26,1.0859170550470828e-15,4,0,0.636209010280352,0.6362090102803519,5.6795276986038677e-14,2.450314923585994e-07,0.44986770542121873,0.4498677054212186,5.172557819296952e-14,1.732714284131067e-07,4.2225580858285184e-14
11,1.0000000000000004,1.0,1.4226751284179203e-26,1.1927594595801453e-13,1.4226751284179197e-26,1.0506319077441632e-15,4,0,0.636209010280352,0.6362090102803518,6.551119579438613e-14,2.6310509420792904e-07,0.4498677054212188,0.4498677054212186,5.964146860643414e-14,1.8603588798203928e-07,4.869873501398386e-14
12,1.0000000000000002,1.0,1.8717077749561443e-26,1.3681037149851411e-13,1.871707774956144e-26,1.0420387180753783e-15,4,0,0.6362090102803519,0.6362090102803518,7.509888349027836e-14,2.8167755990936065e-07,0.4498677054212188,0.4498677054212186,6.840905945776001e-14,1.9918455720595034e-07,5.5846837731195014e-14
13,1.0000000000000002,0.9999999999999998,2.4424600317591674e-26,1.5628371737833622e-13,2.4424600317591668e-26,1.1028332352769703e-15,4,0,0.6362090102803518,0.6362090102803517,8.578282323574306e-14,3.011368098641775e-07,0.44986770542121873,0.44986770542121857,7.814655032448275e-14,2.12834479999514e-07,6.381063284863388e-14
