E_A,E_B,E_tau_R_total,K_R_phase_total,P_R_total,R_A,R_B,R_total,case,noise_level,noise_mode,p_A,p_B,relative_p,stage
1.0000000000000013,1.0000000000000016,2.0000000000000027,2.0000000000000018,1.6653345369377348e-15,1.0,1.0,2.0,c01_A1.00_B1.00_u1.00_v-1.00,0.0,zero_mean_gauge_noise,1.0000000000000013,-0.9999999999999997,2.000000000000001,initial
0.9999999999999953,0.9999999999999951,1.9999999999999905,1.999999999999977,1.9984014443252818e-15,1.0,1.0,2.0,c01_A1.00_B1.00_u1.00_v-1.00,0.0,zero_mean_gauge_noise,0.9999999999999952,-0.9999999999999932,1.9999999999999885,collision_cell
0.9999999999999951,0.9999999999999953,1.9999999999999905,1.9999999999999691,1.2212453270876722e-15,1.0,1.0,2.0,c01_A1.00_B1.00_u1.00_v-1.00,0.0,zero_mean_gauge_noise,-0.9999999999999917,0.9999999999999929,-1.9999999999999845,collision_map
1.0000000000000016,1.0000000000000013,2.0000000000000027,2.0000000000000018,1.6653345369377348e-15,1.0,1.0,2.0,c01_A1.00_B1.00_u1.00_v-1.00,0.0,zero_mean_gauge_noise,-0.9999999999999997,1.0000000000000013,-2.000000000000001,final
1.0000000000000013,1.0000000000000016,2.0000000000000027,2.0000000000000018,1.5543122344752192e-15,0.9999999999999999,1.0,2.0,c01_A1.00_B1.00_u1.00_v-1.00,1e-12,zero_mean_gauge_noise,1.0000000000000013,-0.9999999999999996,2.000000000000001,initial
0.9999999999999953,0.9999999999999954,1.9999999999999902,1.9999999999999771,2.3314683517128287e-15,0.9999999999999998,0.9999999999999998,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,1e-12,zero_mean_gauge_noise,0.9999999999999956,-0.9999999999999932,1.999999999999989,collision_cell
0.9999999999999956,0.9999999999999952,1.9999999999999907,1.9999999999999687,1.1102230246251565e-15,0.9999999999999999,0.9999999999999999,1.9999999999999998,c01_A1.00_B1.00_u1.00_v-1.00,1e-12,zero_mean_gauge_noise,-0.9999999999999917,0.9999999999999928,-1.9999999999999845,collision_map
1.0000000000000013,1.0000000000000013,2.000000000000002,2.0000000000000018,1.6653345369377348e-15,0.9999999999999998,0.9999999999999999,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,1e-12,zero_mean_gauge_noise,-0.9999999999999997,1.0000000000000013,-2.000000000000001,final
1.0000000000000013,1.0000000000000013,2.000000000000002,2.0000000000000018,1.6653345369377348e-15,0.9999999999999998,0.9999999999999998,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,1e-10,zero_mean_gauge_noise,1.0000000000000013,-0.9999999999999997,2.000000000000001,initial
0.9999999999999952,0.9999999999999954,1.9999999999999905,1.9999999999999771,1.9984014443252818e-15,0.9999999999999999,0.9999999999999999,1.9999999999999998,c01_A1.00_B1.00_u1.00_v-1.00,1e-10,zero_mean_gauge_noise,0.9999999999999953,-0.9999999999999933,1.9999999999999887,collision_cell
0.9999999999999953,0.9999999999999954,1.9999999999999902,1.999999999999968,1.1102230246251565e-15,0.9999999999999998,0.9999999999999998,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,1e-10,zero_mean_gauge_noise,-0.9999999999999916,0.9999999999999927,-1.9999999999999842,collision_map
1.0000000000000013,1.0000000000000013,2.000000000000002,2.000000000000002,1.7763568394002505e-15,0.9999999999999999,0.9999999999999999,1.9999999999999998,c01_A1.00_B1.00_u1.00_v-1.00,1e-10,zero_mean_gauge_noise,-0.9999999999999997,1.0000000000000016,-2.0000000000000013,final
1.0000000000000013,1.0000000000000016,2.0000000000000027,2.000000000000002,1.7763568394002505e-15,0.9999999999999998,0.9999999999999998,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,1e-08,zero_mean_gauge_noise,1.0000000000000016,-0.9999999999999998,2.0000000000000013,initial
0.9999999999999954,0.9999999999999954,1.9999999999999907,1.9999999999999767,2.220446049250313e-15,0.9999999999999999,0.9999999999999999,1.9999999999999998,c01_A1.00_B1.00_u1.00_v-1.00,1e-08,zero_mean_gauge_noise,0.9999999999999953,-0.9999999999999931,1.9999999999999885,collision_cell
0.9999999999999953,0.9999999999999952,1.9999999999999902,1.9999999999999685,9.992007221626409e-16,0.9999999999999998,0.9999999999999999,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,1e-08,zero_mean_gauge_noise,-0.9999999999999918,0.9999999999999927,-1.9999999999999845,collision_map
1.0000000000000013,1.0000000000000016,2.0000000000000027,2.0000000000000018,1.6653345369377348e-15,0.9999999999999998,0.9999999999999999,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,1e-08,zero_mean_gauge_noise,-0.9999999999999997,1.0000000000000013,-2.000000000000001,final
1.0000000000000013,1.0000000000000016,2.0000000000000027,2.0000000000000018,1.5543122344752192e-15,0.9999999999999998,0.9999999999999999,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,1e-06,zero_mean_gauge_noise,1.0000000000000013,-0.9999999999999997,2.000000000000001,initial
0.9999999999999954,0.9999999999999951,1.9999999999999902,1.9999999999999774,2.3314683517128287e-15,1.0,0.9999999999999998,1.9999999999999998,c01_A1.00_B1.00_u1.00_v-1.00,1e-06,zero_mean_gauge_noise,0.9999999999999954,-0.9999999999999933,1.999999999999989,collision_cell
0.9999999999999952,0.9999999999999952,1.9999999999999902,1.9999999999999685,1.1102230246251565e-15,0.9999999999999999,0.9999999999999998,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,1e-06,zero_mean_gauge_noise,-0.9999999999999916,0.9999999999999928,-1.9999999999999845,collision_map
1.0000000000000013,1.0000000000000016,2.0000000000000027,2.0000000000000018,1.5543122344752192e-15,0.9999999999999998,0.9999999999999999,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,1e-06,zero_mean_gauge_noise,-0.9999999999999998,1.0000000000000013,-2.000000000000001,final
1.0000000000000016,1.0000000000000013,2.0000000000000027,2.0000000000000018,1.3322676295501878e-15,0.9999999999999998,1.0,1.9999999999999998,c01_A1.00_B1.00_u1.00_v-1.00,0.0001,zero_mean_gauge_noise,1.0000000000000013,-0.9999999999999998,2.000000000000001,initial
0.9999999999999952,0.9999999999999953,1.9999999999999902,1.9999999999999765,2.1094237467877974e-15,0.9999999999999999,0.9999999999999998,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,0.0001,zero_mean_gauge_noise,0.9999999999999952,-0.9999999999999932,1.9999999999999885,collision_cell
0.9999999999999952,0.9999999999999953,1.9999999999999902,1.999999999999969,1.1102230246251565e-15,0.9999999999999998,0.9999999999999999,1.9999999999999996,c01_A1.00_B1.00_u1.00_v-1.00,0.0001,zero_mean_gauge_noise,-0.9999999999999918,0.9999999999999928,-1.9999999999999845,collision_map
1.0000000000000013,1.0000000000000013,2.0000000000000027,2.0000000000000018,1.3322676295501878e-15,1.0,0.9999999999999999,2.0,c01_A1.00_B1.00_u1.00_v-1.00,0.0001,zero_mean_gauge_noise,-0.9999999999999998,1.0000000000000013,-2.000000000000001,final
1.0000000000000013,1.0000000000000016,2.0000000000000027,2.0000000000000018,1.6653345369377348e-15,1.0,1.0,2.0,c01_A1.00_B1.00_u1.00_v-1.00,0.0,common_bias_control,1.0000000000000013,-0.9999999999999997,2.000000000000001,initial
0.9999999999999953,0.9999999999999951,1.9999999999999905,1.999999999999977,1.9984014443252818e-15,1.0,1.0,2.0,c01_A1.00_B1.00_u1.00_v-1.00,0.0,common_bias_control,0.9999999999999952,-0.9999999999999932,1.9999999999999885,collision_cell
0.9999999999999951,0.9999999999999953,1.9999999999999905,1.9999999999999691,1.2212453270876722e-15,1.0,1.0,2.0,c01_A1.00_B1.00_u1.00_v-1.00,0.0,common_bias_control,-0.9999999999999917,0.9999999999999929,-1.9999999999999845,collision_map
1.0000000000000016,1.0000000000000013,2.0000000000000027,2.0000000000000018,1.6653345369377348e-15,1.0,1.0,2.0,c01_A1.00_B1.00_u1.00_v-1.00,0.0,common_bias_control,-0.9999999999999997,1.0000000000000013,-2.000000000000001,final
1.0000000000005418,1.000000000000288,2.0000000000010782,2.0000000000002975,-2.291944412036173e-12,0.9999999999995034,1.0000000000007452,2.0000000000002487,c01_A1.00_B1.00_u1.00_v-1.00,1e-12,common_bias_control,0.9999999999994872,-1.0000000000005373,2.0000000000000244,initial
1.0000000000002678,1.0000000000001932,2.00000000000169,2.0000000000003784,-9.284795154940184e-13,1.000000000000876,1.0000000000003533,2.0000000000012292,c01_A1.00_B1.00_u1.00_v-1.00,1e-12,common_bias_control,0.9999999999990618,-1.000000000000513,1.9999999999995746,collision_cell
1.0000000000009712,0.9999999999994743,2.000000000000696,2.000000000000239,9.048317650695026e-13,0.9999999999998155,1.0000000000004348,2.0000000000002505,c01_A1.00_B1.00_u1.00_v-1.00,1e-12,common_bias_control,-0.9999999999998543,1.0000000000001399,-1.9999999999999942,collision_map
1.0000000000006977,0.999999999999691,2.000000000000415,2.0000000000001767,-2.2842838731662596e-12,1.000000000000655,0.9999999999993711,2.000000000000026,c01_A1.00_B1.00_u1.00_v-1.00,1e-12,common_bias_control,-1.0000000000005378,0.9999999999995375,-2.0000000000000755,final
1.000000000012912,0.9999999999533011,1.9999999997933449,1.9999999997689009,8.339529067313833e-11,0.999999999921954,0.999999999905178,1.999999999827132,c01_A1.00_B1.00_u1.00_v-1.00,1e-10,common_bias_control,1.0000000000187519,-0.9999999999521326,1.9999999999708846,initial
0.999999999948224,1.0000000000732492,1.999999999989524,1.9999999997999234,9.150269431046354e-11,0.9999999999929782,0.9999999999750727,1.999999999968051,c01_A1.00_B1.00_u1.00_v-1.00,1e-10,common_bias_control,0.9999999999947667,-0.9999999999211695,1.9999999999159361,collision_cell
0.999999999932527,0.9999999999404493,1.9999999997717994,1.999999999920426,1.0366829616970108e-10,0.9999999999543052,0.9999999999445179,1.9999999998988232,c01_A1.00_B1.00_u1.00_v-1.00,1e-10,common_bias_control,-0.999999999948673,1.0000000000621285,-2.0000000000108016,collision_map
0.999999999954747,0.9999999999345316,2.0000000000185882,2.000000000093255,1.7817214370552392e-10,1.0000000000554832,1.0000000000738267,2.00000000012931,c01_A1.00_B1.00_u1.00_v-1.00,1e-10,common_bias_control,-0.999999999911072,1.0000000000709006,-1.9999999999819726,final
0.9999999923863527,1.0000000006496699,1.9999999882501676,2.000000021485272,2.267344090256529e-09,1.0000000013218469,0.9999999938922981,1.999999995214145,c01_A1.00_B1.00_u1.00_v-1.00,1e-08,common_bias_control,1.0000000039866794,-1.000000009148884,2.0000000131355637,initial
1.0000000095439758,0.9999999939649521,1.9999999929018744,1.9999999937574695,-1.664490467678803e-08,0.9999999941472894,0.9999999952456571,1.9999999893929465,c01_A1.00_B1.00_u1.00_v-1.00,1e-08,common_bias_control,0.9999999933178623,-1.0000000088643992,2.0000000021822615,collision_cell
1.000000002198503,1.0000000007122376,2.0000000109907075,2.000000017848139,7.768874432656503e-10,0.9999999991055396,1.0000000089744274,2.000000008079967,c01_A1.00_B1.00_u1.00_v-1.00,1e-08,common_bias_control,-1.0000000069880433,0.9999999978960428,-2.000000004884086,collision_map
0.9999999953029639,0.999999996578803,1.9999999952099872,1.9999999834214517,-6.992872947364503e-10,1.000000003775454,0.9999999995527663,2.0000000033282204,c01_A1.00_B1.00_u1.00_v-1.00,1e-08,common_bias_control,-0.9999999932616077,0.9999999967850081,-1.9999999900466157,final
1.0000000648843546,1.0000006131432342,2.000000500721298,2.000001735345,-8.433172234978414e-07,0.9999998369579862,0.9999999857357423,1.9999998226937286,c01_A1.00_B1.00_u1.00_v-1.00,1e-06,common_bias_control,1.000000130892931,-1.0000008254323889,2.00000095632532,initial
