index,singular_value,relative_to_s1
1,1.57276352233395542e+01,1.00000000000000000e+00
2,1.57180438332602321e+01,9.99390156883528946e-01
3,1.94986109490500970e+00,1.23976749664911332e-01
4,1.89488730107879677e+00,1.20481386691040165e-01
5,7.98936583123224464e-01,5.07982650778685124e-02
6,7.55970404296039455e-01,4.80663744778484989e-02
7,5.33719584679092529e-01,3.39351451823514672e-02
8,4.76930483082416368e-01,3.03243606753200445e-02
9,3.52637305050647998e-01,2.24215083859104249e-02
10,3.24545489710182433e-01,2.06353647640913108e-02
11,2.49207871600048675e-01,1.58452219968980637e-02
12,2.26520282686075852e-01,1.44026917886500468e-02
13,1.72062900263401791e-01,1.09401634651383091e-02
14,1.56005653318706278e-01,9.91920597746293216e-03
15,1.21787230008866404e-01,7.74351822632153488e-03
16,1.10409436570054614e-01,7.02009138705155140e-03
17,8.91569456728071447e-02,5.66880808250815049e-03
18,8.24579735763901478e-02,5.24287169720364949e-03
19,7.14972057850790516e-02,4.54596032841468514e-03
20,6.26536002034021738e-02,3.98366310724356399e-03
