step,time,gram_symmetry_error,gram_reconstruction_error,reduced_skew_error,reduced_eigen_residual,lifted_eigen_residual,orth_Bdom,orth_C4,conservation_error
0,0,0.00000000000000000e+00,4.14883121140171885e-15,0.00000000000000000e+00,2.80698308317509685e-16,1.54163234031394706e-15,4.00296604248672097e-16,nan,0.00000000000000000e+00
5,5,0.00000000000000000e+00,4.15714553398967205e-15,0.00000000000000000e+00,3.68940235411522793e-16,1.56032515697345106e-15,1.11022302462515654e-16,nan,2.66453525910037570e-15
10,10,0.00000000000000000e+00,4.13614591586221463e-15,0.00000000000000000e+00,5.15785523585183156e-16,2.26933492154502475e-15,4.96506830649454624e-16,nan,2.22044604925031308e-15
15,15,0.00000000000000000e+00,4.21957232057223066e-15,0.00000000000000000e+00,5.96407123823522317e-16,5.16481721994509280e-15,9.48574968053509423e-16,nan,2.77555756156289135e-15
20,20,0.00000000000000000e+00,4.15191352084883190e-15,0.00000000000000000e+00,4.94567815657894579e-16,1.57123095055653064e-15,4.96506830649454624e-16,nan,1.55431223447521916e-15
25,25,0.00000000000000000e+00,4.11879414339518009e-15,0.00000000000000000e+00,1.45505148063143970e-16,2.36383875598838473e-15,4.57756679852223745e-16,nan,1.33226762955018785e-15
30,30,0.00000000000000000e+00,4.14541472238802197e-15,0.00000000000000000e+00,5.22960466315039646e-16,2.11273300837730224e-15,1.19574679205636330e-15,nan,7.77156117237609578e-16
35,35,0.00000000000000000e+00,4.19809227159471144e-15,0.00000000000000000e+00,2.78301711565722737e-16,2.60560730351139447e-15,8.95090418262361923e-16,nan,7.77156117237609578e-16
40,40,0.00000000000000000e+00,4.15491869678289932e-15,0.00000000000000000e+00,5.35751195960434366e-16,1.47148385565614284e-15,4.96506830649454624e-16,nan,2.22044604925031308e-16
45,45,0.00000000000000000e+00,4.12237184504397074e-15,0.00000000000000000e+00,2.18711643387749312e-16,1.48486616098975825e-15,4.44089209850062616e-16,nan,2.66453525910037570e-15
50,50,0.00000000000000000e+00,4.20094072369498095e-15,0.00000000000000000e+00,2.88790873283103005e-16,6.53717625086230242e-15,1.04738230666885403e-15,nan,1.33226762955018785e-15
55,55,0.00000000000000000e+00,4.15101524409183357e-15,0.00000000000000000e+00,6.52203125340400735e-16,2.74499146873953378e-15,6.66133814775093924e-16,nan,1.88737914186276612e-15
60,60,0.00000000000000000e+00,4.17200110361950263e-15,0.00000000000000000e+00,3.46845567960850978e-16,1.86783396586603901e-15,5.55111512312578270e-16,nan,4.44089209850062616e-16
65,65,0.00000000000000000e+00,4.12827955870242891e-15,0.00000000000000000e+00,2.93929368412843009e-16,1.60231140040494157e-15,1.02357505330418065e-15,nan,1.99840144432528177e-15
70,70,0.00000000000000000e+00,4.17575720553921832e-15,0.00000000000000000e+00,4.89535238138176869e-16,1.92096866134422527e-15,2.22044604925031308e-16,nan,1.11022302462515654e-15
