step,time,relative_time,gram_rank,dominant_eigenvalue,q1,q2,q3,q4,rank_q,theta1_deg,theta2_deg,orth_B0,orth_Bdom
0,0,-4844,600,2.98864396433005595e+02,1.41421356237309537e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,5.12264187750956492e-06,7.44760245974181935e-16,4.00296604248672097e-16
5,5,-4839,600,2.98864396433005879e+02,1.41421356237309537e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,4.90455619685547992e-06,7.44760245974181935e-16,1.11022302462515654e-16
10,10,-4834,600,2.98864396433005822e+02,1.41421356237309492e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,5.53308561649078268e-06,7.44760245974181935e-16,4.96506830649454624e-16
15,15,-4829,600,2.98864396433006334e+02,1.41421356237309559e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,5.19330234477528410e-06,7.44760245974181935e-16,9.48574968053509423e-16
20,20,-4824,600,2.98864396433005822e+02,1.41421356237309537e+00,1.41421356237309470e+00,1.26218405557555410e-08,0.00000000000000000e+00,2,0.00000000000000000e+00,5.33181471192650754e-06,7.44760245974181935e-16,4.96506830649454624e-16
25,25,-4819,600,2.98864396433006164e+02,1.41421356237309559e+00,1.41421356237309470e+00,1.41118081513980991e-08,0.00000000000000000e+00,2,0.00000000000000000e+00,5.66329368102031768e-06,7.44760245974181935e-16,4.57756679852223745e-16
30,30,-4814,600,2.98864396433005425e+02,1.41421356237309559e+00,1.41421356237309492e+00,8.76188955139809207e-09,0.00000000000000000e+00,2,0.00000000000000000e+00,5.26301422031920835e-06,7.44760245974181935e-16,1.19574679205636330e-15
35,35,-4809,600,2.98864396433006391e+02,1.41421356237309559e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,5.12264187750956492e-06,7.44760245974181935e-16,8.95090418262361923e-16
40,40,-4804,600,2.98864396433006050e+02,1.41421356237309559e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,4.90455619685547992e-06,7.44760245974181935e-16,4.96506830649454624e-16
45,45,-4799,600,2.98864396433005766e+02,1.41421356237309559e+00,1.41421356237309515e+00,1.38487768974097886e-08,0.00000000000000000e+00,2,0.00000000000000000e+00,5.05099300793229967e-06,7.44760245974181935e-16,4.44089209850062616e-16
50,50,-4794,600,2.98864396433004515e+02,1.41421356237309559e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,5.46681872759500144e-06,7.44760245974181935e-16,1.04738230666885403e-15
55,55,-4789,600,2.98864396433006675e+02,1.41421356237309537e+00,1.41421356237309470e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,5.39973865676383376e-06,7.44760245974181935e-16,6.66133814775093924e-16
60,60,-4784,600,2.98864396433006050e+02,1.41421356237309559e+00,1.41421356237309470e+00,1.97123833825036159e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,4.90455619685547992e-06,7.44760245974181935e-16,5.55111512312578270e-16
65,65,-4779,600,2.98864396433006164e+02,1.41421356237309537e+00,1.41421356237309470e+00,9.74050266053084676e-09,0.00000000000000000e+00,2,0.00000000000000000e+00,5.39973865676383376e-06,7.44760245974181935e-16,1.02357505330418065e-15
70,70,-4774,600,2.98864396433005425e+02,1.41421356237309537e+00,1.41421356237309492e+00,1.49011611938476546e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,5.33181471192650754e-06,7.44760245974181935e-16,2.22044604925031308e-16
75,75,-4769,600,2.98864396433006164e+02,1.41421356237309559e+00,1.41421356237309515e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,4.75361048152307155e-06,7.44760245974181935e-16,9.15513359704447490e-16
80,80,-4764,600,2.98864396433005481e+02,1.41421356237309559e+00,1.41421356237309492e+00,1.19694592615497933e-08,0.00000000000000000e+00,2,0.00000000000000000e+00,5.19330234477528410e-06,7.44760245974181935e-16,1.15910686703363804e-15
85,85,-4759,600,2.98864396433005481e+02,1.41421356237309559e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,4.97831306037971448e-06,7.44760245974181935e-16,7.02166693715340245e-16
90,90,-4754,600,2.98864396433006107e+02,1.41421356237309581e+00,1.41421356237309470e+00,2.66753538559133555e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,5.19330234477528410e-06,7.44760245974181935e-16,8.88178419700125232e-16
95,95,-4749,600,2.98864396433005368e+02,1.41421356237309559e+00,1.41421356237309515e+00,7.45058059692382564e-09,0.00000000000000000e+00,2,0.00000000000000000e+00,4.59771179305298778e-06,7.44760245974181935e-16,6.28036983473510067e-16
100,100,-4744,600,2.98864396433006050e+02,1.41421356237309537e+00,1.41421356237309448e+00,1.94526873198550314e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,5.05099300793229967e-06,7.44760245974181935e-16,4.96506830649454624e-16
105,105,-4739,600,2.98864396433005709e+02,1.41421356237309537e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,4.97831306037971448e-06,7.44760245974181935e-16,5.55111512312578270e-16
110,110,-4734,600,2.98864396433006107e+02,1.41421356237309559e+00,1.41421356237309492e+00,7.45058059692382812e-09,0.00000000000000000e+00,2,0.00000000000000000e+00,5.19330234477528410e-06,7.44760245974181935e-16,9.93013661298909247e-16
115,115,-4729,600,2.98864396433005936e+02,1.41421356237309559e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,4.90455619685547992e-06,7.44760245974181935e-16,4.96506830649454624e-16
120,120,-4724,600,2.98864396433006220e+02,1.41421356237309515e+00,1.41421356237309492e+00,1.62177973519415525e-08,7.76112427907662926e-09,3,0.00000000000000000e+00,4.59771179305298778e-06,7.44760245974181935e-16,2.22044604925031308e-16
125,125,-4719,600,2.98864396433005254e+02,1.41421356237309537e+00,1.41421356237309470e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,4.97831306037971448e-06,7.44760245974181935e-16,7.02166693715340245e-16
130,130,-4714,600,2.98864396433006618e+02,1.41421356237309559e+00,1.41421356237309492e+00,7.57036457327255335e-09,0.00000000000000000e+00,2,0.00000000000000000e+00,5.12264187750956492e-06,7.44760245974181935e-16,7.44760245974181935e-16
135,135,-4709,600,2.98864396433005879e+02,1.41421356237309537e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,5.26301422031920835e-06,7.44760245974181935e-16,5.44735249506577950e-31
140,140,-4704,600,2.98864396433005595e+02,1.41421356237309537e+00,1.41421356237309470e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,5.05099300793229967e-06,7.44760245974181935e-16,9.15513359704447490e-16
145,145,-4699,600,2.98864396433005993e+02,1.41421356237309537e+00,1.41421356237309470e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,5.05099300793229967e-06,7.44760245974181935e-16,5.97873396028181652e-16
150,150,-4694,600,2.98864396433005481e+02,1.41421356237309603e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,5.05099300793229967e-06,7.44760245974181935e-16,1.37327003955667114e-15
155,155,-4689,600,2.98864396433005595e+02,1.41421356237309537e+00,1.41421356237309470e+00,1.66600046865626377e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,5.05099300793229967e-06,7.44760245974181935e-16,2.22044604925031308e-16
160,160,-4684,600,2.98864396433005538e+02,1.41421356237309537e+00,1.41421356237309470e+00,2.04410327515015484e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,5.19330234477528410e-06,7.44760245974181935e-16,2.22044604925031308e-16
165,165,-4679,600,2.98864396433006220e+02,1.41421356237309559e+00,1.41421356237309470e+00,1.68821177030828969e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,5.53308561649078268e-06,7.44760245974181935e-16,8.00593208497344194e-16
170,170,-4674,600,2.98864396433006164e+02,1.41421356237309559e+00,1.41421356237309515e+00,6.68306706070461136e-09,0.00000000000000000e+00,2,0.00000000000000000e+00,4.82967307890293423e-06,7.44760245974181935e-16,2.22044604925031308e-16
175,175,-4669,600,2.98864396433005595e+02,1.41421356237309559e+00,1.41421356237309470e+00,1.47470678920420524e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,5.12264187750956492e-06,7.44760245974181935e-16,9.42055475210264952e-16
