case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2,coarse_pattern
N=6,6,15,5,0.7441780149567266,0.0021917296319502438,0.27234889183272115,9,9,2x6 + 1x3 at tol1e-2
N=7,7,21,6,1.1017869718118833,5.2447948558644454e-05,0.29220813415346486,21,12,all distinct at tol1e-2
