step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6
0,0.37683336612107954,0.31818044582046995,0.27832820881790704,0.21682652964567523,0.16085092420496888,2.3950174739031456e-09
1,0.3769350196530854,0.317991878300889,0.2783783850028176,0.21673166053676599,0.1609790286494623,4.178103081230018e-09
2,0.3770374907496712,0.3178043079860551,0.27842808607347325,0.21663335035750705,0.1611140443508528,2.7250022049948626e-09
3,0.3771407536248909,0.3176177958957795,0.2784772817467536,0.21653159306300376,0.16125576889767604,4.681415161473988e-09
4,0.3772447818876885,0.3174324033348358,0.27852594177298223,0.21642638306857545,0.1614039981905434,3.858783239187501e-09
5,0.377349548547912,0.3172481919002853,0.2785740359566671,0.21631771525345753,0.16155852672446105,2.7160780112601166e-09
6,0.37745502602282455,0.3170652234890182,0.27862153417718877,0.21620558496437794,0.16171914786111996,2.882024220935258e-09
7,0.3775611861441168,0.3168835603054924,0.27866840640940516,0.21608998801901028,0.161885654090645,2.140124288967414e-09
8,0.37766800016542706,0.3167032648696601,0.278714622744152,0.21597092070930993,0.1620578372823807,2.9203710175369137e-09
9,0.3777754387703692,0.3165244000250587,0.27876015340860816,0.21584837980473792,0.16223548892436235,2.6173311162218117e-09
10,0.37788347208107387,0.3163470289470482,0.278804968786502,0.2157223625553735,0.1624184003512032,1.2309273110026848e-09
11,0.37799206966724974,0.31617121515118135,0.27884903943814116,0.21559286669492764,0.16260636296020461,3.952996459245013e-09
12,0.3781012005557557,0.31599702250166994,0.2788923361202298,0.21545989044365255,0.1627991684155553,3.4027557692359224e-09
13,0.37821083324070115,0.31582451521994104,0.2789348298054643,0.2153234325111605,0.1629966088405683,2.732314168511092e-09
14,0.3783209356940618,0.31565375789324474,0.27897649170187616,0.21518349209915144,0.1631984769979535,2.506830280891081e-09
15,0.3784314753768195,0.3154848154832916,0.279017293271906,0.21504006890405364,0.16340456645818668,3.840133622133855e-09
16,0.37854241925062343,0.3153177533348927,0.2790572062511874,0.21489316311958678,0.16361467175609504,2.9840065286778895e-09
17,0.3786537337899733,0.31515263718456776,0.27909620266702256,0.21474277543924492,0.16382858853581592,1.6396435809873316e-09
18,0.3787653849949172,0.314989533169091,0.27913425485652743,0.21458890705870778,0.16404611368434682,2.13646554380554e-09
19,0.37887733840427673,0.3148285078339446,0.2791713354844387,0.2144315596781865,0.16426704545393492,3.601194469927764e-09
20,0.3789895591093732,0.31466962814163185,0.2792074175605524,0.2142707355047005,0.1644911835735902,3.545245350034709e-09
21,0.3791020117682849,0.3145129614798336,0.27924247445679806,0.21410643725430134,0.16471832935005296,2.3807295415583098e-09
22,0.37921466062059084,0.3143585756693388,0.27927647992390964,0.2139386681542326,0.16494828575855008,3.455489778919692e-09
23,0.37932746950263574,0.3142065389717376,0.2793094081077044,0.21376743194504438,0.16518085752372916,2.94927919971407e-09
24,0.3794404018632826,0.31405692009681097,0.27934123356494006,0.213592732882656,0.165415851191154,1.6861094122230882e-09
25,0.3795534207801669,0.31390978820958537,0.2793719312787496,0.21341457574037756,0.1656530751897811,2.282556760635087e-09
26,0.3796664889764263,0.3137652129369927,0.27940147667363247,0.2132329658108861,0.16589233988583715,2.60090538842656e-09
27,0.3797795688379239,0.31362326437410115,0.2794298456300074,0.21304790890817246,0.16613345762854337,2.8280155725480714e-09
28,0.3798926224309287,0.3134840130898482,0.27945701449830146,0.21285941136944533,0.16637624278812352,2.5012338639940047e-09
29,0.3800056115202727,0.3133475301322394,0.2794829601125831,0.2126674800570148,0.1666205117865536,3.6745252641012e-09
30,0.3801184975879568,0.31321388703294456,0.2795076598037212,0.21247212236014323,0.1668660831215064,1.745201573002628e-09
31,0.3802312418522034,0.3130831558112418,0.2795310914120707,0.21227334619687663,0.16711277738394317,1.504167877798254e-09
32,0.38034380528694617,0.31295540897724833,0.27955323329967574,0.21207116001585496,0.16736041726981077,1.2742509828958431e-09
33,0.38045614864174526,0.3128307195343773,0.27957406436199017,0.21186557279810578,0.167608827586291,2.4373430569449587e-09
34,0.3805682324621187,0.3127091609809614,0.2795935640391096,0.21165659405882653,0.16785783525305448,3.064363238652711e-09
35,0.38068001711027416,0.31259080731097405,0.2796117123265114,0.21144423384915456,0.16810726929895137,1.7401898479044991e-09
36,0.3807914627862364,0.3124757330137898,0.2796284897853037,0.21122850275793156,0.16835696085457885,3.763673494945071e-09
37,0.3809025295493519,0.31236401307291495,0.2796438775519811,0.2110094119134635,0.1686067431411446,6.530347282043494e-10
38,0.3810131773401592,0.31225572296361725,0.2796578573476857,0.21078697298527932,0.1688564514560425,2.8508877445445784e-09
39,0.38112336600261476,0.3121509386493953,0.279670411486976,0.2105611981858915,0.16910592315554387,2.306220651069467e-09
40,0.3812330553066563,0.31204973657720825,0.2796815228861025,0.21033210027256038,0.16935499763499734,2.35837958604239e-09
41,0.3813422049710916,0.311952193671403,0.27969117507079266,0.21009969254906663,0.1696035163069153,2.5228368910598065e-09
42,0.3814507746868034,0.31185838732626975,0.27969935218355,0.20986398886749477,0.16985132257732008,2.225899725759989e-09
43,0.3815587241402408,0.3117683953971445,0.2797060389904628,0.20962500363002484,0.1700982618206956,2.570094535980399e-09
44,0.3816660130372012,0.3116822961900036,0.2797112208875362,0.2093827517907444,0.17034418135389842,2.916782077697731e-09
45,0.38177260112687234,0.31160016844946736,0.2797148839065409,0.20913724885747323,0.17058893040934658,3.0219506571189266e-09
46,0.38187844822612516,0.3115220913451496,0.2797170147203915,0.20888851089361093,0.17083236010780234,3.7166829657375278e-09
47,0.38198351424404475,0.31144814445628555,0.27971760064805595,0.2086365545200065,0.17107432343105472,2.3493896036965607e-09
48,0.38208775920667043,0.3113784077545613,0.2797166296589968,0.20838139691684948,0.17131467519477822,2.337459060333424e-09
49,0.3821911432819434,0.3113129615850903,0.2797140903771584,0.2081230558255902,0.17155327202184734,1.3531390949424058e-09
50,0.3822936268048376,0.3112518866454647,0.27970997208450027,0.20786154955088854,0.17178997231636295,3.612004495936351e-09
51,0.382395170302654,0.31119526396282254,0.2797042647240829,0.20759689696259057,0.1720246362386271,1.7277266588264272e-09
52,0.3824957345204699,0.3111431748688685,0.27969695890271645,0.20732911749774124,0.17225712568130352,1.3876905562695687e-09
53,0.3825952804467167,0.3110957009727941,0.2796880458931746,0.20705823116262786,0.17248730424697137,3.4888210315160626e-09
54,0.3826937693388764,0.31105292413204394,0.27967751763598475,0.20678425853486224,0.1727150372272758,2.976573888111656e-09
55,0.3827911627492708,0.31101492642087086,0.27966536674079606,0.20650722076549635,0.17294019158385274,2.7937019459270964e-09
56,0.3828874225509348,0.3109817900966469,0.2796515864873409,0.2062271395811817,0.17316263593121037,3.019439881825108e-09
57,0.3829825109635497,0.3109535975638776,0.279636170825991,0.20594403728636376,0.17338224052171086,2.727170117892016e-09
58,0.383076390579419,0.3109304313358859,0.2796191143779167,0.20565793676552124,0.17359887723280093,3.821511791859573e-09
59,0.38316902438946965,0.3109123739941401,0.27960041243486083,0.2053688614854441,0.17381241955661683,1.7549382664481556e-09
60,0.38326037580926514,0.3108995081451937,0.2795800609585331,0.2050768354975582,0.17402274259207298,1.895045384523757e-09
61,0.383350408705002,0.310891916375221,0.27955805657963095,0.20478188344029039,0.17422972303953685,2.239178185797041e-09
62,0.3834390874194773,0.3108896812021339,0.27953439659649937,0.20448403054147712,0.17443323919816842,3.3235064491716195e-09
63,0.3835263767980132,0.310892885025279,0.2795090789734334,0.2041833026208206,0.1746331709659974,2.318073335243862e-09
