step,selfcons_residual,mu,mu_over_mu_parent,Hperp_frac,H_total,abs_ZT_Z
40000,0.007326388305952642,-0.8470631201336567,1.9996867205090525,0.9656450837575269,1.6943916493454738,3.7611216339538826e-13
40200,0.006845985664393188,-0.8470682914379379,1.999698928558551,0.966002566045037,1.694391649345535,3.683507347394903e-13
40400,0.006715242767612225,-0.8470727910858707,1.999709551009233,0.9658208477068517,1.6943916493455222,3.6938366798371327e-13
40600,0.006882816861555554,-0.8470774418348304,1.9997205301685352,0.9655247950347593,1.6943916493455653,3.7742070912217144e-13
40800,0.006395028483106653,-0.8470819160375115,1.9997310925498664,0.96541924382529,1.6943916493455937,3.7915780776194587e-13
41000,0.006509930708610179,-0.8470859157329721,1.9997405347481023,0.9653138176437158,1.694391649345588,3.718997831429756e-13
41200,0.0063336789168262336,-0.8470900811064185,1.9997503680672124,0.9653671029004542,1.6943916493456352,3.582688679091016e-13
41400,0.006182625183353331,-0.8470939243383335,1.9997594408973731,0.9656955087382515,1.6943916493456093,3.1553165832753925e-13
41600,0.00612116986695318,-0.8470975753711943,1.9997680599975964,0.9658197729608363,1.6943916493456188,3.0372193374328746e-13
41800,0.005951310579832193,-0.84710120814953,1.9997766360038276,0.9655729561337975,1.6943916493456193,3.0734387052777996e-13
42000,0.0059570656455896955,-0.8471045805379708,1.9997845973000061,0.9654121410340065,1.694391649345635,3.0898377459596233e-13
42200,0.005671405381920916,-0.8471079118818583,1.9997924617011056,0.9654778564099278,1.6943916493456204,3.2319263275725744e-13
42400,0.0057342852609392385,-0.8471109916629354,1.9997997322305094,0.9655700335341965,1.6943916493456364,3.3887939394748863e-13
42600,0.005596021665423497,-0.8471140969737374,1.999807063028683,0.965775078162298,1.6943916493456326,3.532667907225568e-13
42800,0.005367092399207207,-0.8471169924186956,1.9998138983904115,0.9659532940985569,1.6943916493455748,3.5203950616769417e-13
43000,0.005490942034468449,-0.8471196976073934,1.9998202846086126,0.9656555208707076,1.6943916493455442,3.468118204636977e-13
43200,0.005225771365284561,-0.8471225531535552,1.9998270257800836,0.9651698360353033,1.6943916493455602,3.5419452828006033e-13
43400,0.005155677176433128,-0.8471249736410271,1.9998327398957614,0.9652195497967299,1.6943916493455862,3.569997922143775e-13
43600,0.005173940101095198,-0.8471275121056875,1.9998387325236437,0.9656756031045488,1.694391649345598,3.133129877429764e-13
43800,0.004952018100404525,-0.8471299661205598,1.9998445257884376,0.9658804852295247,1.6943916493455453,3.1562852235988056e-13
44000,0.004923921839901366,-0.8471321033299495,1.9998495711612485,0.9657439623208366,1.6943916493455191,3.2932625225875447e-13
44200,0.004884381339518839,-0.847134459766447,1.9998551340699147,0.9654927736541096,1.694391649345485,3.459187989660859e-13
44400,0.004704176870381175,-0.8471364898855845,1.9998599266316306,0.9652893383385205,1.6943916493455295,3.5561253936865547e-13
44600,0.004689904696739982,-0.8471385258538063,1.9998647330014507,0.9654604309813438,1.6943916493455056,3.3467737068390565e-13
44800,0.004622158404752193,-0.84714054778017,1.9998695062222454,0.9659485750558996,1.6943916493455506,3.5636983998594096e-13
