ab_collision_count,chi_A,chi_B,m_A,m_B,omega_A,omega_B,q_A,q_B,stage,step,tau_A,tau_B,wall_reflection_count
0,-0.2,0.2,1,2,1.0,1.0,1,-1,initial,0,-0.2,-0.2,0
0,-0.014999999999999847,0.014999999999999847,1,2,1.0,1.0,1,-1,ab_collision_1_before,185,-0.014999999999999847,-0.014999999999999847,0
1,-0.014999999999999847,0.014999999999999847,1,2,1.0,1.0,-1,1,ab_collision_1_after,185,-0.014999999999999847,-0.014999999999999847,0
1,-0.24999999999999994,0.24999999999999994,1,2,1.0,1.0,1,-1,wall_reflection_2,420,0.22000000000000033,0.22000000000000033,2
1,-0.014999999999999736,0.014999999999999736,1,2,1.0,1.0,1,-1,ab_collision_2_before,655,0.4550000000000005,0.4550000000000005,2
2,-0.014999999999999736,0.014999999999999736,1,2,1.0,1.0,-1,1,ab_collision_2_after,655,0.4550000000000005,0.4550000000000005,2
2,-0.24900000000000005,0.24900000000000005,1,2,1.0,1.0,1,-1,wall_reflection_4,891,0.6910000000000007,0.6910000000000007,4
2,-0.014999999999999847,0.014999999999999847,1,2,1.0,1.0,1,-1,ab_collision_3_before,1125,0.9250000000000009,0.9250000000000009,4
3,-0.014999999999999847,0.014999999999999847,1,2,1.0,1.0,-1,1,ab_collision_3_after,1125,0.9250000000000009,0.9250000000000009,4
3,-0.24999999999999994,0.24999999999999994,1,2,1.0,1.0,1,-1,wall_reflection_6,1360,1.1599999999999833,1.1599999999999833,6
3,-0.014999999999999736,0.014999999999999736,1,2,1.0,1.0,1,-1,ab_collision_4_before,1595,1.3949999999999574,1.3949999999999574,6
4,-0.014999999999999736,0.014999999999999736,1,2,1.0,1.0,-1,1,ab_collision_4_after,1595,1.3949999999999574,1.3949999999999574,6
4,-0.24900000000000005,0.24900000000000005,1,2,1.0,1.0,1,-1,wall_reflection_8,1831,1.6309999999999314,1.6309999999999314,8
4,-0.014999999999999847,0.014999999999999847,1,2,1.0,1.0,1,-1,ab_collision_5_before,2065,1.8649999999999056,1.8649999999999056,8
5,-0.014999999999999847,0.014999999999999847,1,2,1.0,1.0,-1,1,ab_collision_5_after,2065,1.8649999999999056,1.8649999999999056,8
5,-0.24999999999999994,0.24999999999999994,1,2,1.0,1.0,1,-1,wall_reflection_10,2300,2.0999999999998797,2.0999999999998797,10
5,-0.014999999999999736,0.014999999999999736,1,2,1.0,1.0,1,-1,ab_collision_6_before,2535,2.334999999999854,2.334999999999854,10
6,-0.014999999999999736,0.014999999999999736,1,2,1.0,1.0,-1,1,ab_collision_6_after,2535,2.334999999999854,2.334999999999854,10
6,-0.24900000000000005,0.24900000000000005,1,2,1.0,1.0,1,-1,wall_reflection_12,2771,2.570999999999828,2.570999999999828,12
6,-0.014999999999999847,0.014999999999999847,1,2,1.0,1.0,1,-1,ab_collision_7_before,3005,2.804999999999802,2.804999999999802,12
7,-0.014999999999999847,0.014999999999999847,1,2,1.0,1.0,-1,1,ab_collision_7_after,3005,2.804999999999802,2.804999999999802,12
7,-0.24999999999999994,0.24999999999999994,1,2,1.0,1.0,1,-1,wall_reflection_14,3240,3.039999999999776,3.039999999999776,14
7,-0.014999999999999736,0.014999999999999736,1,2,1.0,1.0,1,-1,ab_collision_8_before,3475,3.2749999999997503,3.2749999999997503,14
8,-0.014999999999999736,0.014999999999999736,1,2,1.0,1.0,-1,1,ab_collision_8_after,3475,3.2749999999997503,3.2749999999997503,14
8,-0.015999999999999737,0.015999999999999737,1,2,1.0,1.0,-1,1,final,3476,3.2759999999997502,3.2759999999997502,14
