周波数セル,符号付き倍数k,成分種別,回転方向,離散周期,全関係強度,全体強度比,周波数成分の閉塞絶対値,周波数成分の閉塞相対値,周波数成分が単独零閉塞,位相基準関係ID,位相基準辺,全関係の絶対位相セル署名,全関係の相対位相セル署名,最大絶対位相セル誤差度,最大相対位相セル誤差度
0,0,直流成分,静止,,13.810269401990034,0.09590464862493081,0.3950492209778184,0.02860546811062879,False,10,"(4,5)","[36, 93, 103, 54, 36, 92, 0, 80, 69, 60]","[120, 33, 44, 138, 120, 32, 84, 20, 9, 0]",1.1978907157730725,1.0528635136932907
1,1,基底波,正方向,144,118.98085937328,0.8262559678700001,0.35362876041580443,0.0029721483125816138,False,5,"(2,3)","[74, 27, 127, 21, 129, 94, 99, 118, 77, 131]","[89, 42, 142, 37, 0, 109, 114, 133, 92, 3]",1.0938480647560693,1.2092716083006942
2,2,倍音,正方向,72,5.9809053165342725,0.041534064698154675,1.9631091920887753,0.32822943821928435,False,4,"(1,5)","[55, 34, 60, 102, 142, 9, 92, 43, 4, 134]","[97, 75, 102, 0, 40, 51, 134, 85, 45, 31]",1.0155325132589632,1.2451731947095588
3,3,倍音,正方向,48,1.182867180165693,0.008214355417817313,0.4995712509380075,0.42233926117387827,False,4,"(1,5)","[126, 33, 53, 113, 136, 132, 92, 34, 141, 134]","[13, 64, 84, 0, 23, 19, 124, 65, 28, 21]",1.2256161446658436,1.238063538294401
4,4,倍音,正方向,36,0.3713370481829311,0.0025787295012703556,0.04261585236768638,0.11476326581529943,False,10,"(4,5)","[105, 22, 49, 110, 135, 9, 90, 35, 142, 137]","[112, 29, 56, 117, 142, 16, 97, 42, 5, 0]",1.0392391440384718,1.1131117469484513
5,5,倍音,正方向,144,0.212492656776371,0.00147564344983591,0.03388479844862814,0.15946338552437028,False,10,"(4,5)","[108, 27, 51, 105, 134, 10, 91, 41, 141, 135]","[118, 36, 60, 114, 143, 19, 100, 50, 6, 0]",1.1025800527522789,1.2163271498786075
6,6,倍音,正方向,24,0.14571987393918145,0.0010119435690220937,0.03545408143093603,0.24330299273888586,False,4,"(1,5)","[108, 29, 51, 108, 134, 8, 92, 42, 141, 135]","[0, 65, 87, 0, 26, 44, 128, 78, 33, 27]",0.9230658752924534,0.8527182054911926
7,7,倍音,正方向,144,0.09853729995157864,0.0006842868052192963,0.021947133462892156,0.2227291946671667,False,10,"(4,5)","[107, 27, 50, 110, 135, 8, 92, 41, 141, 136]","[115, 35, 58, 118, 143, 16, 100, 49, 5, 0]",0.9088321676224649,0.952312405032722
8,8,倍音,正方向,18,0.07116137804420958,0.0004941762364181222,0.013808449946642381,0.19404416168084562,False,10,"(4,5)","[108, 26, 51, 109, 135, 9, 93, 42, 141, 136]","[116, 34, 58, 117, 143, 17, 100, 49, 5, 0]",1.1116307270610242,1.0476526147614642
9,9,倍音,正方向,16,0.05521828832185213,0.0003834603355684177,0.011145824698887969,0.20185023907155614,False,10,"(4,5)","[109, 27, 51, 109, 136, 10, 93, 43, 141, 137]","[116, 34, 59, 117, 143, 17, 101, 50, 5, 0]",1.1408431915508959,1.166735646632078
10,10,倍音,正方向,72,0.04397270230663775,0.00030536598824054,0.009135716315613485,0.2077588102706718,False,10,"(4,5)","[109, 28, 52, 110, 136, 10, 94, 43, 142, 137]","[116, 34, 59, 117, 143, 17, 101, 50, 5, 0]",0.9618975558389381,1.2133987874482566
11,11,倍音,正方向,144,0.03561936858987566,0.000247356726318581,0.007206673125815463,0.20232456135856,False,10,"(4,5)","[109, 28, 52, 111, 137, 11, 94, 44, 142, 138]","[116, 34, 58, 117, 143, 17, 100, 50, 4, 0]",1.2080285238523834,1.2413122503714271
12,12,倍音,正方向,12,0.02953962500928509,0.00020513628478670206,0.005883881752765878,0.19918606789749083,False,10,"(4,5)","[110, 28, 53, 111, 137, 11, 95, 44, 143, 138]","[116, 34, 58, 117, 143, 17, 100, 50, 4, 0]",1.0640320522918296,1.249732918431608
