case_id,mode,harmonic_packet_A,harmonic_packet_B,N_A,N_B,R,T,Delta_F,condition_id,step,p_A,p_B,S,Q
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,1,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,2,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,3,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,5,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,10,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,20,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,42,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,64,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,128,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,256,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0_g0.002_noise0_seed0,4096,0.5,0.5,0.0,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,0,0.501,0.49899999999999994,0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,1,0.49900199999199996,0.500998000008,-0.0019960000160000324,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,2,0.5009960040159361,0.4990039959840639,0.0019920080318722166,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,3,0.4990059879841913,0.5009940120158087,-0.0019880240316174076,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,5,0.49900996004055487,0.5009900399594451,-0.001980079918890265,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,10,0.5009801791205254,0.49901982087947455,0.0019603582410508413,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,20,0.5009607511053451,0.49903924889465484,0.0019215022106902624,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,42,0.5009193542094577,0.49908064579054234,0.0018387084189153136,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,64,0.5008797410136901,0.49912025898630985,0.0017594820273802991,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,128,0.5007739441718319,0.49922605582816815,0.0015478883436637059,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,256,0.5005989893878856,0.4994010106121144,0.0011979787757712135,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g-0.002_noise0_seed0,4096,0.5000002745983908,0.49999972540160914,5.491967816628751e-07,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,0,0.501,0.49899999999999994,0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,1,0.49899999999999994,0.501,-0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,2,0.501,0.49899999999999994,0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,3,0.49899999999999994,0.501,-0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,5,0.49899999999999994,0.501,-0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,10,0.501,0.49899999999999994,0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,20,0.501,0.49899999999999994,0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,42,0.501,0.49899999999999994,0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,64,0.501,0.49899999999999994,0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,128,0.501,0.49899999999999994,0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,256,0.501,0.49899999999999994,0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0_noise0_seed0,4096,0.501,0.49899999999999994,0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,0,0.501,0.49899999999999994,0.0020000000000000573,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,1,0.498998000008,0.5010019999920001,-0.0020039999840001377,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,2,0.501004003983936,0.4989959960160641,0.002008007967871872,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,3,0.4989939880161927,0.5010060119838073,-0.002012023967614629,1.0
