edge_index,i,j,theta_deg,a_Re,b_Im,abs_z
0,0,1,344.57696610481736,0.24726724501251696,-0.06821570609898885,0.25650433332531386
1,0,2,87.74671351646008,0.004694554108973877,0.11930992998799646,0.11940225388166967
2,0,3,314.7612961015201,0.14286106127065296,-0.14405641487141863,0.20288305373535648
3,0,4,250.1312678696856,-0.10294109626958522,-0.2848572548599396,0.302886983786898
4,0,5,16.741721454484043,0.17599167215268047,0.05293975049312394,0.18378162544000634
5,0,6,56.814522883843765,0.15505102456142011,0.23707393216497058,0.28327525400166387
6,0,7,146.47265167753613,-0.24108990684258852,0.15973947142214953,0.2892076103970913
7,1,2,277.420412316168,0.023883092444133957,-0.18337809872438726,0.1849268211927793
8,1,3,73.79486157091756,0.0281761547579806,0.09695050631724589,0.10096185602551098
9,1,4,342.51957564264796,0.2978351122267647,-0.09379518792754861,0.31225517025902655
10,1,5,254.07791735288754,-0.07568743686712114,-0.26531466716727065,0.2758993670046998
11,1,6,358.48027076326656,0.19696095079369247,-0.005225472691086524,0.19703025580453537
12,1,7,250.73892069914484,-0.09784767201632348,-0.28001872742036377,0.2966220737321044
13,2,3,76.17424713510297,0.06946527666457232,0.2822642018481942,0.29068626439356177
14,2,4,37.212178857766034,0.14276142438351774,0.1084096556603204,0.17925813156562825
15,2,5,330.63935920351474,0.3477562366796661,-0.19563595270164266,0.39900855396730944
16,2,6,219.39997164923608,-0.1995485105044313,-0.16391082909549895,0.2582370382793897
17,2,7,192.21686143188575,-0.13694822159385445,-0.02965144235584165,0.14012145956812347
18,3,4,221.74924671272345,-0.14782972059252814,-0.13193957842216958,0.198145599609693
19,3,5,226.9601318564019,-0.14878097102823654,-0.15932564494315457,0.21799183121543136
20,3,6,124.14657598433193,-0.1544014345631045,0.2276511218191494,0.27507242002909316
21,3,7,354.9652217748208,0.3338408358436863,-0.029411490048452338,0.3351339126732496
22,4,5,288.80220694741405,0.044653970682428684,-0.13115361738465306,0.13854691786823398
23,4,6,321.2449808650252,0.23599398600152702,-0.18943919028462827,0.30262248469765846
24,4,7,66.80045180671131,0.07799551912481033,0.18198114353098432,0.19799100384712778
25,5,6,33.07523890731533,0.15056729971958732,0.09806089225149918,0.17968430742279132
26,5,7,81.76935535101833,0.02951593451102235,0.20405324458167456,0.20617690708313494
27,6,7,277.6593473635834,0.02121303656749634,-0.15773782059728406,0.15915782408413012
