t,H,Q2_re,Q2_im,generator_norm
0,np.float64(216.77160029276317),np.float64(-30.399619570182644),np.float64(-6.598596122589293e-15),np.float64(13.443453901148848)
1,np.float64(216.77160029276297),np.float64(-30.399619570182587),np.float64(-1.9984014443252818e-14),np.float64(13.606127738184302)
2,np.float64(216.77160029276342),np.float64(-30.39961957018269),np.float64(8.08242361927114e-14),np.float64(14.2412380912338)
3,np.float64(216.77160029276348),np.float64(-30.399619570182665),np.float64(2.398081733190338e-13),np.float64(14.377173601206412)
4,np.float64(216.77160029276334),np.float64(-30.399619570182583),np.float64(3.1175062531474396e-13),np.float64(14.2337529868079)
5,np.float64(216.77160029276308),np.float64(-30.399619570182644),np.float64(2.4846791291111003e-13),np.float64(14.226043930616049)
6,np.float64(216.77160029276376),np.float64(-30.39961957018268),np.float64(3.1796787425264483e-13),np.float64(14.544590204116579)
7,np.float64(216.77160029276416),np.float64(-30.399619570182644),np.float64(2.8421709430404007e-13),np.float64(14.693034480845784)
8,np.float64(216.77160029276402),np.float64(-30.399619570182587),np.float64(2.877698079828406e-13),np.float64(14.670289668395673)
9,np.float64(216.77160029276416),np.float64(-30.39961957018256),np.float64(2.424727085781342e-13),np.float64(14.575053007574686)
10,np.float64(216.77160029276405),np.float64(-30.399619570182594),np.float64(2.8954616482224083e-13),np.float64(14.550740874283658)
11,np.float64(216.7716002927641),np.float64(-30.3996195701826),np.float64(3.588240815588506e-13),np.float64(14.738428198718077)
12,np.float64(216.7716002927645),np.float64(-30.3996195701826),np.float64(3.446132268436486e-13),np.float64(14.815967850239577)
13,np.float64(216.77160029276487),np.float64(-30.399619570182757),np.float64(3.446132268436486e-13),np.float64(14.765327301366685)
14,np.float64(216.77160029276445),np.float64(-30.399619570182697),np.float64(4.2454928461665986e-13),np.float64(14.73890239431506)
15,np.float64(216.77160029276484),np.float64(-30.399619570182683),np.float64(4.636291350834654e-13),np.float64(14.785877367487704)
16,np.float64(216.77160029276428),np.float64(-30.39961957018263),np.float64(5.062616992290714e-13),np.float64(14.80486033963756)
17,np.float64(216.771600292764),np.float64(-30.399619570182615),np.float64(4.636291350834654e-13),np.float64(14.837502364619441)
18,np.float64(216.77160029276405),np.float64(-30.399619570182644),np.float64(3.2507330161024584e-13),np.float64(14.891337127270145)
19,np.float64(216.77160029276374),np.float64(-30.39961957018259),np.float64(5.431211036466266e-13),np.float64(14.871556410730003)
20,np.float64(216.77160029276422),np.float64(-30.399619570182644),np.float64(6.412648190234904e-13),np.float64(14.79481805235562)
21,np.float64(216.77160029276416),np.float64(-30.39961957018277),np.float64(5.915268275202834e-13),np.float64(14.820550805748207)
22,np.float64(216.77160029276436),np.float64(-30.39961957018285),np.float64(6.108447081487611e-13),np.float64(14.919430717362902)
23,np.float64(216.77160029276564),np.float64(-30.399619570182843),np.float64(7.336353746723034e-13),np.float64(14.929948576028814)
24,np.float64(216.7716002927662),np.float64(-30.399619570182878),np.float64(7.176481631177012e-13),np.float64(14.893670844184975)
25,np.float64(216.7716002927662),np.float64(-30.399619570182864),np.float64(8.5087492607272e-13),np.float64(14.890945161392914)
26,np.float64(216.77160029276635),np.float64(-30.399619570182875),np.float64(8.639755577632968e-13),np.float64(14.90094017247039)
27,np.float64(216.77160029276655),np.float64(-30.399619570182796),np.float64(8.313350008393172e-13),np.float64(14.878706279284634)
28,np.float64(216.771600292766),np.float64(-30.399619570182757),np.float64(9.539036227579345e-13),np.float64(14.887668098812316)
29,np.float64(216.77160029276584),np.float64(-30.399619570182757),np.float64(1.127986593019159e-12),np.float64(14.952465727489349)
30,np.float64(216.77160029276524),np.float64(-30.399619570182608),np.float64(1.0622613899613498e-12),np.float64(14.952411945854633)
31,np.float64(216.77160029276536),np.float64(-30.399619570182644),np.float64(1.0835776720341528e-12),np.float64(14.887514385028862)
32,np.float64(216.77160029276592),np.float64(-30.39961957018261),np.float64(1.1084466677857563e-12),np.float64(14.869299152766544)
33,np.float64(216.77160029276567),np.float64(-30.39961957018264),np.float64(1.078692690725802e-12),np.float64(14.919569081517327)
34,np.float64(216.7716002927649),np.float64(-30.39961957018256),np.float64(1.0054179711005418e-12),np.float64(14.942858728709899)
35,np.float64(216.77160029276547),np.float64(-30.399619570182637),np.float64(9.698908343125368e-13),np.float64(14.92206086466533)
36,np.float64(216.77160029276547),np.float64(-30.39961957018267),np.float64(1.1537437671904627e-12),np.float64(14.932741728380691)
37,np.float64(216.7716002927648),np.float64(-30.3996195701826),np.float64(1.2683187833317788e-12),np.float64(14.944243162029043)
38,np.float64(216.7716002927644),np.float64(-30.399619570182676),np.float64(1.2665424264923786e-12),np.float64(14.901588196894785)
39,np.float64(216.7716002927646),np.float64(-30.399619570182725),np.float64(1.1866063687193673e-12),np.float64(14.877262734224866)
40,np.float64(216.77160029276476),np.float64(-30.39961957018261),np.float64(1.2017054018542694e-12),np.float64(14.932045777327474)
41,np.float64(216.7716002927651),np.float64(-30.399619570182583),np.float64(1.1874945471390674e-12),np.float64(14.970505634798302)
42,np.float64(216.77160029276502),np.float64(-30.39961957018255),np.float64(1.1715073355844652e-12),np.float64(14.93477299814575)
43,np.float64(216.77160029276482),np.float64(-30.399619570182466),np.float64(1.213251721310371e-12),np.float64(14.900426369132555)
44,np.float64(216.77160029276473),np.float64(-30.399619570182395),np.float64(1.2936318682932324e-12),np.float64(14.927539990222279)
45,np.float64(216.771600292764),np.float64(-30.39961957018231),np.float64(1.4708234630234074e-12),np.float64(14.933279341840196)
46,np.float64(216.77160029276402),np.float64(-30.399619570182253),np.float64(1.5241141682054149e-12),np.float64(14.906128847721519)
47,np.float64(216.77160029276416),np.float64(-30.399619570182274),np.float64(1.531219595563016e-12),np.float64(14.925370530945068)
48,np.float64(216.7716002927641),np.float64(-30.399619570182264),np.float64(1.4912515666765103e-12),np.float64(14.965622612977196)
49,np.float64(216.77160029276388),np.float64(-30.399619570182317),np.float64(1.5649703755116207e-12),np.float64(14.946035830550958)
50,np.float64(216.77160029276394),np.float64(-30.399619570182306),np.float64(1.5898393712632242e-12),np.float64(14.89144551954303)
51,np.float64(216.77160029276362),np.float64(-30.399619570182285),np.float64(1.70263803056514e-12),np.float64(14.907484657794587)
52,np.float64(216.77160029276374),np.float64(-30.399619570182228),np.float64(1.7910117833253025e-12),np.float64(14.95658133734211)
53,np.float64(216.77160029276394),np.float64(-30.399619570182207),np.float64(1.7266188478970435e-12),np.float64(14.942876391254105)
54,np.float64(216.77160029276354),np.float64(-30.399619570182114),np.float64(1.673328142715036e-12),np.float64(14.91798239329241)
55,np.float64(216.77160029276385),np.float64(-30.39961957018206),np.float64(1.659117287999834e-12),np.float64(14.936010076947221)
56,np.float64(216.77160029276368),np.float64(-30.399619570182043),np.float64(1.6617818232589343e-12),np.float64(14.9489399218596)
57,np.float64(216.7716002927641),np.float64(-30.399619570182036),np.float64(1.7061907442439406e-12),np.float64(14.914499824142235)
58,np.float64(216.77160029276422),np.float64(-30.399619570182136),np.float64(1.5933920849420247e-12),np.float64(14.90093464444171)
59,np.float64(216.7716002927644),np.float64(-30.399619570182146),np.float64(1.7115198147621413e-12),np.float64(14.952701368559655)
60,np.float64(216.771600292764),np.float64(-30.3996195701819),np.float64(1.7199575097492925e-12),np.float64(14.964732768833231)
61,np.float64(216.77160029276396),np.float64(-30.399619570181827),np.float64(1.8669510382096632e-12),np.float64(14.92117569186245)
62,np.float64(216.77160029276394),np.float64(-30.399619570181862),np.float64(1.7710277688820497e-12),np.float64(14.907536161627347)
63,np.float64(216.77160029276382),np.float64(-30.399619570181866),np.float64(1.908695423935569e-12),np.float64(14.937452910070125)
64,np.float64(216.7716002927628),np.float64(-30.399619570181713),np.float64(1.7905676941154525e-12),np.float64(14.943496855854336)
65,np.float64(216.7716002927629),np.float64(-30.399619570181734),np.float64(1.829647544582258e-12),np.float64(14.916996130620342)
66,np.float64(216.77160029276268),np.float64(-30.399619570181677),np.float64(1.6786572132332367e-12),np.float64(14.93253812010266)
67,np.float64(216.771600292762),np.float64(-30.399619570181557),np.float64(1.4741541320972829e-12),np.float64(14.962679712196335)
68,np.float64(216.77160029276178),np.float64(-30.39961957018152),np.float64(1.5116796703296131e-12),np.float64(14.934517244428818)
69,np.float64(216.77160029276212),np.float64(-30.399619570181454),np.float64(1.4939161019356106e-12),np.float64(14.90007882439845)
70,np.float64(216.77160029276155),np.float64(-30.399619570181382),np.float64(1.4672707493446069e-12),np.float64(14.924231818186499)
71,np.float64(216.77160029276274),np.float64(-30.399619570181557),np.float64(1.4652723479002816e-12),np.float64(14.958043443044744)
72,np.float64(216.7716002927626),np.float64(-30.399619570181535),np.float64(1.6040502259784262e-12),np.float64(14.940659012812183)
73,np.float64(216.77160029276266),np.float64(-30.39961957018149),np.float64(1.5205614545266144e-12),np.float64(14.915717553926125)
74,np.float64(216.77160029276274),np.float64(-30.399619570181578),np.float64(1.5756285165480222e-12),np.float64(14.939664413410648)
75,np.float64(216.77160029276268),np.float64(-30.399619570181528),np.float64(1.5711876244495215e-12),np.float64(14.946882892295175)
76,np.float64(216.77160029276214),np.float64(-30.399619570181414),np.float64(1.5205614545266144e-12),np.float64(14.915567641931474)
77,np.float64(216.77160029276146),np.float64(-30.399619570181397),np.float64(1.5916157281026244e-12),np.float64(14.91631153405844)
78,np.float64(216.77160029276112),np.float64(-30.399619570181336),np.float64(1.5356604876615165e-12),np.float64(14.952365227899831)
79,np.float64(216.7716002927612),np.float64(-30.399619570181326),np.float64(1.4521717162097048e-12),np.float64(14.95582557133798)
80,np.float64(216.77160029276072),np.float64(-30.399619570181322),np.float64(1.305622276959184e-12),np.float64(14.917046947753656)
81,np.float64(216.77160029276058),np.float64(-30.39961957018138),np.float64(1.2523315717771766e-12),np.float64(14.914070877391575)
82,np.float64(216.77160029276027),np.float64(-30.399619570181322),np.float64(1.3442580382161395e-12),np.float64(14.947387102370461)
83,np.float64(216.77160029276067),np.float64(-30.39961957018129),np.float64(1.2727596754302795e-12),np.float64(14.940663941336599)
84,np.float64(216.7716002927597),np.float64(-30.399619570181137),np.float64(1.2114753644709708e-12),np.float64(14.919495414358774)
85,np.float64(216.77160029275953),np.float64(-30.399619570181102),np.float64(1.297628671181883e-12),np.float64(14.93430688833095)
86,np.float64(216.77160029275967),np.float64(-30.399619570181102),np.float64(1.3717915692268434e-12),np.float64(14.953859700318365)
87,np.float64(216.77160029275933),np.float64(-30.399619570181144),np.float64(1.3891110484109959e-12),np.float64(14.932286084335699)
88,np.float64(216.7716002927596),np.float64(-30.399619570181105),np.float64(1.4619416788264061e-12),np.float64(14.907004062693163)
89,np.float64(216.77160029275927),np.float64(-30.399619570181006),np.float64(1.3669065879184927e-12),np.float64(14.936484178050778)
90,np.float64(216.77160029275925),np.float64(-30.399619570180988),np.float64(1.3651302310790925e-12),np.float64(14.956883582778062)
91,np.float64(216.77160029275944),np.float64(-30.399619570181027),np.float64(1.2239098623467726e-12),np.float64(14.931554488533553)
92,np.float64(216.7716002927595),np.float64(-30.399619570180977),np.float64(9.094947017729282e-13),np.float64(14.918352222141994)
93,np.float64(216.77160029275922),np.float64(-30.39961957018095),np.float64(8.29558643999917e-13),np.float64(14.938019046039189)
94,np.float64(216.771600292759),np.float64(-30.399619570181063),np.float64(9.316991622654314e-13),np.float64(14.945425705975177)
95,np.float64(216.77160029275984),np.float64(-30.399619570181184),np.float64(7.371880883511039e-13),np.float64(14.92079968503277)
96,np.float64(216.77160029276013),np.float64(-30.399619570181173),np.float64(6.927791673660977e-13),np.float64(14.923564040183726)
97,np.float64(216.77160029276092),np.float64(-30.39961957018135),np.float64(6.794564910705958e-13),np.float64(14.954840910726803)
98,np.float64(216.77160029276064),np.float64(-30.39961957018138),np.float64(6.066258606551855e-13),np.float64(14.944753417015185)
99,np.float64(216.7716002927602),np.float64(-30.399619570181343),np.float64(6.092903959142859e-13),np.float64(14.914642563550812)
100,np.float64(216.77160029275979),np.float64(-30.399619570181358),np.float64(5.46229728115577e-13),np.float64(14.922362950259727)
101,np.float64(216.77160029276004),np.float64(-30.399619570181386),np.float64(4.887201754399939e-13),np.float64(14.947668707244224)
102,np.float64(216.7716002927597),np.float64(-30.39961957018128),np.float64(4.600764214046649e-13),np.float64(14.940893444469967)
103,np.float64(216.77160029276024),np.float64(-30.39961957018137),np.float64(5.506706202140776e-13),np.float64(14.919756765279939)
104,np.float64(216.7716002927594),np.float64(-30.399619570181287),np.float64(6.226130722097878e-13),np.float64(14.937182651590593)
105,np.float64(216.77160029275973),np.float64(-30.399619570181322),np.float64(6.901146321069973e-13),np.float64(14.95039997923475)
106,np.float64(216.77160029275996),np.float64(-30.39961957018142),np.float64(6.155076448521868e-13),np.float64(14.925379244843246)
107,np.float64(216.77160029276016),np.float64(-30.39961957018142),np.float64(5.648814749292796e-13),np.float64(14.915129589040715)
108,np.float64(216.7716002927601),np.float64(-30.399619570181375),np.float64(4.11226608321158e-13),np.float64(14.940268164850945)
109,np.float64(216.77160029275953),np.float64(-30.39961957018131),np.float64(4.0589753780295723e-13),np.float64(14.952474774074656)
