case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2
N=10,10,45,9,0.6427874690199387,0.046801773202587375,0.04680177320259364,45,37
N=11,11,55,10,0.33194816985619235,0.043119340453262475,0.043119340453268595,55,41
