step,edge_index,i,j,a,b,a2,b2,ab,r2,theta,z2_re,z2_im,z2_phase_pi
5000,0,1,2,-0.12648561908479308,-0.17550829429780757,0.015998611835263372,0.030803161367325832,0.02219927525877425,0.0468017732025892,-2.1952682060410744,-0.01480454953206246,0.0443985505175485,0.6024488543843426
5000,1,1,3,0.21462411286559877,0.027171002543933433,0.046063509823345276,0.0007382633792424371,0.00583155231666064,0.046801773202587715,0.12592818684457338,0.04532524644410284,0.01166310463332128,0.08016837364365456
5000,2,1,4,-0.2025483798795336,0.07599951980614512,0.04102584619182386,0.005775927010764645,-0.015393579608357221,0.046801773202588506,2.7826320777028637,0.035249919181059214,-0.030787159216714443,-0.22852140011007296
5000,3,1,5,-0.05885008158589034,0.2081788680436275,0.0034633321026659495,0.04333844109992607,-0.012251343368825779,0.046801773202592024,1.8462977082571574,-0.03987510899726012,-0.024502686737651557,-0.8246103732465414
5000,4,1,6,-0.020491205768012506,-0.21536453674819656,0.000419889513827029,0.04638188368876531,0.004413079037639987,0.04680177320259234,-1.6656573702946065,-0.04596199417493828,0.008826158075279974,0.9396095840806634
5000,5,1,7,-0.10308064780577171,0.19020029771410488,0.010625619952057548,0.03617615325053413,-0.01960596990122057,0.04680177320259168,2.067444602571589,-0.025550533298476584,-0.03921193980244114,-0.6838238877282904
5000,6,1,8,0.21614392554785097,-0.009142026654555976,0.04671819655123494,8.357665135261194e-05,-0.0019759935285788162,0.046801773202587556,-0.04227081988954573,0.04663461989988233,-0.0039519870571576325,-0.026910439735873638
5000,7,1,9,0.212083768848042,0.04268779912103517,0.04497952500878971,0.0018222481937978513,0.009053389321417275,0.04680177320258756,0.19862411384640954,0.04315727681499186,0.01810677864283455,0.12644803814361383
5000,8,1,10,-0.03624152911558013,-0.21327992115986152,0.0013134484326354423,0.04548832476995675,0.007729590472483756,0.04680177320259219,-1.7391133094538398,-0.044174876337321305,0.015459180944967512,0.8928460808140656
5000,9,2,3,0.1863478180385775,-0.10989205574039965,0.03472550928773879,0.012076263914851103,-0.02047814480699721,0.046801773202589894,-0.532822484939177,0.022649245372887688,-0.04095628961399442,-0.33920532907430795
5000,10,2,4,-0.1966417108124351,-0.09018764201012973,0.03866796243124135,0.008133810771347316,0.01773465221901135,0.046801773202588666,-2.711577446523702,0.030534151659894034,0.0354693044380227,0.2737561832370133
5000,11,2,5,0.21472615987998458,0.026352409107758566,0.0461073237368047,0.0006944494657826766,0.005658551611295328,0.046801773202587375,0.12211501845383176,0.04541287427102202,0.011317103222590656,0.07774083525074137
5000,12,2,6,-0.019741883731604137,0.2154345172652718,0.00038974197327217605,0.046412031229320694,-0.0042530831916252594,0.04680177320259287,1.6621786194767745,-0.04602228925604852,-0.008506166383250519,-0.9418242256344354
5000,13,2,7,0.17373742040884854,-0.12890726105332037,0.030184691250320982,0.016617081952268888,-0.02239601500737391,0.046801773202589866,-0.6383394977017717,0.013567609298052095,-0.04479203001474782,-0.4063795457201381
5000,14,2,8,-0.18392608723601572,-0.11389893606455781,0.033828805565950464,0.012972967636638228,0.020948985650699237,0.046801773202588694,-2.5871282226603274,0.020855837929312237,0.041897971301398475,0.352983019804237
5000,15,2,9,-0.10346050106446383,0.1899939418036336,0.010704075280509921,0.03609769792208251,-0.019656868418216514,0.046801773202592434,2.0694428081876577,-0.02539362264157259,-0.03931373683643303,-0.6825517905238452
