t,H,Q2_re,Q2_im,generator_norm
0,np.float64(108.81778016906239),np.float64(-22.69453444330077),np.float64(6.561455524124716),np.float64(9.783412102714923)
1,np.float64(108.81778016906256),np.float64(-22.69453444330076),np.float64(6.561455524124703),np.float64(10.667232667326319)
2,np.float64(108.81778016906244),np.float64(-22.69453444330074),np.float64(6.561455524124713),np.float64(10.853028254528358)
3,np.float64(108.81778016906235),np.float64(-22.694534443300725),np.float64(6.561455524124703),np.float64(10.915886794634782)
4,np.float64(108.8177801690623),np.float64(-22.694534443300725),np.float64(6.56145552412468),np.float64(10.950085712213802)
5,np.float64(108.81778016906244),np.float64(-22.69453444330068),np.float64(6.561455524124668),np.float64(10.972404360047411)
6,np.float64(108.81778016906262),np.float64(-22.69453444330069),np.float64(6.561455524124647),np.float64(10.956774617073608)
7,np.float64(108.81778016906273),np.float64(-22.694534443300704),np.float64(6.561455524124646),np.float64(10.924633942144764)
8,np.float64(108.81778016906276),np.float64(-22.694534443300682),np.float64(6.561455524124662),np.float64(10.89113951753041)
9,np.float64(108.8177801690627),np.float64(-22.694534443300654),np.float64(6.561455524124684),np.float64(10.862693743486277)
10,np.float64(108.81778016906298),np.float64(-22.694534443300697),np.float64(6.561455524124701),np.float64(10.853414116100607)
11,np.float64(108.81778016906304),np.float64(-22.694534443300753),np.float64(6.561455524124726),np.float64(10.860272447281568)
12,np.float64(108.81778016906296),np.float64(-22.69453444330074),np.float64(6.561455524124719),np.float64(10.882960587049146)
13,np.float64(108.81778016906318),np.float64(-22.694534443300793),np.float64(6.561455524124729),np.float64(10.917372698391315)
14,np.float64(108.81778016906318),np.float64(-22.694534443300775),np.float64(6.561455524124723),np.float64(10.95034777937327)
15,np.float64(108.81778016906298),np.float64(-22.69453444330079),np.float64(6.561455524124719),np.float64(10.972848109783644)
16,np.float64(108.81778016906298),np.float64(-22.694534443300814),np.float64(6.561455524124719),np.float64(10.972235499649708)
17,np.float64(108.81778016906273),np.float64(-22.694534443300736),np.float64(6.561455524124717),np.float64(10.95430909668227)
18,np.float64(108.81778016906242),np.float64(-22.694534443300675),np.float64(6.561455524124707),np.float64(10.915872348515)
19,np.float64(108.81778016906222),np.float64(-22.694534443300597),np.float64(6.561455524124688),np.float64(10.888400480417465)
20,np.float64(108.81778016906233),np.float64(-22.694534443300658),np.float64(6.561455524124697),np.float64(10.860561671751197)
21,np.float64(108.81778016906244),np.float64(-22.694534443300682),np.float64(6.561455524124682),np.float64(10.859114656198107)
22,np.float64(108.81778016906225),np.float64(-22.69453444330065),np.float64(6.561455524124671),np.float64(10.868480765799351)
23,np.float64(108.81778016906247),np.float64(-22.694534443300668),np.float64(6.561455524124677),np.float64(10.89517016305805)
24,np.float64(108.81778016906266),np.float64(-22.69453444330067),np.float64(6.56145552412468),np.float64(10.929793128562443)
25,np.float64(108.81778016906271),np.float64(-22.694534443300668),np.float64(6.561455524124686),np.float64(10.959535345172187)
26,np.float64(108.81778016906259),np.float64(-22.69453444330066),np.float64(6.56145552412472),np.float64(10.97593413426031)
27,np.float64(108.81778016906267),np.float64(-22.69453444330066),np.float64(6.561455524124726),np.float64(10.967364241125969)
28,np.float64(108.81778016906262),np.float64(-22.694534443300682),np.float64(6.561455524124719),np.float64(10.944672035680664)
