t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(340.4924663761941),np.float64(-37.0923447290909),np.float64(83.24449531775225),np.float64(32.47889502167754),np.float64(4.440892098500626e-16)
1,np.float64(340.492466376194),np.float64(-37.09234472909081),np.float64(83.24449531775267),np.float64(38.00317329902887),np.float64(8.881784197001252e-16)
2,np.float64(340.4924663761934),np.float64(-37.09234472909077),np.float64(83.24449531775261),np.float64(45.57375426221135),np.float64(8.881784197001252e-16)
3,np.float64(340.49246637619376),np.float64(-37.09234472909064),np.float64(83.24449531775278),np.float64(66.89018278082754),np.float64(1.7763568394002505e-15)
4,np.float64(340.4924663761918),np.float64(-37.092344729088474),np.float64(83.24449531775339),np.float64(87.69734363240627),np.float64(3.552713678800501e-15)
5,np.float64(340.4924663761906),np.float64(-37.09234472908845),np.float64(83.24449531775304),np.float64(98.44953085758375),np.float64(3.552713678800501e-15)
6,np.float64(340.49246637618944),np.float64(-37.09234472908969),np.float64(83.24449531775198),np.float64(121.89743604029918),np.float64(7.105427357601002e-15)
7,np.float64(340.4924663761911),np.float64(-37.0923447290926),np.float64(83.24449531775086),np.float64(138.42890431767555),np.float64(7.105427357601002e-15)
8,np.float64(340.49246637619007),np.float64(-37.092344729091344),np.float64(83.24449531775136),np.float64(143.60530856554678),np.float64(7.105427357601002e-15)
9,np.float64(340.4924663761902),np.float64(-37.092344729093696),np.float64(83.24449531775002),np.float64(148.83001543559146),np.float64(7.105427357601002e-15)
10,np.float64(340.4924663761896),np.float64(-37.09234472909564),np.float64(83.24449531774927),np.float64(155.31848009037418),np.float64(1.4210854715202004e-14)
11,np.float64(340.49246637619),np.float64(-37.09234472909854),np.float64(83.24449531774783),np.float64(157.03307052672508),np.float64(3.552713678800501e-15)
12,np.float64(340.49246637619007),np.float64(-37.09234472909875),np.float64(83.24449531774749),np.float64(157.35011713424),np.float64(1.4210854715202004e-14)
13,np.float64(340.49246637618927),np.float64(-37.09234472909874),np.float64(83.24449531774728),np.float64(157.492590386858),np.float64(7.105427357601002e-15)
14,np.float64(340.492466376189),np.float64(-37.09234472910032),np.float64(83.24449531774607),np.float64(157.59213152635877),np.float64(1.4210854715202004e-14)
15,np.float64(340.49246637619),np.float64(-37.092344729100844),np.float64(83.24449531774646),np.float64(157.6852613310846),np.float64(3.552713678800501e-15)
16,np.float64(340.49246637618904),np.float64(-37.092344729102706),np.float64(83.24449531774519),np.float64(157.7648866693719),np.float64(1.4210854715202004e-14)
17,np.float64(340.4924663761889),np.float64(-37.09234472910201),np.float64(83.24449531774458),np.float64(157.82086820938804),np.float64(1.4210854715202004e-14)
18,np.float64(340.49246637618864),np.float64(-37.09234472910405),np.float64(83.24449531774354),np.float64(157.8570550302625),np.float64(1.4210854715202004e-14)
19,np.float64(340.4924663761879),np.float64(-37.09234472910599),np.float64(83.24449531774223),np.float64(157.8821268324604),np.float64(7.105427357601002e-15)
20,np.float64(340.4924663761882),np.float64(-37.09234472910188),np.float64(83.24449531774395),np.float64(157.9034370261821),np.float64(3.552713678800501e-15)
21,np.float64(340.49246637618717),np.float64(-37.09234472910009),np.float64(83.24449531774418),np.float64(157.92456745609786),np.float64(1.4210854715202004e-14)
22,np.float64(340.49246637618614),np.float64(-37.09234472909941),np.float64(83.24449531774465),np.float64(157.94508152970076),np.float64(7.105427357601002e-15)
23,np.float64(340.4924663761873),np.float64(-37.0923447291029),np.float64(83.244495317743),np.float64(157.96279243115129),np.float64(7.105427357601002e-15)
24,np.float64(340.4924663761872),np.float64(-37.092344729101264),np.float64(83.24449531774337),np.float64(157.97640868605865),np.float64(7.105427357601002e-15)
25,np.float64(340.4924663761868),np.float64(-37.09234472910067),np.float64(83.24449531774366),np.float64(157.98640843946376),np.float64(1.4210854715202004e-14)
26,np.float64(340.49246637618705),np.float64(-37.09234472910268),np.float64(83.24449531774295),np.float64(157.99420862952704),np.float64(7.105427357601002e-15)
27,np.float64(340.49246637618603),np.float64(-37.09234472910359),np.float64(83.24449531774196),np.float64(158.0010027962991),np.float64(1.4210854715202004e-14)
28,np.float64(340.49246637618614),np.float64(-37.09234472910712),np.float64(83.24449531774003),np.float64(158.00741162041308),np.float64(7.105427357601002e-15)
