t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(115.02943725152286),np.float64(-20.901383498964652),np.float64(16.966398875129215),np.float64(18.490314669954564),np.float64(4.440892098500626e-16)
1,np.float64(115.02943725152278),np.float64(-20.90138349896463),np.float64(16.966398875129194),np.float64(18.750149917868196),np.float64(4.440892098500626e-16)
2,np.float64(115.02943725152241),np.float64(-20.901383498964506),np.float64(16.96639887512928),np.float64(19.930257542149093),np.float64(8.881784197001252e-16)
3,np.float64(115.02943725152238),np.float64(-20.901383498964478),np.float64(16.966398875129265),np.float64(27.79768930154904),np.float64(8.881784197001252e-16)
4,np.float64(115.02943725152252),np.float64(-20.901383498964474),np.float64(16.966398875129308),np.float64(41.09002691724043),np.float64(1.7763568394002505e-15)
5,np.float64(115.02943725152241),np.float64(-20.901383498964538),np.float64(16.96639887512925),np.float64(41.44507071962094),np.float64(1.7763568394002505e-15)
6,np.float64(115.02943725152267),np.float64(-20.901383498964556),np.float64(16.96639887512933),np.float64(41.8116722190518),np.float64(3.552713678800501e-15)
7,np.float64(115.02943725152255),np.float64(-20.901383498964556),np.float64(16.96639887512922),np.float64(42.18214552157661),np.float64(3.552713678800501e-15)
8,np.float64(115.02943725152254),np.float64(-20.901383498964638),np.float64(16.966398875129272),np.float64(42.529765777266896),np.float64(1.7763568394002505e-15)
9,np.float64(115.02943725152267),np.float64(-20.901383498964577),np.float64(16.96639887512944),np.float64(42.83254369086729),np.float64(3.552713678800501e-15)
10,np.float64(115.02943725152289),np.float64(-20.9013834989646),np.float64(16.96639887512942),np.float64(43.16902346981057),np.float64(3.552713678800501e-15)
11,np.float64(115.02943725152286),np.float64(-20.901383498964602),np.float64(16.9663988751294),np.float64(43.67279125741881),np.float64(8.881784197001252e-16)
12,np.float64(115.02943725152289),np.float64(-20.901383498964698),np.float64(16.96639887512937),np.float64(44.166989481214394),np.float64(1.7763568394002505e-15)
13,np.float64(115.02943725152285),np.float64(-20.9013834989646),np.float64(16.966398875129535),np.float64(44.59473792718103),np.float64(3.552713678800501e-15)
14,np.float64(115.02943725152262),np.float64(-20.901383498964673),np.float64(16.966398875129464),np.float64(45.02269871764916),np.float64(4.440892098500626e-16)
15,np.float64(115.02943725152255),np.float64(-20.90138349896452),np.float64(16.966398875129443),np.float64(45.48700791448008),np.float64(3.552713678800501e-15)
16,np.float64(115.02943725152264),np.float64(-20.90138349896459),np.float64(16.966398875129514),np.float64(46.26736130107762),np.float64(1.7763568394002505e-15)
