tag,N,method,design,norm,amp_spread_rel,local_closed,roundness,pred_rho_minus_1,pred_lambda_f,pred_kind,pred_t50,f0,max_f,max_f_step,final_f,t50_measured,lambda_measured,lambda_ratio,fit_R2,late_log_slope_per_step,loglog_slope_1000_40000,measured_kind,prediction_agrees,final_PR_over_M,final_amp_min,final_amp_max,final_amp_std,init_amp_std,final_abs_ZTZ_over_H,Htotal_drift
rb_N13,13,rb,random_balanced_S0_Wconst,1.710336,3.008e+00,True,0.779,9.864e-04,0.00197,neutral,36460,9.59e-32,9.990e-01,39539,9.965e-01,30809,0.00197,0.9984,0.99946,7.16e-05,21.97,saturated,False,0.072,0.0092,1.0253,0.1506,0.0735,5.1e-14,1.4e-11
mp_N14,14,mp,make_parent_equimodular_3stage,1.770759,2.667e-12,True,0.780,1.537e-04,0.00031,neutral,233856,2.22e-32,3.312e-16,40000,3.312e-16,,,,,2.71e-04,5.22,floor,True,1.000,0.1856,0.1856,0.0000,0.0000,1.8e-13,5.4e-11
hm_N14,14,hm,handmade_equimodular_1factor,1.770759,4.028e-16,True,0.711,1.049e-02,0.02087,inflating,3445,4.55e-34,9.995e-01,3575,9.820e-01,3194,0.02087,1.0000,1.00000,-1.11e-07,4.59,saturated,True,0.073,0.0000,0.9615,0.1744,0.0000,2.7e-13,4.6e-12
ne_N14,14,ne,nonequimodular_class_family_k2_eps0.6,1.770759,1.183e+00,True,0.785,1.027e-02,0.02044,inflating,3516,1.54e-31,9.999e-01,5191,9.838e-01,3270,0.02044,1.0000,1.00000,-4.21e-08,4.78,saturated,True,0.071,0.0000,0.8663,0.1748,0.0411,4.1e-14,1.2e-11
rb_N14,14,rb,random_balanced_S0_Wconst,1.770759,3.043e+00,True,0.814,2.058e-04,0.00041,neutral,174642,2.12e-32,1.943e-16,40000,1.943e-16,,,,,2.70e-04,5.39,floor,True,0.689,0.0168,0.3242,0.0679,0.0679,2.1e-13,3.0e-11
mp_N15,15,mp,make_parent_equimodular_3stage,1.832826,6.556e-10,True,0.700,1.612e-04,0.00032,neutral,223071,7.97e-32,9.370e-14,40000,9.370e-14,,,,,2.72e-04,3.61,floor,True,1.000,0.1789,0.1789,0.0000,0.0000,3.5e-13,3.1e-11
hm_N15,15,hm,handmade_equimodular_distance_classes,1.832826,8.676e-16,True,0.592,1.576e-04,0.00032,neutral,228100,1.25e-34,1.558e-16,40000,1.558e-16,,,,,2.99e-04,6.13,floor,True,1.000,0.1789,0.1789,0.0000,0.0000,3.1e-13,3.0e-11
ne_N15,15,ne,nonequimodular_class_family_k2_eps0.6,1.832826,1.141e+00,True,0.712,1.645e-04,0.00033,neutral,218522,5.44e-32,6.829e-16,40000,6.829e-16,,,,,3.20e-04,6.03,floor,True,0.847,0.1212,0.2262,0.0396,0.0396,1.4e-13,8.6e-11
rb_N15,15,rb,random_balanced_S0_Wconst,1.832826,2.863e+00,True,0.721,2.172e-04,0.00043,neutral,165522,2.60e-33,6.136e-18,40000,6.136e-18,,,,,2.98e-04,3.92,floor,True,0.654,0.0397,0.3053,0.0660,0.0660,5.1e-13,2.2e-11
mp_N16,16,mp,make_parent_equimodular_3stage,1.909731,3.118e-11,True,0.747,1.605e-04,0.00032,neutral,223953,8.24e-32,1.577e-15,40000,1.577e-15,,,,,2.75e-04,4.20,floor,True,1.000,0.1743,0.1743,0.0000,0.0000,1.8e-13,1.5e-11
hm_N16,16,hm,handmade_equimodular_1factor,1.909731,5.708e-16,True,0.733,1.080e-02,0.02148,inflating,3347,2.43e-32,9.997e-01,8456,9.828e-01,3186,0.02148,1.0000,1.00000,4.90e-08,4.69,saturated,True,0.054,0.0000,1.0453,0.1656,0.0000,1.2e-13,1.7e-11
ne_N16,16,ne,nonequimodular_class_family_k2_eps0.6,1.909731,1.187e+00,True,0.809,1.058e-02,0.02105,inflating,3415,5.67e-32,9.993e-01,8429,9.780e-01,3266,0.02105,1.0000,1.00000,2.06e-08,4.90,saturated,True,0.067,0.0000,0.9160,0.1651,0.0386,3.7e-13,2.4e-11
rb_N16,16,rb,random_balanced_S0_Wconst,1.909731,3.967e+00,True,0.943,2.325e-04,0.00046,neutral,154651,1.57e-33,1.366e-15,40000,1.366e-15,,,,,2.85e-04,5.22,floor,True,0.611,0.0172,0.3477,0.0716,0.0716,2.8e-13,3.9e-11
