case,collision,theta_generated,R_generated,T_generated,P_f_relation,P_b_relation,pair_power,theta_drift,pair_norm,pair_norm_drift,closure_real,closure_imag,closure_drift_abs,combined_spectrum_max_drift,L_A,L_B,N_eff_A,N_eff_B,origin_A_in_A,origin_B_in_A,origin_A_in_B,origin_B_in_B,spectrum_A_to_A0,spectrum_A_to_B0,spectrum_B_to_A0,spectrum_B_to_B0
fundamental_control,0,0.0,0.0,1.0,0.0,2.0000000000000018,2.0000000000000018,0.0,1.9999999999999993,0.0,-1.6750716273439538e-16,-2.1590210148973605e-19,0.0,0.0,0.00018310546875000033,0.0001831054687500007,1.0,1.0000000000000002,1.0,5.7769689164474515e-34,5.7769689164474515e-34,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
fundamental_control,1,0.0,0.0,1.0,0.0,2.0000000000000018,2.0000000000000018,0.0,1.9999999999999993,0.0,-1.6750716273439538e-16,-2.1590210148973605e-19,0.0,0.0,0.00018310546875000033,0.0001831054687500007,1.0,1.0000000000000002,1.0,5.7769689164474515e-34,5.7769689164474515e-34,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
fundamental_control,2,0.0,0.0,1.0,0.0,2.0000000000000018,2.0000000000000018,0.0,1.9999999999999993,0.0,-1.6750716273439538e-16,-2.1590210148973605e-19,0.0,0.0,0.00018310546875000033,0.0001831054687500007,1.0,1.0000000000000002,1.0,5.7769689164474515e-34,5.7769689164474515e-34,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
fundamental_control,3,0.0,0.0,1.0,0.0,2.0000000000000018,2.0000000000000018,0.0,1.9999999999999993,0.0,-1.6750716273439538e-16,-2.1590210148973605e-19,0.0,0.0,0.00018310546875000033,0.0001831054687500007,1.0,1.0000000000000002,1.0,5.7769689164474515e-34,5.7769689164474515e-34,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
fundamental_control,4,0.0,0.0,1.0,0.0,2.0000000000000018,2.0000000000000018,0.0,1.9999999999999993,0.0,-1.6750716273439538e-16,-2.1590210148973605e-19,0.0,0.0,0.00018310546875000033,0.0001831054687500007,1.0,1.0000000000000002,1.0,5.7769689164474515e-34,5.7769689164474515e-34,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
fundamental_control,5,0.0,0.0,1.0,0.0,2.0000000000000018,2.0000000000000018,0.0,1.9999999999999993,0.0,-1.6750716273439538e-16,-2.1590210148973605e-19,0.0,0.0,0.00018310546875000033,0.0001831054687500007,1.0,1.0000000000000002,1.0,5.7769689164474515e-34,5.7769689164474515e-34,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
fundamental_control,6,0.0,0.0,1.0,0.0,2.0000000000000018,2.0000000000000018,0.0,1.9999999999999993,0.0,-1.6750716273439538e-16,-2.1590210148973605e-19,0.0,0.0,0.00018310546875000033,0.0001831054687500007,1.0,1.0000000000000002,1.0,5.7769689164474515e-34,5.7769689164474515e-34,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
fundamental_control,7,0.0,0.0,1.0,0.0,2.0000000000000018,2.0000000000000018,0.0,1.9999999999999993,0.0,-1.6750716273439538e-16,-2.1590210148973605e-19,0.0,0.0,0.00018310546875000033,0.0001831054687500007,1.0,1.0000000000000002,1.0,5.7769689164474515e-34,5.7769689164474515e-34,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
fundamental_control,8,0.0,0.0,1.0,0.0,2.0000000000000018,2.0000000000000018,0.0,1.9999999999999993,0.0,-1.6750716273439538e-16,-2.1590210148973605e-19,0.0,0.0,0.00018310546875000033,0.0001831054687500007,1.0,1.0000000000000002,1.0,5.7769689164474515e-34,5.7769689164474515e-34,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
fundamental_control,9,0.0,0.0,1.0,0.0,2.0000000000000018,2.0000000000000018,0.0,1.9999999999999993,0.0,-1.6750716273439538e-16,-2.1590210148973605e-19,0.0,0.0,0.00018310546875000033,0.0001831054687500007,1.0,1.0000000000000002,1.0,5.7769689164474515e-34,5.7769689164474515e-34,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
