A_A,A_B,E_max_abs_error,E_tau_R_conservation_error,E_tau_R_preserved,K_R_phase_conservation_error,K_R_phase_preserved,P_R_conservation_error,P_R_preserved,R_A,R_B,R_dynamic_range,R_max_abs_error,R_max_gauge_std,R_ratio_B_over_A,R_total_conservation_error,R_total_preserved,boundary_case_valid,case,collision_cell_reached,individual_readout_valid,p_max_abs_error,q_A0,q_A_after,q_B0,q_B_after,relative_flip_error,relative_gradient_flipped,relative_q_after,relative_q_before,within_particle_separation_ratio_time
1.0,0.125,2.2315482794965646e-14,0.0,True,1.9984014443252818e-14,True,1.0103029524088925e-14,True,1.0,0.015625,64.0,4.440892098500626e-16,2.7194799110210365e-16,0.015625,0.0,True,True,c01_A1.000_B0.125_u1.00_v-0.50,True,True,6.677991493120317e-14,1.0,0.9538461538461538,-0.5,2.453846153846154,4.6629367034256575e-15,True,-1.5000000000000002,1.5,0.0
1.0,0.25,2.2315482794965646e-14,0.0,True,1.4432899320127035e-14,True,1.0436096431476471e-14,True,1.0,0.0625,16.0,4.440892098500626e-16,2.220446049250313e-16,0.0625,0.0,True,True,c02_A1.000_B0.250_u1.00_v-0.50,True,True,1.000310945187266e-13,1.0,0.8235294117647058,-0.5,2.3235294117647056,2.531308496145357e-14,True,-1.4999999999999998,1.5,0.0
1.0,0.5,2.2315482794965646e-14,2.220446049250313e-16,True,8.43769498715119e-15,True,5.440092820663267e-15,True,1.0,0.25,4.0,4.440892098500626e-16,2.220446049250313e-16,0.25,2.220446049250313e-16,True,True,c03_A1.000_B0.500_u1.00_v-0.50,True,True,6.677991493120317e-14,1.0,0.39999999999999997,-0.5,1.9000000000000001,2.6867397195928788e-14,True,-1.5000000000000002,1.5,4.464666349929754e-31
1.0,1.0,2.2315482794965646e-14,0.0,True,0.0,True,0.0,True,1.0,1.0,1.0,4.440892098500626e-16,2.220446049250313e-16,1.0,0.0,True,True,c04_A1.000_B1.000_u1.00_v-0.50,True,True,6.677991493120317e-14,1.0,-0.5,-0.5,1.0,0.0,True,-1.5,1.5,0.0
1.0,2.0,2.2315482794965646e-14,0.0,True,2.9531932455029164e-14,True,4.551914400963142e-15,True,1.0,4.0,4.0,1.7763568394002505e-15,8.881784197001252e-16,4.0,8.881784197001252e-16,True,True,c05_A1.000_B2.000_u1.00_v-0.50,True,True,6.677991493120317e-14,1.0,-1.4,-0.5,0.10000000000000003,1.1546319456101628e-14,True,-1.5,1.5,4.464666349929754e-31
1.0,4.0,2.2315482794965646e-14,0.0,True,2.0161650127192843e-13,True,2.3714363805993344e-13,True,1.0,16.0,16.0,7.105427357601002e-15,3.552713678800501e-15,16.0,3.552713678800501e-15,True,True,c06_A1.000_B4.000_u1.00_v-0.50,True,True,6.677991493120317e-14,1.0,-1.8235294117647058,-0.5,-0.32352941176470584,2.220446049250313e-15,True,-1.5,1.5,4.464666349929754e-31
1.0,8.0,2.2315482794965646e-14,0.0,True,1.9895196601282805e-13,True,1.3145040611561853e-13,True,1.0,64.0,64.0,2.842170943040401e-14,1.4210854715202004e-14,64.0,0.0,True,True,c07_A1.000_B8.000_u1.00_v-0.50,True,True,6.677991493120317e-14,1.0,-1.953846153846154,-0.5,-0.45384615384615384,2.4424906541753444e-14,True,-1.5000000000000002,1.5,0.0
0.25,1.0,2.2315482794965646e-14,0.0,True,1.2601031329495527e-14,True,1.482147737874584e-14,True,0.0625,1.0,16.0,4.440892098500626e-16,2.220446049250313e-16,16.0,2.220446049250313e-16,True,True,c08_A0.250_B1.000_u1.00_v-0.50,True,True,6.677991493120317e-14,1.0,-1.8235294117647058,-0.5,-0.32352941176470584,2.220446049250313e-15,True,-1.5,1.5,1.7440102929413102e-33
0.5,1.0,2.2315482794965646e-14,0.0,True,7.382983113757291e-15,True,1.1379786002407855e-15,True,0.25,1.0,4.0,4.440892098500626e-16,2.220446049250313e-16,4.0,2.220446049250313e-16,True,True,c09_A0.500_B1.000_u1.00_v-0.50,True,True,6.677991493120317e-14,1.0,-1.4,-0.5,0.10000000000000003,1.1546319456101628e-14,True,-1.5,1.5,2.7904164687060963e-32
2.0,1.0,2.2315482794965646e-14,8.881784197001252e-16,True,3.375077994860476e-14,True,2.1760371282653068e-14,True,4.0,1.0,4.0,1.7763568394002505e-15,8.881784197001252e-16,0.25,8.881784197001252e-16,True,True,c10_A2.000_B1.000_u1.00_v-0.50,True,True,6.677991493120317e-14,1.0,0.39999999999999997,-0.5,1.9000000000000001,2.6867397195928788e-14,True,-1.5000000000000002,1.5,7.143466159887607e-30
4.0,1.0,2.2315482794965646e-14,0.0,True,2.3092638912203256e-13,True,1.6697754290362354e-13,True,16.0,1.0,16.0,7.105427357601002e-15,3.552713678800501e-15,0.0625,0.0,True,True,c11_A4.000_B1.000_u1.00_v-0.50,True,True,1.000310945187266e-13,1.0,0.8235294117647058,-0.5,2.3235294117647056,2.531308496145357e-14,True,-1.4999999999999998,1.5,0.0
8.0,1.0,2.2315482794965646e-14,0.0,True,1.2789769243681803e-12,True,6.465938895416912e-13,True,64.0,1.0,64.0,2.842170943040401e-14,1.7404671430534633e-14,0.015625,0.0,True,True,c12_A8.000_B1.000_u1.00_v-0.50,True,True,6.677991493120317e-14,1.0,0.9538461538461538,-0.5,2.453846153846154,4.6629367034256575e-15,True,-1.5000000000000002,1.5,0.0
