index,singular_value,relative_to_s1
1,1.23710913642271638e+01,1.00000000000000000e+00
2,1.18859992439227682e+01,9.60788251737667132e-01
3,9.50138848829091920e+00,7.68031551021083447e-01
4,8.95246312616099260e+00,7.23659931252982336e-01
5,4.65841644950718958e+00,3.76556628057706233e-01
6,3.84795493724994131e+00,3.11044096592550501e-01
7,1.80794419322435163e+00,1.46142659527379204e-01
8,1.33772508945932200e+00,1.08133150914037510e-01
9,1.01965341293426115e+00,8.24222684089731539e-02
10,8.06645201606912110e-01,6.52040452905752327e-02
11,2.04111757746677450e-07,1.64990906410162570e-08
12,1.71328892993916630e-07,1.38491332696272381e-08
13,1.68510877766974169e-07,1.36213429200149817e-08
14,1.61315428463108861e-07,1.30397087624440492e-08
15,1.52851212484600067e-07,1.23555156117100479e-08
16,1.42816575209044391e-07,1.15443796350918232e-08
17,1.29822049973654316e-07,1.04939852234099523e-08
18,1.27706214865052965e-07,1.03229546290745478e-08
19,1.21471590738386108e-07,9.81898744112739630e-09
20,1.16212745921941932e-07,9.39389601939148546e-09
