step,time,relative_time,gram_rank,dominant_eigenvalue,q1,q2,q3,q4,rank_q,theta1_deg,theta2_deg,orth_B0,orth_Bdom
0,0,-1167,8,3.74165738677394444e+00,1.41421356237309537e+00,1.41421356237309515e+00,2.24796400930563874e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125232e-16,1.11022302462515654e-16
5,5,-1162,8,3.74165738677393866e+00,1.41421356237309537e+00,1.41421356237309515e+00,1.03792737699468701e-08,0.00000000000000000e+00,2,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125232e-16,2.48253415324727312e-16
10,10,-1157,8,3.74165738677393866e+00,1.41421356237309537e+00,1.41421356237309515e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125232e-16,4.44089209850062616e-16
15,15,-1152,8,3.74165738677394000e+00,1.41421356237309537e+00,1.41421356237309515e+00,1.05367121277235054e-08,7.45058059692363705e-09,2,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125232e-16,4.00296604248672097e-16
20,20,-1147,8,3.74165738677394222e+00,1.41421356237309537e+00,1.41421356237309515e+00,1.49011611938476562e-08,1.05367121277234888e-08,3,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125232e-16,2.34651461085872180e-29
25,25,-1142,8,3.74165738677394577e+00,1.41421356237309537e+00,1.41421356237309492e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125232e-16,4.00296604248672097e-16
30,30,-1137,8,3.74165738677394044e+00,1.41421356237309537e+00,1.41421356237309515e+00,1.49011611938476562e-08,0.00000000000000000e+00,3,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125232e-16,1.08767926900999751e-29
35,35,-1132,8,3.74165738677393955e+00,1.41421356237309559e+00,1.41421356237309515e+00,1.05367121277221951e-08,2.22044604925031308e-16,2,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125232e-16,4.96506830649454624e-16
40,40,-1127,8,3.74165738677394089e+00,1.41421356237309537e+00,1.41421356237309515e+00,7.75152859436655673e-09,0.00000000000000000e+00,2,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125232e-16,2.22044604925031308e-16
45,45,-1122,8,3.74165738677394000e+00,1.41421356237309559e+00,1.41421356237309492e+00,2.22044604925031308e-16,0.00000000000000000e+00,2,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125232e-16,4.57756679852223745e-16
