step,time,gram_symmetry_error,gram_reconstruction_error,reduced_skew_error,reduced_eigen_residual,lifted_eigen_residual,orth_Bdom,orth_C4,conservation_error
0,0,0.00000000000000000e+00,1.34383564531011774e-15,0.00000000000000000e+00,1.84260080544509042e-16,1.13232137235155332e-15,1.11022302462515654e-16,nan,2.22044604925031308e-16
5,5,0.00000000000000000e+00,7.84500962448717486e-16,0.00000000000000000e+00,3.67915797902754994e-16,8.91743177635037398e-16,2.48253415324727312e-16,nan,2.22044604925031308e-16
10,10,0.00000000000000000e+00,1.10528708447307325e-15,0.00000000000000000e+00,4.31246301092821419e-16,1.20794744618564759e-15,4.44089209850062616e-16,nan,2.22044604925031308e-16
15,15,0.00000000000000000e+00,1.30477559364938718e-15,0.00000000000000000e+00,3.96892922892303134e-16,8.27795335429304625e-16,4.00296604248672097e-16,nan,0.00000000000000000e+00
20,20,0.00000000000000000e+00,1.41972980584532750e-15,0.00000000000000000e+00,3.27617866658521802e-16,6.29662609392834847e-16,2.34651461085872180e-29,nan,1.11022302462515654e-16
25,25,0.00000000000000000e+00,1.02272065195577044e-15,0.00000000000000000e+00,5.07035951940786454e-16,1.49680679063075695e-15,4.00296604248672097e-16,nan,0.00000000000000000e+00
30,30,0.00000000000000000e+00,6.36455820103698384e-16,0.00000000000000000e+00,3.04355696264454018e-16,4.48098262619175033e-16,1.08767926900999751e-29,nan,0.00000000000000000e+00
35,35,0.00000000000000000e+00,8.29268104975843708e-16,0.00000000000000000e+00,4.05072554057000778e-16,6.89326048321620842e-16,4.96506830649454624e-16,nan,2.22044604925031308e-16
40,40,0.00000000000000000e+00,1.16600515993508352e-15,0.00000000000000000e+00,1.59053293195123167e-16,7.55736428587834437e-16,2.22044604925031308e-16,nan,2.22044604925031308e-16
45,45,0.00000000000000000e+00,9.25236613260265921e-16,0.00000000000000000e+00,3.74542953308415514e-16,6.73139804070878210e-16,4.57756679852223745e-16,nan,0.00000000000000000e+00
50,50,0.00000000000000000e+00,9.32187201117806021e-16,0.00000000000000000e+00,4.82355455028699098e-16,1.37947079816216764e-15,2.48253415324727312e-16,nan,0.00000000000000000e+00
55,55,0.00000000000000000e+00,8.51615360950039554e-16,0.00000000000000000e+00,1.57578078319766863e-16,8.61285590705121983e-16,2.22044604925031308e-16,nan,0.00000000000000000e+00
60,60,0.00000000000000000e+00,8.98719086957133244e-16,0.00000000000000000e+00,3.63428086159543657e-16,7.77041471852080664e-16,6.66133814775093924e-16,nan,0.00000000000000000e+00
65,65,0.00000000000000000e+00,8.83232113031845359e-16,0.00000000000000000e+00,1.51845176899984579e-16,8.11255857132580686e-16,1.09211195397200767e-29,nan,2.22044604925031308e-16
70,70,0.00000000000000000e+00,1.47642580189048778e-15,0.00000000000000000e+00,1.96711451035248672e-16,1.45752623455285148e-15,3.14018491736755033e-16,nan,2.22044604925031308e-16
75,75,0.00000000000000000e+00,9.33177842475845970e-16,0.00000000000000000e+00,3.78451508891232175e-16,9.71738041389295330e-16,3.14018491736755033e-16,nan,0.00000000000000000e+00
80,80,0.00000000000000000e+00,1.30358631898459956e-15,0.00000000000000000e+00,1.60293582720062347e-16,7.58597994467519586e-16,4.57756679852223745e-16,nan,2.22044604925031308e-16
85,85,0.00000000000000000e+00,9.12889273898465261e-16,0.00000000000000000e+00,1.68949666696306513e-16,6.22921227501445636e-16,2.22044604925031308e-16,nan,0.00000000000000000e+00
90,90,0.00000000000000000e+00,8.53761075176100671e-16,0.00000000000000000e+00,8.37903236720950233e-17,6.31861278303859954e-16,3.14018491736755033e-16,nan,1.11022302462515654e-16
95,95,0.00000000000000000e+00,1.25233660746550959e-15,0.00000000000000000e+00,2.42913948341097219e-16,7.59097958024326283e-16,1.85759704894262099e-28,nan,0.00000000000000000e+00
100,100,0.00000000000000000e+00,8.92948627458203482e-16,0.00000000000000000e+00,1.89049603506394041e-16,8.89800351518876060e-16,5.66104886700367570e-16,nan,0.00000000000000000e+00
105,105,0.00000000000000000e+00,8.30893634753375274e-16,0.00000000000000000e+00,1.52302357514424863e-16,8.04446521403279837e-16,4.44089209850062616e-16,nan,2.22044604925031308e-16
110,110,0.00000000000000000e+00,6.38234221174760467e-16,0.00000000000000000e+00,2.55183187623422125e-16,6.40994267991735567e-16,2.22044604925031308e-16,nan,2.22044604925031308e-16
115,115,0.00000000000000000e+00,9.13191430686078140e-16,0.00000000000000000e+00,1.42876661858364083e-16,6.49242739262302221e-16,2.22044604925031308e-16,nan,0.00000000000000000e+00
120,120,0.00000000000000000e+00,9.65309368272941511e-16,0.00000000000000000e+00,4.40746189959663282e-16,1.06631622393136467e-15,2.48253415324727312e-16,nan,0.00000000000000000e+00
125,125,0.00000000000000000e+00,8.07214430629573073e-16,0.00000000000000000e+00,1.90388444531019537e-16,1.11656318498478579e-15,2.05019680576391778e-28,nan,1.11022302462515654e-16
130,130,0.00000000000000000e+00,8.50197698190082416e-16,0.00000000000000000e+00,4.65292361881104090e-16,1.27562331310264871e-15,1.11022302462515654e-16,nan,2.22044604925031308e-16
135,135,0.00000000000000000e+00,6.74497515166884874e-16,0.00000000000000000e+00,4.32819312489958812e-16,7.99048162249586827e-16,2.46162613901735474e-28,nan,2.22044604925031308e-16
140,140,0.00000000000000000e+00,1.02999611308745947e-15,0.00000000000000000e+00,1.77837455834507613e-16,8.46408436720848362e-16,2.22044604925031308e-16,nan,2.22044604925031308e-16
145,145,0.00000000000000000e+00,1.56975467351566933e-15,0.00000000000000000e+00,1.90266702941419604e-16,1.23215372766307908e-15,3.33066907387546962e-16,nan,1.11022302462515654e-16
150,150,0.00000000000000000e+00,6.96530130545819641e-16,0.00000000000000000e+00,1.73234427416463819e-16,7.25316116801048658e-16,1.11022302462515654e-16,nan,4.44089209850062616e-16
155,155,0.00000000000000000e+00,6.30625962084244262e-16,0.00000000000000000e+00,5.29718933990867191e-16,6.50042133081447796e-16,4.21245219129621910e-28,nan,4.44089209850062616e-16
160,160,0.00000000000000000e+00,1.13439724433068954e-15,0.00000000000000000e+00,2.39645871272100839e-16,7.42098397068590767e-16,3.33066907387546962e-16,nan,5.55111512312578270e-16
165,165,0.00000000000000000e+00,7.87092770618573476e-16,0.00000000000000000e+00,1.96030131679005786e-16,6.63331809574024225e-16,2.22044604925031308e-16,nan,4.44089209850062616e-16
170,170,0.00000000000000000e+00,1.16236149995544804e-15,0.00000000000000000e+00,1.71161671484076502e-16,1.10129524613795536e-15,4.96506830649454624e-16,nan,6.66133814775093924e-16
175,175,0.00000000000000000e+00,9.69225903100146761e-16,0.00000000000000000e+00,4.12068969947922555e-16,6.27002435232545829e-16,4.57756679852223745e-16,nan,4.44089209850062616e-16
180,180,0.00000000000000000e+00,8.36902568315429033e-16,0.00000000000000000e+00,3.75706649382250082e-16,7.71153616704233167e-16,3.14018491736755033e-16,nan,4.44089209850062616e-16
