d_grid,overlap_abs,overlap_re,dN_B,flow_pred_err
0,0.9666666666666665,0.9666666666666665,0.28566953310597465,1.3156142841808105e-14
1,0.8698838533967996,0.8697967457560932,0.25704251405920076,4.996003610813204e-16
2,0.6118338226006018,0.6115606759778887,0.1807285373509364,2.248201624865942e-15
3,0.27665371751559026,0.2762431998151089,0.08163544749815177,1.0685896612017132e-15
4,0.033293181873504926,-0.03293283345125629,-0.009732317747456531,2.203098814490545e-15
5,0.23290131412947007,-0.23281866365794185,-0.06880261959881007,1.817990202823694e-15
6,0.28932177742569964,-0.28908720205930977,-0.08543110969571366,1.9845236565174673e-15
7,0.2235805910291065,-0.22343700505548317,-0.06603014990978529,1.8735013540549517e-15
8,0.0978205679277455,-0.09777058956201391,-0.02889318483276515,2.2065682614424986e-15
9,0.02276182267572518,0.016147362457151915,0.00477187189037398,8.89913143176102e-16
10,0.07153500150625906,0.06738036421727005,0.01991225915840822,4.246603069191224e-15
11,0.04940197846925104,0.04368453353533587,0.01290966237826674,6.591949208711867e-17
12,0.032972550332160136,-0.029806832467246767,-0.008808521290638471,2.2187113257743363e-15
13,0.10830391884276445,-0.10827654680355424,-0.031997907487961275,1.27675647831893e-15
14,0.15145904881454805,-0.15137251225758952,-0.04473363610520931,2.983724378680108e-16
15,0.14201007327851595,-0.14195247627491958,-0.04194982512485024,2.8935187579293142e-15
16,0.09147237201914345,-0.09131242297867363,-0.026984666109399424,5.856426454897701e-15
17,0.03516526874541945,-0.029999461945301866,-0.008865447193802223,2.3765711620882257e-15
18,0.029592314032682285,0.00972125434289388,0.0028728270924220922,2.648055386078596e-15
19,0.030964564469145514,0.01026878811376559,0.003034634385542967,1.452830911130576e-15
20,0.03233437510648471,-0.023958191622799246,-0.007080129739598706,2.90132501357121e-15
21,0.07178242174850878,-0.07110336396471326,-0.02101248081316276,5.745404152435185e-15
22,0.10477222410418623,-0.1047714482323465,-0.030962080033827277,3.6012859361278515e-15
23,0.10803685612117944,-0.10803024458069849,-0.031925120204161384,1.6930901125533637e-15
24,0.08151632546628643,-0.0812848711545456,-0.024021321922030214,1.457167719820518e-15
25,0.04457908503798828,-0.040540075729687715,-0.011980411557702353,1.3166551182663966e-15
26,0.030343755410295655,-0.007755930673173894,-0.00229203423539015,2.7785933276458508e-15
27,0.0327265881572932,0.0010875390793244418,0.00032138977347706543,2.8234792975867506e-15
28,0.03138480217276755,-0.016135012922981577,-0.004768222353478957,3.9430264608952825e-15
29,0.05003484591752693,-0.04765094048634614,-0.014081815780126794,5.4088677980956845e-15
30,0.07513229423178387,-0.07501271589884335,-0.02216777330465336,1.1796119636642288e-15
31,0.0832897114461508,-0.08328971008533213,-0.024613792337174534,5.873773689657469e-15
32,0.06886191459053255,-0.06868867239266112,-0.020298890660770064,2.1996293675385914e-15
40,0.05475545300531183,-0.05473378777822885,-0.01617494027558175,1.6618650899857812e-15
48,0.04084250126187278,-0.04068239193181257,-0.012022468871165759,1.1050188541972261e-15
64,0.023570226039551518,-0.016666666666666427,-0.00492533677769047,1.5482407023093003e-15
96,0.028523538954376086,0.0020220057259938856,0.0005975435500151782,9.467253370143425e-16
128,3.583255615311496e-17,-1.9311520330123865e-17,-1.1102230246251565e-16,1.0531535798361279e-16
256,0.9666666666666655,0.9666666666666655,0.2856695331059753,1.4099832412739488e-14
