step,H_perp,H_total,H_perp_over_H_total,pred_(r_tau)^2
0,1.5696195405859949944e-101,1.642460107911473056936818,9.5565154552331806426e-102,0.0
1,2.617211805968463139e-32,1.642460107911473056936818,1.5934705466280513252e-32,1.59347136453e-32
2,1.0468845418929233248e-31,1.642460107911473056936818,6.3738810875846815122e-32,6.37388545811e-32
3,2.3554898131477276663e-31,1.642460107911473056936818,1.4341229974485847246e-31,1.43412422807e-31
4,4.1875367236223420133e-31,1.642460107911473056936818,2.5495515558957161709e-31,2.54955418324e-31
5,6.5430250025794350836e-31,1.642460107911473056936818,3.983673619263389459e-31,3.98367841132e-31
