step,H_perp,H_total,H_perp_over_H_total,pred_(r_tau)^2
0,3.5197853473420475427e-100,4.657407509422759002271977,7.5573918327329084907e-101,0.0
1,3.521730127772674012e-34,4.657407509422759002271977,7.5615675043413984812e-35,7.56244553246e-35
2,1.4086921015860223148e-33,4.657407509422759002271977,3.0246271101164952427e-34,3.02497821298e-34
3,3.1695573421422051684e-33,4.657407509422759002271977,6.8054112416180679151e-34,6.80620097921e-34
4,5.6347688101624382065e-33,4.657407509422759002271977,1.2098509307511323536e-33,1.20999128519e-33
5,8.8043265813640254891e-33,4.657407509422759002271977,1.8903921470370191717e-33,1.89061138311e-33
