step,H_perp,H_total,H_perp_over_H_total,pred_(r_tau)^2
0,4.1657121395684357853e-101,2.207439967047630373716364,1.8871236372239478353e-101,0.0
1,1.8900456477580707041e-33,2.207439967047630373716364,8.5621610370946446269e-34,8.56233274504e-34
2,7.5601824779584060011e-33,2.207439967047630373716364,3.4248643636138705608e-33,3.42493309802e-33
3,1.7010410320997490727e-32,2.207439967047630373716364,7.7059447028805443846e-33,7.70609947054e-33
4,3.0240729007281543133e-32,2.207439967047630373716364,1.3699457044681221391e-32,1.36997323921e-32
5,4.7251138367226514882e-32,2.207439967047630373716364,2.1405401312192046407e-32,2.14058318626e-32
