N,M,k,residual,star_span_trivial,star_span_error,edges
4,6,3,6.97072081414052e-13,True,4.650319404498811e-16,"1-2,1-3,1-4"
4,6,3,1.118534249124603e-12,True,2.5438405243138006e-16,"1-2,1-3,2-3"
4,6,3,1.2267646717912024e-12,True,5.661048867003676e-16,"1-2,1-4,2-4"
4,6,3,6.809730976538758e-13,True,9.461354227335467e-16,"1-2,2-3,2-4"
4,6,3,6.833423561942063e-13,True,2.9373740229761033e-16,"1-3,1-4,3-4"
4,6,3,1.1202553945708454e-12,True,7.704541235042752e-16,"1-3,2-3,3-4"
4,6,3,1.2252274343228903e-12,True,3.15563848905497e-16,"1-4,2-4,3-4"
4,6,3,6.947689766555393e-13,True,6.544668208791957e-16,"2-3,2-4,3-4"
5,10,2,5.074968838328672e-10,False,0.816496580927726,"1-2,1-5"
5,10,2,1.493601620087022e-10,False,0.816496580927726,"1-2,2-3"
5,10,2,4.5673559323267117e-10,False,0.816496580927726,"1-3,1-4"
5,10,2,2.695482401858661e-10,False,1.1547005383792517,"1-3,2-5"
5,10,2,3.0963571349946466e-10,False,0.816496580927726,"1-3,3-4"
5,10,2,2.237793698531612e-10,False,0.8164965809277259,"1-4,2-4"
5,10,2,4.5958918835092174e-10,False,0.816496580927726,"1-4,4-5"
5,10,2,2.7492680362914396e-10,False,0.816496580927726,"1-5,3-5"
5,10,2,4.333672886547399e-10,False,0.816496580927726,"2-3,3-5"
5,10,2,3.237376461931726e-11,False,0.816496580927726,"2-4,2-5"
5,10,2,5.513007032786752e-10,False,0.816496580927726,"2-4,3-4"
5,10,2,2.4123756271242353e-10,False,0.816496580927726,"2-5,4-5"
5,10,2,3.0987829847250155e-10,False,0.816496580927726,"3-4,4-5"
5,10,4,1.213477730401294e-10,True,6.280369834735101e-16,"1-2,1-3,1-4,1-5"
5,10,4,2.6155236355719785e-10,False,0.816496580927726,"1-2,1-3,1-4,2-3"
5,10,4,1.230843872444306e-10,False,0.816496580927726,"1-2,1-3,1-5,2-5"
5,10,4,3.7057222926724526e-10,False,1.1547005383792517,"1-2,1-3,1-5,3-4"
5,10,4,1.5350452512803599e-10,False,0.816496580927726,"1-2,1-3,2-3,2-5"
5,10,4,1.1969616344858953e-10,False,0.816496580927726,"1-2,1-3,2-3,3-4"
5,10,4,2.2047650558418523e-10,False,0.816496580927726,"1-2,1-4,1-5,2-4"
5,10,4,1.973805722034269e-10,False,0.816496580927726,"1-2,1-4,1-5,4-5"
5,10,4,1.756833391949113e-10,False,0.816496580927726,"1-2,1-4,2-3,2-4"
5,10,4,2.816265565510462e-10,False,1.4142135623730951,"1-2,1-4,2-3,4-5"
5,10,4,7.546933137760277e-11,False,1.1547005383792517,"1-2,1-5,2-3,3-5"
5,10,4,2.6601670648220595e-10,False,0.8164965809277259,"1-2,1-5,2-4,2-5"
5,10,4,5.126943469249796e-10,False,1.4142135623730951,"1-2,1-5,2-4,3-4"
5,10,4,1.8738915688917303e-10,False,0.816496580927726,"1-2,1-5,2-5,4-5"
5,10,4,4.0117508608046216e-10,False,1.414213562373095,"1-2,1-5,3-4,4-5"
5,10,4,8.802917796675933e-11,True,1.0721709926860073e-15,"1-2,2-3,2-4,2-5"
5,10,4,2.6158987562493463e-10,False,0.816496580927726,"1-2,2-3,2-4,3-4"
5,10,4,1.737775204192778e-10,False,1.1547005383792515,"1-2,2-3,2-5,4-5"
5,10,4,1.5689136937743465e-10,False,1.4142135623730951,"1-2,2-3,3-4,4-5"
5,10,4,1.7015778540065343e-10,False,0.816496580927726,"1-3,1-4,1-5,3-5"
5,10,4,4.117096090287413e-10,False,1.1547005383792517,"1-3,1-4,2-3,3-5"
5,10,4,2.2346839731128257e-10,False,1.4142135623730951,"1-3,1-4,2-4,2-5"
5,10,4,4.730745016307682e-11,False,0.816496580927726,"1-3,1-4,2-4,3-4"
5,10,4,3.460120997173506e-10,False,1.4142135623730951,"1-3,1-4,2-5,4-5"
5,10,4,7.589724454381171e-11,False,0.816496580927726,"1-3,1-4,3-4,4-5"
5,10,4,1.4958279932572318e-10,False,0.8164965809277259,"1-3,1-5,2-5,3-5"
5,10,4,2.8538452216435025e-10,False,0.816496580927726,"1-3,1-5,3-4,3-5"
5,10,4,3.4300969151748646e-10,False,0.816496580927726,"1-3,2-3,2-5,3-5"
5,10,4,2.1287197926091833e-10,True,1.5450226700084703e-15,"1-3,2-3,3-4,3-5"
5,10,4,1.5471953900656663e-10,False,1.4142135623730951,"1-3,2-4,2-5,3-4"
5,10,4,3.8224971221139756e-11,False,1.4142135623730951,"1-3,2-5,3-4,4-5"
5,10,4,4.352394691865166e-11,False,1.414213562373095,"1-4,1-5,2-4,3-5"
5,10,4,1.2734548598566387e-10,False,0.816496580927726,"1-4,1-5,3-5,4-5"
5,10,4,2.664879676202463e-10,False,1.4142135623730951,"1-4,2-3,2-4,3-5"
5,10,4,3.787321720503816e-10,False,1.4142135623730951,"1-4,2-3,3-5,4-5"
5,10,4,2.3029767746218248e-10,False,0.816496580927726,"1-4,2-4,2-5,4-5"
5,10,4,9.481368427378909e-11,True,1.0731504408244662e-15,"1-4,2-4,3-4,4-5"
5,10,4,1.3056101833077522e-10,False,1.1547005383792517,"1-5,2-4,2-5,3-5"
5,10,4,3.8214145181113566e-10,False,1.4142135623730951,"1-5,2-4,3-4,3-5"
5,10,4,7.327568212051388e-11,True,1.0687253785646681e-15,"1-5,2-5,3-5,4-5"
5,10,4,2.6094325172400527e-10,False,0.816496580927726,"1-5,3-4,3-5,4-5"
5,10,4,2.0223055090501994e-10,False,0.816496580927726,"2-3,2-4,2-5,3-5"
5,10,4,1.961443980153178e-10,False,0.8164965809277259,"2-3,2-4,3-4,3-5"
5,10,4,2.954996225774501e-10,False,0.816496580927726,"2-3,2-5,3-5,4-5"
5,10,4,1.364976323076011e-10,False,0.816496580927726,"2-3,3-4,3-5,4-5"
5,10,4,1.6254504622737297e-10,False,0.816496580927726,"2-4,2-5,3-4,4-5"
6,15,5,9.245270531628674e-07,False,1.0,"1-2,1-4,2-3,2-4,3-4"
