N,M,small_zero_hits,nontrivial_small_zero_hits,min_nontrivial_k,best_nontrivial_residual,best_nontrivial_edges
3,3,0,0,,,
4,6,8,0,,,
5,10,59,54,2.0,3.237376461931726e-11,"2-4,2-5"
6,15,1,1,5.0,9.245270531628674e-07,"1-2,1-4,2-3,2-4,3-4"
7,21,0,0,,,
8,28,0,0,,,
9,36,0,0,,,
10,45,0,0,,,
11,55,0,0,,,
12,66,0,0,,,
13,78,0,0,,,
14,91,0,0,,,
15,105,0,0,,,
16,120,0,0,,,
