N,M,k,best_residual,edges,runtime_s
6,15,6,0.07542784417040455,"1-3,1-5,2-3,2-5,3-6,5-6",0.02877497673034668
7,21,6,0.00040642904028844774,"1-5,2-5,3-5,4-5,5-6,5-7",0.09898900985717773
8,28,6,0.0007074274317020465,"1-5,3-5,3-6,3-7,3-8,5-6",0.15116000175476074
9,36,6,9.770414184396146e-05,"1-8,1-9,2-9,4-5,4-9,5-6",0.36297607421875
10,45,5,0.0001534189836579664,"2-3,2-5,3-4,3-8,3-10",0.05555105209350586
10,45,6,0.00018857882526369268,"3-8,3-9,5-6,5-7,6-8,7-10",0.7527942657470703
11,55,5,0.00036987328194759727,"1-2,1-3,4-10,6-8,9-10",0.08434295654296875
11,55,6,4.921230113536953e-05,"1-10,2-10,3-4,4-8,6-7,9-11",1.4129009246826172
12,66,5,0.00023445591354913462,"1-11,3-7,3-12,5-11,7-9",0.1305539608001709
12,66,6,1.0051374096016767e-05,"1-6,2-5,3-7,4-12,5-12,9-12",2.5136141777038574
13,78,5,7.542614508118306e-05,"1-4,2-5,3-12,8-11,9-10",0.1881401538848877
13,78,6,4.067635197004018e-06,"2-7,2-12,3-4,3-11,4-11,9-11",4.421424865722656
