cover_id,blocks,max_block_residual,pair_blocks
0,5,5.074968838328672e-10,1-2+1-5 | 1-3+1-4 | 2-3+3-5 | 2-4+2-5 | 3-4+4-5
1,5,5.513007032786752e-10,1-2+1-5 | 1-3+1-4 | 2-3+3-5 | 2-4+3-4 | 2-5+4-5
2,5,5.074968838328672e-10,1-2+1-5 | 1-3+2-5 | 1-4+2-4 | 2-3+3-5 | 3-4+4-5
3,5,5.513007032786752e-10,1-2+1-5 | 1-3+2-5 | 1-4+4-5 | 2-3+3-5 | 2-4+3-4
4,5,5.074968838328672e-10,1-2+1-5 | 1-3+3-4 | 1-4+2-4 | 2-3+3-5 | 2-5+4-5
5,5,5.074968838328672e-10,1-2+1-5 | 1-3+3-4 | 1-4+4-5 | 2-3+3-5 | 2-4+2-5
6,5,4.5673559323267117e-10,1-2+2-3 | 1-3+1-4 | 1-5+3-5 | 2-4+2-5 | 3-4+4-5
7,5,5.513007032786752e-10,1-2+2-3 | 1-3+1-4 | 1-5+3-5 | 2-4+3-4 | 2-5+4-5
8,5,3.0987829847250155e-10,1-2+2-3 | 1-3+2-5 | 1-4+2-4 | 1-5+3-5 | 3-4+4-5
9,5,5.513007032786752e-10,1-2+2-3 | 1-3+2-5 | 1-4+4-5 | 1-5+3-5 | 2-4+3-4
10,5,3.0963571349946466e-10,1-2+2-3 | 1-3+3-4 | 1-4+2-4 | 1-5+3-5 | 2-5+4-5
11,5,4.5958918835092174e-10,1-2+2-3 | 1-3+3-4 | 1-4+4-5 | 1-5+3-5 | 2-4+2-5
